Date,Time,J1 (mV),J1 oversampled mean (mV),J1 oversampled mean,J1 oversampled min,J1 oversampled max,J1 oversampled sd,J2+ (mV),J3 (mV),J4+ (mV),J4+ oversampled mean (mV),J4+ oversampled mean,J4+ oversampled min,J4+ oversampled max,J4+ oversampled sd,J4- (mV),J4- oversampled mean (mV),J4- oversampled mean,J4- oversampled min,J4- oversampled max,J4- oversampled sd
4/7/2023,17:42:00,87.81,87.75,2808,2802,2815,2.43,34.25,-36.25,53.19,53.34,1707,1705,1710,1,51.75,51.75,1656,1654,1659,1.44
4/7/2023,17:42:30,87.75,87.62,2804,2799,2810,2.1,34.25,-36.25,53.25,53.34,1707,1704,1709,0.9,51.84,51.84,1659,1658,1660,0.45
4/7/2023,17:43:00,87.41,87.31,2794,2789,2799,1.96,34.25,-36.25,52.91,53,1696,1695,1699,1.18,51.84,51.84,1659,1658,1660,0.51
4/7/2023,17:43:30,87.31,87.34,2795,2788,2801,2.66,34.25,-36.25,52.78,52.94,1694,1693,1697,1.16,51.84,51.84,1659,1658,1661,0.6
4/7/2023,17:44:00,87.44,87.37,2796,2791,2801,1.72,34,-36.25,52.78,52.88,1692,1690,1695,1.07,51.84,51.84,1659,1658,1661,0.63
4/7/2023,17:44:30,87.16,87.31,2794,2787,2800,2.21,34.25,-36.25,52.59,52.72,1687,1685,1690,1.19,51.84,51.84,1659,1658,1661,0.74
4/7/2023,17:45:00,87.09,87.16,2789,2785,2796,2.18,34,-36.25,52.47,52.53,1681,1679,1684,1.21,51.88,51.84,1659,1658,1661,0.76
4/7/2023,17:45:30,87.06,87,2784,2778,2792,2.96,34.25,-36.25,52.28,52.34,1675,1673,1678,1.25,51.88,51.84,1659,1659,1661,0.85
4/7/2023,17:46:00,86.87,86.87,2780,2775,2786,2.38,34.25,-36.25,52.06,52.19,1670,1668,1674,1.13,51.69,51.84,1659,1659,1661,0.84
4/7/2023,17:46:30,86.75,86.81,2778,2773,2784,2.15,34.25,-36.25,52,52.03,1665,1663,1668,1.18,51.88,51.84,1659,1659,1661,0.91
4/7/2023,17:47:00,86.84,86.75,2776,2771,2783,2.49,34.25,-36.25,51.81,51.91,1661,1659,1664,1.04,51.84,51.84,1659,1659,1661,0.97
4/7/2023,17:47:30,86.62,86.69,2774,2769,2782,2.57,34.25,-36.25,51.69,51.78,1657,1655,1659,0.87,51.84,51.84,1659,1659,1661,1.03
4/7/2023,17:48:00,86.53,86.62,2772,2766,2777,1.88,33.75,-36.25,51.56,51.66,1653,1651,1656,0.89,51.88,51.84,1659,1659,1661,0.99
4/7/2023,17:48:30,86.5,86.53,2769,2763,2778,2.66,34.25,-36.25,51.44,51.53,1649,1647,1651,0.86,51.88,51.84,1659,1659,1661,1.06
4/7/2023,17:49:00,86.47,86.47,2767,2762,2773,2.27,34.25,-36.25,51.38,51.41,1645,1643,1647,0.94,51.88,51.84,1659,1659,1661,1.07
4/7/2023,17:49:30,86.44,86.41,2765,2758,2772,2.31,34.25,-36.25,51.16,51.28,1641,1639,1644,1.07,51.88,51.88,1660,1659,1661,0.44
4/7/2023,17:50:00,86.28,86.31,2762,2756,2769,2.78,34.25,-36.25,51.13,51.16,1637,1636,1641,1.28,51.88,51.88,1660,1659,1661,0.48
4/7/2023,17:50:30,86.22,86.25,2760,2754,2765,1.84,34,-36.25,50.97,51.06,1634,1632,1637,1.02,51.88,51.88,1660,1659,1661,0.46
