rate,timestamp,Date,Time,J1 (mV),J1 oversampled mean (mV),J1 oversampled mean,J1 oversampled min,J1 oversampled max,J1 oversampled sd,J2+ (mV),J3 (mV),J4+ (mV),J4+ oversampled mean (mV),J4+ oversampled mean,J4+ oversampled min,J4+ oversampled max,J4+ oversampled sd,J4- (mV),J4- oversampled mean (mV),J4- oversampled mean,J4- oversampled min,J4- oversampled max,J4- oversampled sd
16,1,4/2/23,18:02:29,56.06,55.97,1791,1788,1795,2.11,34.25,-36.13,40.38,40.31,1290,1290,1292,1.2,51.66,51.63,1652,1652,1653,0.87
16,2,4/2/23,18:02:39,56,56,1792,1791,1796,1.82,34.13,-36.13,40.25,40.31,1290,1289,1293,1.41,51.66,51.66,1653,1652,1654,0.5
16,3,4/2/23,18:02:49,55.91,56,1792,1787,1799,3.98,34.13,-36.13,40.34,40.31,1290,1288,1292,1.22,51.66,51.63,1652,1652,1654,0.97
16,4,4/2/23,18:02:59,55.84,56.03,1793,1788,1798,2.9,34.13,-36.13,40.28,40.31,1290,1290,1292,1.2,51.66,51.63,1652,1652,1654,1.09
16,5,4/2/23,18:03:09,55.88,56,1792,1787,1799,3.48,34.25,-36.13,40.28,40.31,1290,1290,1292,1.22,51.69,51.66,1653,1653,1654,0.43
16,6,4/2/23,18:03:19,55.91,56,1792,1789,1795,2.14,34.25,-36.13,40.25,40.31,1290,1289,1292,0.97,51.66,51.66,1653,1652,1654,0.61
16,7,4/2/23,18:03:29,55.97,56.03,1793,1787,1801,3.67,34.25,-36.13,40.28,40.28,1289,1289,1291,1.12,51.66,51.63,1652,1652,1654,1.06
16,8,4/2/23,18:03:39,55.97,56.03,1793,1787,1800,3.61,34.13,-36.13,40.28,40.31,1290,1289,1292,0.9,51.66,51.63,1652,1652,1654,1.09
16,9,4/2/23,18:03:49,56.03,55.97,1791,1786,1796,2.7,34.13,-36.13,40.25,40.31,1290,1288,1292,1,51.44,51.63,1652,1652,1654,1.09
16,10,4/2/23,18:03:59,55.88,56,1792,1787,1798,3.1,34.25,-36.13,40.22,40.28,1289,1287,1292,1.52,51.69,51.66,1653,1652,1654,0.5
16,11,4/2/23,18:04:09,55.94,55.97,1791,1786,1796,3,34.13,-36.13,40.19,40.28,1289,1287,1291,1,51.66,51.63,1652,1652,1653,0.94
16,12,4/2/23,18:04:19,56,55.97,1791,1789,1794,1.58,34.13,-36.13,40.28,40.25,1288,1287,1291,1.39,51.66,51.63,1652,1652,1654,1
16,13,4/2/23,18:04:29,55.88,55.94,1790,1784,1795,3.25,33.63,-36.13,40.22,40.28,1289,1287,1291,1.12,51.63,51.66,1653,1652,1654,0.61
16,14,4/2/23,18:04:39,55.88,56,1792,1787,1795,2.21,34.13,-36.13,40.22,40.25,1288,1286,1291,1.5,51.66,51.63,1652,1652,1653,0.97
16,15,4/2/23,18:04:49,55.91,56,1792,1790,1795,1.37,34.25,-36.13,40.19,40.25,1288,1287,1290,0.87,51.66,51.66,1653,1652,1654,0.35
16,16,4/2/23,18:04:59,56.03,56.06,1794,1789,1799,3.15,33.88,-36.13,40.19,40.25,1288,1286,1290,1.12,51.66,51.63,1652,1652,1654,1
16,17,4/2/23,18:05:09,55.94,56.03,1793,1788,1798,2.99,33.75,-36.13,40.16,40.22,1287,1286,1290,1.25,51.66,51.63,1652,1652,1653,0.94
16,18,4/2/23,18:05:19,55.97,56.03,1793,1789,1799,2.85,34.13,-36.13,40.16,40.22,1287,1286,1289,0.97,51.66,51.63,1652,1652,1654,0.9
16,19,4/2/23,18:05:29,55.88,56,1792,1790,1796,1.98,33.88,-36.13,40.13,40.22,1287,1287,1289,1.03,51.63,51.63,1652,1652,1654,1.09
16,20,4/2/23,18:05:39,55.94,56.03,1793,1788,1800,2.97,34.13,-36.13,40.19,40.22,1287,1286,1289,1.03,51.66,51.63,1652,1652,1653,0.9
16,21,4/2/23,18:05:49,56.03,56.06,1794,1791,1797,1.92,34.25,-36.13,40.16,40.22,1287,1286,1289,0.79,51.66,51.66,1653,1652,1654,0.61
16,22,4/2/23,18:05:59,55.88,56.03,1793,1789,1799,2.82,34.13,-36.13,40.16,40.19,1286,1284,1289,1.39,51.66,51.63,1652,1652,1654,1.03
16,23,4/2/23,18:06:09,55.94,56.06,1794,1791,1800,2.52,34.13,-36.13,40.16,40.19,1286,1285,1288,1.06,51.66,51.66,1653,1652,1654,0.43
16,24,4/2/23,18:06:19,56.13,56.06,1794,1789,1799,3.08,34.13,-36.13,40.19,40.19,1286,1285,1289,1.09,51.44,51.63,1652,1652,1654,0.94
16,25,4/2/23,18:06:29,56.09,56.06,1794,1791,1798,1.9,34.25,-36.13,40.13,40.19,1286,1285,1288,0.87,51.66,51.63,1652,1652,1654,1
16,26,4/2/23,18:06:39,56.09,56.09,1795,1791,1800,2.32,34.25,-36.13,40.16,40.16,1285,1284,1288,1.44,51.66,51.63,1652,1652,1653,0.94
