rate,timestamp,Date,Time,J1 (mV),J1 oversampled mean (mV),J1 oversampled mean,J1 oversampled min,J1 oversampled max,J1 oversampled sd,J2+ (mV),J3 (mV),J4+ (mV),J4+ oversampled mean (mV),J4+ oversampled mean,J4+ oversampled min,J4+ oversampled max,J4+ oversampled sd,J4- (mV),J4- oversampled mean (mV),J4- oversampled mean,J4- oversampled min,J4- oversampled max,J4- oversampled sd
256,1,4/2/23,18:23:07,55.88,56.03,1793,1788,1799,2.05,34.13,-36.13,39.56,39.63,1268,1266,1271,1.11,51.66,51.63,1652,1652,1654,0.92
256,2,4/2/23,18:23:17,56.13,56.03,1793,1787,1800,2.08,34.13,-36.13,39.63,39.63,1268,1266,1271,0.95,51.66,51.63,1652,1652,1654,0.88
256,3,4/2/23,18:23:27,55.91,56.03,1793,1787,1800,2.54,34.13,-36.13,39.59,39.63,1268,1266,1271,0.96,51.44,51.63,1652,1652,1654,0.86
256,4,4/2/23,18:23:37,55.94,56,1792,1787,1798,2.06,34,-36.13,39.59,39.59,1267,1266,1270,1.27,51.63,51.63,1652,1652,1654,0.88
256,5,4/2/23,18:23:47,56.09,56,1792,1786,1799,2.22,34.13,-36.13,39.63,39.59,1267,1265,1270,1.27,51.66,51.63,1652,1652,1654,0.9
256,6,4/2/23,18:23:57,55.91,55.97,1791,1785,1798,2.61,34.13,-36.13,39.56,39.59,1267,1265,1270,1.19,51.66,51.63,1652,1651,1654,0.82
256,7,4/2/23,18:24:07,55.91,55.94,1790,1782,1796,2.12,33.75,-36.13,39.56,39.59,1267,1265,1270,1.09,51.66,51.63,1652,1652,1654,0.88
256,8,4/2/23,18:24:17,55.84,55.94,1790,1783,1799,2.67,34.13,-36.13,39.53,39.59,1267,1265,1270,0.97,51.63,51.63,1652,1651,1654,0.88
256,9,4/2/23,18:24:27,55.94,55.94,1790,1783,1797,2.67,34.13,-36.13,39.56,39.59,1267,1265,1270,0.97,51.63,51.63,1652,1651,1654,0.89
256,10,4/2/23,18:24:37,55.84,55.94,1790,1785,1797,2.34,34.13,-36.13,39.56,39.59,1267,1265,1269,0.86,51.66,51.63,1652,1651,1654,0.91
256,11,4/2/23,18:24:47,56.09,55.97,1791,1781,1798,2.53,34.13,-36.13,39.53,39.56,1266,1264,1270,1.26,51.66,51.63,1652,1652,1654,0.84
256,12,4/2/23,18:24:57,55.97,55.97,1791,1784,1798,2.49,34.13,-36.13,39.53,39.56,1266,1265,1269,1.21,51.63,51.63,1652,1651,1654,0.86
256,13,4/2/23,18:25:07,55.94,56,1792,1786,1798,2.38,34.13,-36.13,39.53,39.56,1266,1264,1269,1.05,51.66,51.63,1652,1651,1654,0.84
256,14,4/2/23,18:25:17,55.75,55.97,1791,1783,1800,2.87,34,-36.13,39.53,39.56,1266,1264,1269,0.93,51.66,51.63,1652,1652,1654,0.83
256,15,4/2/23,18:25:27,55.97,55.97,1791,1786,1797,2.12,34.13,-36.13,39.5,39.56,1266,1264,1269,0.9,51.66,51.63,1652,1652,1654,0.85
256,16,4/2/23,18:25:37,55.91,56.03,1793,1787,1799,2.21,34.25,-36.13,39.56,39.56,1266,1264,1268,0.92,51.69,51.63,1652,1651,1655,0.94
256,17,4/2/23,18:25:47,56.06,56.03,1793,1788,1800,2.08,34.13,-36.13,39.5,39.53,1265,1264,1269,1.21,51.66,51.63,1652,1651,1654,0.86
256,18,4/2/23,18:25:57,56.03,56.03,1793,1787,1799,2.58,34.13,-36.13,39.53,39.53,1265,1263,1268,1.2,51.44,51.63,1652,1650,1654,1.05
256,19,4/2/23,18:26:07,56.03,56,1792,1787,1800,2.67,34.13,-36.13,39.53,39.53,1265,1263,1268,1.05,51.66,51.63,1652,1651,1654,0.85
256,20,4/2/23,18:26:17,56.09,56,1792,1784,1800,3.13,34.13,-36.13,39.44,39.53,1265,1264,1268,0.91,51.66,51.63,1652,1651,1654,0.82
256,21,4/2/23,18:26:27,55.97,56,1792,1785,1800,2.71,34.13,-36.13,39.44,39.53,1265,1263,1268,0.93,51.66,51.63,1652,1651,1654,0.86
256,22,4/2/23,18:26:37,55.97,55.97,1791,1786,1799,2.75,33.63,-36.13,39.47,39.53,1265,1262,1267,0.91,51.66,51.63,1652,1651,1654,0.78
256,23,4/2/23,18:26:47,55.91,56.03,1793,1785,1800,2.41,34.13,-36.13,39.53,39.5,1264,1263,1267,1.32,51.63,51.63,1652,1651,1654,0.85
256,24,4/2/23,18:26:57,55.88,56.03,1793,1785,1800,2.83,34,-36.13,39.5,39.5,1264,1262,1267,1.12,51.63,51.63,1652,1652,1654,0.83
256,25,4/2/23,18:27:07,56,56.06,1794,1788,1799,1.99,34.13,-36.13,39.44,39.5,1264,1261,1267,1.08,51.66,51.63,1652,1651,1654,0.82
256,26,4/2/23,18:27:17,56,56.06,1794,1787,1801,2.56,34.13,-36.13,39.5,39.5,1264,1262,1266,0.91,51.66,51.63,1652,1651,1654,0.83
256,27,4/2/23,18:27:27,55.91,56.09,1795,1787,1802,2.83,34.13,-36.13,39.44,39.5,1264,1261,1267,0.99,51.63,51.63,1652,1652,1654,0.86
256,28,4/2/23,18:27:37,55.91,56.06,1794,1788,1800,2.39,34.13,-36.13,39.47,39.47,1263,1262,1266,1.29,51.59,51.63,1652,1651,1654,0.91
256,29,4/2/23,18:27:47,56.09,56.13,1796,1791,1802,2.21,34.13,-36.13,39.53,39.47,1263,1260,1266,1.23,51.66,51.63,1652,1651,1654,0.85
256,30,4/2/23,18:27:57,56.13,56.13,1796,1789,1803,2.59,34.25,-36.13,39.47,39.47,1263,1261,1266,1.12,51.63,51.63,1652,1652,1654,0.79
256,31,4/2/23,18:28:07,55.94,56.06,1794,1788,1802,2.81,34.13,-36.13,39.38,39.47,1263,1261,1267,1.1,51.63,51.63,1652,1652,1654,0.87
256,32,4/2/23,18:28:17,55.97,56.06,1794,1788,1800,2.31,34.13,-36.13,39.44,39.47,1263,1261,1266,1.03,51.66,51.63,1652,1651,1654,0.86
256,33,4/2/23,18:28:27,56.09,56.03,1793,1788,1800,2.41,34.13,-36.13,39.44,39.47,1263,1261,1266,0.98,51.47,51.63,1652,1652,1654,0.84
256,34,4/2/23,18:28:37,56.03,56.03,1793,1787,1799,2.3,34.13,-36.13,39.44,39.47,1263,1260,1265,0.96,51.63,51.63,1652,1650,1654,0.91
256,35,4/2/23,18:28:47,55.97,56.03,1793,1788,1800,2.25,34,-36.13,39.44,39.44,1262,1260,1266,1.24,51.63,51.63,1652,1652,1654,0.81
256,36,4/2/23,18:28:57,56.03,56.03,1793,1787,1801,2.55,34.13,-36.13,39.44,39.44,1262,1260,1265,1.24,51.66,51.63,1652,1650,1655,0.95
