Date,Time,J1 diff (mV),J1 oversampled (mV),J2+ (mV),J3 diff (mV),J4 oversampled (mV), J4 (mV), J4+ (mV),J4- (mV), J4+ oversampled (mV),J4- oversampled (mV),Coin battery (mV)
12/15/22,14:30:16,82.37,82.32,34,-36,11.09,10.97,62.41,51.44,62.6,51.51,190
12/15/22,14:35:17,82.03,82.18,34,-36,11.42,11.19,62.72,51.53,62.99,51.58,188
12/15/22,14:40:17,81.91,82.02,34,-36,11.66,11.47,62.94,51.47,63.17,51.51,190
12/15/22,14:45:18,81.72,81.81,34,-36,11.89,11.66,63.22,51.56,63.48,51.58,190
12/15/22,14:50:18,81.69,81.76,34,-36,12.11,11.88,63.34,51.47,63.64,51.52,192
12/15/22,14:55:19,81.56,81.59,34,-36,12.29,12.06,63.59,51.53,63.87,51.58,190
12/15/22,15:00:19,81.41,81.49,34,-36,12.42,12.22,63.72,51.5,63.95,51.53,190
12/15/22,15:05:19,81.5,81.5,34,-36,12.58,12.38,63.94,51.56,64.17,51.59,192
12/15/22,15:10:20,81.41,81.51,34,-36,12.71,12.47,64,51.53,64.24,51.53,190
12/15/22,15:15:20,81.47,81.39,34,-36,12.86,12.59,64.16,51.56,64.45,51.59,190
12/15/22,15:20:21,81.34,81.31,34,-36,12.97,12.78,64.28,51.5,64.51,51.53,190
12/15/22,15:25:21,81.34,81.34,34,-36,13.07,12.84,64.41,51.56,64.67,51.6,190
12/15/22,15:30:22,81.31,81.32,34,-36,13.15,12.94,64.44,51.5,64.69,51.54,188
12/15/22,15:35:22,81.34,81.34,34,-36,13.24,13,64.56,51.56,64.84,51.6,190
12/15/22,15:40:23,81.28,81.3,34,-36,13.29,13.03,64.56,51.53,64.84,51.55,190
12/15/22,15:45:23,81.19,81.23,34,-36,13.36,13.13,64.69,51.56,64.97,51.6,190
12/15/22,15:50:24,81.12,81.13,34,-36,13.41,13.22,64.72,51.5,64.96,51.55,190
12/15/22,15:55:24,81,81.06,34,-36,13.47,13.28,64.87,51.59,65.07,51.61,190
12/15/22,16:00:25,81.19,81.02,34,-36,13.5,13.25,64.75,51.5,65.06,51.55,190
12/15/22,16:05:25,81.06,81.08,34,-36,13.55,13.38,64.94,51.56,65.17,51.61,190
12/15/22,16:10:26,80.97,81.04,34,-36,13.58,13.31,64.84,51.53,65.13,51.56,190
12/15/22,16:15:26,80.97,80.94,34,-36,13.62,13.44,65,51.56,65.23,51.62,192
12/15/22,16:20:27,80.97,80.94,34,-36,13.64,13.5,65,51.5,65.2,51.56,190
12/15/22,16:25:27,80.97,80.91,34,-36,13.67,13.44,65,51.56,65.29,51.62,190
12/15/22,16:30:28,80.75,80.79,34,-36,13.69,13.5,65,51.5,65.25,51.56,190
12/15/22,16:35:28,80.62,80.77,34,-36,13.73,13.5,65.09,51.59,65.35,51.62,190
12/15/22,16:40:28,80.66,80.71,34,-36,13.73,13.47,65,51.53,65.3,51.57,190
12/15/22,16:45:29,80.78,80.66,34,-36,13.75,13.5,65.06,51.56,65.38,51.63,192
12/15/22,16:50:30,80.75,80.66,34,-36,13.76,13.53,65.06,51.53,65.33,51.57,190
12/15/22,16:55:30,80.56,80.57,34,-36,13.78,13.56,65.16,51.59,65.41,51.63,192
12/15/22,17:00:31,80.5,80.51,34,-36,13.79,13.53,65.06,51.53,65.36,51.57,190
12/15/22,17:05:31,80.44,80.49,34,-36,13.8,13.59,65.16,51.56,65.43,51.63,190
12/15/22,17:10:32,80.47,80.46,34,-36,13.8,13.56,65.09,51.53,65.37,51.57,190
12/15/22,17:15:32,80.47,80.41,34,-36,13.82,13.56,65.16,51.59,65.45,51.63,190
12/15/22,17:20:32,80.37,80.39,34,-36,13.82,13.59,65.12,51.53,65.39,51.58,190
12/15/22,17:25:33,80.34,80.33,34,-36,13.84,13.63,65.22,51.59,65.48,51.64,190
12/15/22,17:30:33,80.41,80.29,34,-36,13.83,13.59,65.16,51.56,65.42,51.58,190
12/15/22,17:35:34,80.19,80.3,34,-36,13.85,13.59,65.19,51.59,65.49,51.63,190
12/15/22,17:40:34,80.37,80.28,34,-36,13.84,13.59,65.16,51.56,65.43,51.59,190
12/15/22,17:45:35,80.25,80.28,34,-36,13.86,13.66,65.25,51.59,65.5,51.64,190
12/15/22,17:50:35,80.19,80.22,34,-36,13.85,13.59,65.16,51.56,65.43,51.58,190
12/15/22,17:55:36,80.28,80.19,34,-36,13.86,13.63,65.25,51.63,65.51,51.64,190
12/15/22,18:00:36,80.16,80.15,34,-36,13.86,13.59,65.19,51.59,65.45,51.58,194
12/15/22,18:05:37,80.22,80.14,34,-36,13.88,13.63,65.25,51.63,65.52,51.64,190
12/15/22,18:10:37,80.09,80.1,34,-36,13.87,13.59,65.16,51.56,65.45,51.58,192
12/15/22,18:15:38,80,80.07,34,-36,13.88,13.66,65.25,51.59,65.52,51.64,190
12/15/22,18:20:38,79.91,80.03,34,-36,13.87,13.66,65.19,51.53,65.46,51.59,190
12/15/22,18:25:39,80.03,79.99,34,-36,13.89,13.63,65.25,51.63,65.53,51.65,188
12/15/22,18:30:39,79.94,79.97,34,-36,13.88,13.56,65.12,51.56,65.46,51.58,192
12/15/22,18:35:40,80,79.96,34,-36,13.89,13.66,65.25,51.59,65.54,51.65,190
12/15/22,18:40:40,79.75,79.93,34,-36,13.88,13.63,65.19,51.56,65.47,51.59,190
12/15/22,18:45:41,79.97,79.97,34,-36,13.91,13.66,65.28,51.63,65.55,51.65,190
12/15/22,18:50:41,79.94,79.98,34,-36,13.9,13.63,65.19,51.56,65.49,51.59,190
12/15/22,18:55:41,80,80.05,34,-36,13.91,13.69,65.28,51.59,65.56,51.65,190
12/15/22,19:00:42,80.06,80.11,34,-36,13.9,13.72,65.25,51.53,65.49,51.59,190
12/15/22,19:05:42,80.16,80.23,34,-36,13.91,13.66,65.28,51.63,65.55,51.65,192
12/15/22,19:10:43,80.28,80.25,34,-36,13.9,13.69,65.19,51.5,65.49,51.59,190
12/15/22,19:15:43,80.28,80.32,34,-36,13.91,13.78,65.37,51.59,65.55,51.65,190
12/15/22,19:20:44,80.34,80.4,34,-36,13.9,13.66,65.22,51.56,65.48,51.59,190
12/15/22,19:25:44,80.56,80.5,34,-36,13.9,13.72,65.31,51.59,65.55,51.65,190
12/15/22,19:30:45,80.47,80.63,34,-36,13.9,13.66,65.19,51.53,65.48,51.59,190
12/15/22,19:35:45,80.84,80.78,34,-36,13.9,13.69,65.28,51.59,65.54,51.65,190
12/15/22,19:40:46,80.87,80.88,34,-36,13.89,13.69,65.25,51.56,65.48,51.59,190
12/15/22,19:45:46,81,80.97,34,-36,13.9,13.75,65.31,51.56,65.54,51.65,190
12/15/22,19:50:47,81.37,81.16,34,-36,13.9,13.69,65.22,51.53,65.48,51.58,190
12/15/22,19:55:47,81.28,81.3,34,-36,13.9,13.75,65.34,51.59,65.54,51.65,190
12/15/22,20:00:48,81.59,81.5,34,-36,13.89,13.63,65.19,51.56,65.47,51.59,190
12/15/22,20:05:48,81.75,81.63,34,-36,13.9,13.69,65.28,51.59,65.54,51.64,190
12/15/22,20:10:49,81.81,81.81,34,-36,13.89,13.59,65.16,51.56,65.47,51.59,188
12/15/22,20:15:49,82,81.91,34,-36,13.9,13.69,65.28,51.59,65.54,51.64,190
12/15/22,20:20:49,82.12,82,34,-36,13.9,13.69,65.22,51.53,65.48,51.59,190
12/15/22,20:25:50,82.09,82.09,34,-36,13.9,13.66,65.25,51.59,65.54,51.64,190
12/15/22,20:30:50,82.19,82.25,34,-36,13.89,13.69,65.22,51.53,65.47,51.59,190
12/15/22,20:35:51,82.41,82.32,34,-36,13.9,13.69,65.28,51.59,65.54,51.64,190
12/15/22,20:40:51,82.53,82.5,34,-36,13.88,13.72,65.25,51.53,65.47,51.59,190
12/15/22,20:45:52,82.66,82.63,34,-36,13.89,13.66,65.28,51.63,65.54,51.65,190
12/15/22,20:50:52,82.78,82.74,34,-36,13.89,13.66,65.19,51.53,65.47,51.58,190
12/15/22,20:55:53,82.91,82.84,34,-36,13.9,13.69,65.28,51.59,65.54,51.64,192
12/15/22,21:00:53,82.81,82.87,34,-36,13.89,13.69,65.22,51.53,65.47,51.58,190
12/15/22,21:05:54,82.94,82.9,34,-36,13.9,13.69,65.25,51.56,65.54,51.64,192
12/15/22,21:10:54,82.81,82.89,34,-36,13.9,13.66,65.19,51.53,65.48,51.58,190
12/15/22,21:15:55,82.81,82.88,34,-36,13.91,13.66,65.25,51.59,65.55,51.64,190
12/15/22,21:20:55,82.81,82.79,34,-36,13.9,13.72,65.25,51.53,65.48,51.58,192
12/15/22,21:25:56,82.75,82.76,34,-36,13.92,13.69,65.28,51.59,65.56,51.64,192
12/15/22,21:30:56,82.66,82.72,34,-36,13.91,13.66,65.19,51.53,65.48,51.58,192
12/15/22,21:35:57,82.69,82.72,34,-36,13.92,13.69,65.28,51.59,65.56,51.64,190
12/15/22,21:40:57,82.69,82.65,34,-36,13.92,13.69,65.22,51.53,65.5,51.58,190
12/15/22,21:45:58,82.53,82.59,34,-36,13.94,13.78,65.34,51.56,65.58,51.64,192
12/15/22,21:50:58,82.44,82.41,34,-36,13.94,13.75,65.25,51.5,65.52,51.58,192
12/15/22,21:55:58,82.22,82.32,34,-36,13.96,13.78,65.37,51.59,65.6,51.64,190
12/15/22,22:00:59,82.22,82.29,34,-36,13.96,13.75,65.28,51.53,65.54,51.58,192
12/15/22,22:05:59,82.34,82.32,34,-36,13.99,13.78,65.34,51.56,65.63,51.64,190
12/15/22,22:11:00,82.31,82.32,34,-36,14,13.81,65.34,51.53,65.58,51.58,190
12/15/22,22:16:00,82.37,82.34,34,-36,14.03,13.75,65.34,51.59,65.66,51.63,192
12/15/22,22:21:01,82.34,82.38,34,-36,14.01,13.75,65.28,51.53,65.59,51.58,192
12/15/22,22:26:01,82.47,82.43,34,-36,14.03,13.91,65.47,51.56,65.67,51.64,190
12/15/22,22:31:02,82.5,82.51,34,-36,14.02,13.81,65.34,51.53,65.6,51.58,190
12/15/22,22:36:02,82.62,82.61,34,-36,14.03,13.81,65.37,51.56,65.66,51.63,190
12/15/22,22:41:03,82.66,82.67,34,-36,14.01,13.81,65.34,51.53,65.59,51.58,192
