Date,Time,J1 diff (mV),J1 oversampled (mV),J2+ (mV),J3 diff (mV),J4 oversampled (mV), J4 (mV), J4+ (mV),J4- (mV), J4+ oversampled (mV),J4- oversampled (mV),Coin battery (mV)
12/16/22,14:20:01,112.56,112.62,34,-36,-3.31,-3.44,48.41,51.84,48.58,51.89,186
12/16/22,14:20:11,112.59,112.59,34,-36,-3.32,-3.41,48.41,51.81,48.52,51.85,188
12/16/22,14:20:21,112.56,112.57,34,-36,-3.35,-3.37,48.47,51.84,48.55,51.9,188
12/16/22,14:20:31,112.66,112.57,34,-36,-3.36,-3.47,48.31,51.78,48.48,51.84,184
12/16/22,14:20:41,112.62,112.54,34,-36,-3.39,-3.47,48.34,51.81,48.51,51.9,186
12/16/22,14:20:51,112.59,112.55,34,-36,-3.41,-3.5,48.31,51.81,48.44,51.85,188
12/16/22,14:21:01,112.5,112.55,34,-36,-3.43,-3.47,48.41,51.88,48.47,51.9,186
12/16/22,14:21:11,112.41,112.56,34,-36,-3.45,-3.53,48.28,51.81,48.4,51.85,186
12/16/22,14:21:21,112.56,112.59,34,-36,-3.48,-3.59,48.25,51.84,48.42,51.9,188
12/16/22,14:21:31,112.59,112.52,34,-36,-3.5,-3.53,48.25,51.78,48.35,51.85,186
12/16/22,14:21:41,112.56,112.53,34,-36,-3.52,-3.62,48.22,51.84,48.38,51.9,188
12/16/22,14:21:51,112.34,112.51,34,-36,-3.53,-3.56,48.22,51.78,48.32,51.85,188
12/16/22,14:22:01,112.56,112.52,34,-36,-3.56,-3.62,48.22,51.84,48.34,51.9,186
12/16/22,14:22:11,112.56,112.48,34,-36,-3.57,-3.66,48.13,51.78,48.28,51.85,188
12/16/22,14:22:21,112.56,112.51,34,-36,-3.6,-3.72,48.13,51.84,48.3,51.9,186
12/16/22,14:22:31,112.34,112.48,34,-36,-3.62,-3.66,48.13,51.78,48.23,51.85,188
12/16/22,14:22:41,112.5,112.46,34,-36,-3.64,-3.75,48.09,51.84,48.26,51.9,186
12/16/22,14:22:51,112.47,112.45,34,-36,-3.65,-3.72,48.06,51.78,48.19,51.85,186
12/16/22,14:23:01,112.25,112.43,34,-36,-3.69,-3.72,48.09,51.81,48.21,51.9,186
12/16/22,14:23:11,112.37,112.44,34,-36,-3.7,-3.75,48.06,51.81,48.15,51.85,188
12/16/22,14:23:21,112.44,112.45,34,-36,-3.73,-3.78,48.06,51.84,48.17,51.9,186
12/16/22,14:23:31,112.53,112.41,34,-36,-3.75,-3.81,48,51.81,48.11,51.85,184
12/16/22,14:23:41,112.34,112.39,34,-36,-3.77,-3.81,48.03,51.84,48.13,51.91,188
12/16/22,14:23:51,112.44,112.38,34,-36,-3.79,-3.84,47.97,51.81,48.07,51.85,186
12/16/22,14:24:01,112.31,112.37,34,-36,-3.81,-3.87,47.97,51.84,48.09,51.9,186
12/16/22,14:24:11,112.37,112.36,34,-36,-3.83,-3.91,47.88,51.78,48.03,51.86,188
12/16/22,14:24:21,112.41,112.37,34,-36,-3.86,-3.91,47.94,51.84,48.05,51.91,190
12/16/22,14:24:31,112.31,112.35,34,-36,-3.87,-3.97,47.84,51.81,47.98,51.86,188
12/16/22,14:24:41,112.31,112.35,34,-36,-3.9,-3.97,47.91,51.88,48.01,51.91,190
12/16/22,14:24:51,112.34,112.35,34,-36,-3.92,-4,47.81,51.81,47.94,51.86,186
12/16/22,14:25:01,112.41,112.35,34,-36,-3.94,-4,47.88,51.88,47.97,51.9,188
12/16/22,14:25:11,112.34,112.34,34,-36,-3.96,-4,47.81,51.81,47.9,51.86,188
12/16/22,14:25:21,112.37,112.34,34,-36,-3.98,-4.12,47.75,51.88,47.93,51.91,186
12/16/22,14:25:31,112.34,112.32,34,-36,-4,-4.03,47.75,51.78,47.86,51.86,186
12/16/22,14:25:41,112.34,112.31,34,-36,-4.03,-4.09,47.75,51.84,47.88,51.91,188
12/16/22,14:25:51,112.28,112.3,34,-36,-4.04,-4.09,47.69,51.78,47.82,51.86,186
12/16/22,14:26:01,112.16,112.25,34,-36,-4.06,-4.16,47.69,51.84,47.85,51.91,186
12/16/22,14:26:11,112.22,112.24,34,-36,-4.08,-4.12,47.69,51.81,47.78,51.86,188
12/16/22,14:26:21,112.22,112.25,34,-36,-4.11,-4.25,47.63,51.88,47.8,51.91,186
12/16/22,14:26:31,112.19,112.24,34,-36,-4.12,-4.22,47.59,51.81,47.73,51.86,186
12/16/22,14:26:41,112.09,112.25,34,-36,-4.15,-4.25,47.63,51.88,47.76,51.91,186
12/16/22,14:26:51,112.31,112.24,34,-36,-4.17,-4.28,47.53,51.81,47.69,51.86,186
12/16/22,14:27:01,112.19,112.23,34,-36,-4.19,-4.28,47.59,51.88,47.72,51.91,188
12/16/22,14:27:11,112.16,112.21,34,-36,-4.2,-4.28,47.53,51.81,47.66,51.86,186
12/16/22,14:27:21,112.25,112.22,34,-36,-4.23,-4.25,47.59,51.84,47.68,51.91,186
12/16/22,14:27:31,112.16,112.2,34,-36,-4.24,-4.34,47.47,51.81,47.63,51.86,188
12/16/22,14:27:41,112.22,112.22,34,-36,-4.28,-4.37,47.5,51.88,47.64,51.91,186
12/16/22,14:27:51,112.22,112.17,34,-36,-4.28,-4.31,47.47,51.78,47.58,51.86,188
12/16/22,14:28:01,112.16,112.16,34,-36,-4.32,-4.41,47.44,51.84,47.6,51.92,186
12/16/22,14:28:11,112.09,112.14,34,-36,-4.33,-4.34,47.47,51.81,47.54,51.87,188
12/16/22,14:28:21,112.16,112.15,34,-36,-4.36,-4.47,47.41,51.88,47.55,51.92,184
12/16/22,14:28:31,112,112.12,34,-36,-4.37,-4.5,47.34,51.84,47.49,51.87,186
12/16/22,14:28:41,112.06,112.12,34,-36,-4.4,-4.47,47.38,51.84,47.52,51.92,186
12/16/22,14:28:51,112.09,112.1,34,-36,-4.41,-4.47,47.34,51.81,47.46,51.87,184
12/16/22,14:29:01,112.09,112.11,34,-36,-4.45,-4.5,47.34,51.84,47.47,51.92,188
12/16/22,14:29:11,112.06,112.1,34,-36,-4.46,-4.5,47.28,51.78,47.41,51.87,188
12/16/22,14:29:21,112.09,112.09,34,-36,-4.48,-4.59,47.28,51.88,47.44,51.92,184
12/16/22,14:29:31,112,112.06,34,-36,-4.5,-4.59,47.22,51.81,47.37,51.87,186
12/16/22,14:29:41,111.97,112.06,34,-36,-4.51,-4.62,47.25,51.88,47.4,51.91,186
12/16/22,14:29:51,112.22,112.1,34,-36,-4.54,-4.59,47.22,51.81,47.33,51.87,186
12/16/22,14:30:01,111.97,112.08,34,-36,-4.56,-4.59,47.25,51.84,47.35,51.92,186
12/16/22,14:30:11,112.03,112.04,34,-36,-4.57,-4.66,47.16,51.81,47.3,51.87,184
12/16/22,14:30:21,112.03,112.08,34,-36,-4.61,-4.66,47.19,51.84,47.31,51.92,186
12/16/22,14:30:31,112.19,112.07,34,-36,-4.62,-4.72,47.09,51.81,47.25,51.87,188
12/16/22,14:30:41,112,112.03,34,-36,-4.65,-4.72,47.16,51.88,47.27,51.92,186
12/16/22,14:30:51,111.78,112,34,-36,-4.66,-4.72,47.13,51.84,47.21,51.87,188
12/16/22,14:31:01,112.09,111.98,34,-36,-4.68,-4.78,47.09,51.88,47.24,51.92,186
