Date,Time,J1 diff (mV),J1 oversampled (mV),J2+ (mV),J3 diff (mV),J4 oversampled (mV), J4 (mV), J4+ (mV),J4- (mV), J4+ oversampled (mV),J4- oversampled (mV),Coin battery (mV)
12/16/22,16:10:06,91.97,92.01,34,-36,-13.22,-13.31,38.38,51.69,38.48,51.7,188
12/16/22,16:10:16,92,92.01,34,-36,-13.24,-13.28,38.47,51.75,38.51,51.76,188
12/16/22,16:10:26,91.91,92.02,34,-36,-13.23,-13.31,38.38,51.69,38.47,51.7,188
12/16/22,16:10:36,92.16,92.06,34,-36,-13.26,-13.28,38.44,51.72,38.5,51.76,188
12/16/22,16:10:46,92,92.05,34,-36,-13.24,-13.31,38.38,51.69,38.46,51.7,186
12/16/22,16:10:56,92,92.09,34,-36,-13.27,-13.31,38.41,51.72,38.49,51.77,188
12/16/22,16:11:06,92.16,92.06,34,-36,-13.26,-13.31,38.38,51.69,38.45,51.71,188
12/16/22,16:11:16,92.09,92.08,34,-36,-13.28,-13.34,38.41,51.75,38.48,51.77,186
12/16/22,16:11:26,92.03,92.07,34,-36,-13.27,-13.31,38.38,51.69,38.43,51.71,186
12/16/22,16:11:36,91.97,92.05,34,-36,-13.3,-13.34,38.41,51.75,38.47,51.77,190
12/16/22,16:11:46,92.03,92.06,34,-36,-13.29,-13.34,38.34,51.69,38.42,51.71,188
12/16/22,16:11:56,92.09,92.09,34,-36,-13.31,-13.34,38.41,51.75,38.45,51.77,188
12/16/22,16:12:06,92.12,92.08,34,-36,-13.3,-13.31,38.34,51.66,38.41,51.71,188
12/16/22,16:12:16,92.06,92.08,34,-36,-13.33,-13.31,38.41,51.72,38.45,51.77,188
12/16/22,16:12:26,92.12,92.11,34,-36,-13.31,-13.34,38.34,51.69,38.41,51.71,190
12/16/22,16:12:36,92.16,92.11,34,-36,-13.34,-13.34,38.38,51.72,38.44,51.77,188
12/16/22,16:12:46,92.03,92.1,34,-36,-13.32,-13.41,38.28,51.69,38.39,51.72,188
12/16/22,16:12:56,92.25,92.14,34,-36,-13.35,-13.41,38.34,51.75,38.42,51.78,188
12/16/22,16:13:06,92.12,92.11,34,-36,-13.34,-13.34,38.34,51.69,38.38,51.72,188
12/16/22,16:13:16,92.19,92.1,34,-36,-13.36,-13.38,38.34,51.72,38.42,51.78,188
12/16/22,16:13:26,92.06,92.09,34,-36,-13.35,-13.41,38.28,51.69,38.37,51.72,186
12/16/22,16:13:36,92.03,92.13,34,-36,-13.38,-13.41,38.34,51.75,38.4,51.78,188
12/16/22,16:13:46,92.19,92.1,34,-36,-13.36,-13.44,38.25,51.69,38.36,51.72,190
12/16/22,16:13:56,92.16,92.1,34,-36,-13.39,-13.44,38.31,51.75,38.39,51.78,188
12/16/22,16:14:06,92.06,92.12,34,-36,-13.38,-13.38,38.31,51.69,38.35,51.72,186
12/16/22,16:14:16,92.09,92.13,34,-36,-13.41,-13.44,38.31,51.75,38.37,51.78,188
12/16/22,16:14:26,91.91,92.12,34,-36,-13.39,-13.44,38.28,51.72,38.33,51.72,188
12/16/22,16:14:36,92.19,92.11,34,-36,-13.42,-13.44,38.31,51.75,38.36,51.78,188
12/16/22,16:14:46,92.03,92.09,34,-36,-13.41,-13.47,38.25,51.72,38.32,51.73,190
12/16/22,16:14:56,92,92.1,34,-36,-13.43,-13.47,38.28,51.75,38.35,51.78,188
12/16/22,16:15:06,92.19,92.11,34,-36,-13.41,-13.5,38.22,51.72,38.31,51.73,188
12/16/22,16:15:16,92.12,92.12,34,-36,-13.44,-13.47,38.28,51.75,38.35,51.79,188
12/16/22,16:15:26,92.06,92.1,34,-36,-13.43,-13.47,38.22,51.69,38.3,51.73,186
12/16/22,16:15:36,92.16,92.12,34,-36,-13.45,-13.5,38.25,51.75,38.33,51.79,190
12/16/22,16:15:46,92,92.1,34,-36,-13.44,-13.47,38.22,51.69,38.29,51.73,186
12/16/22,16:15:56,92.06,92.08,34,-36,-13.46,-13.5,38.25,51.75,38.32,51.79,190
12/16/22,16:16:06,92.03,92.11,34,-36,-13.45,-13.44,38.25,51.69,38.28,51.73,190
12/16/22,16:16:16,92.12,92.08,34,-36,-13.47,-13.53,38.22,51.75,38.32,51.79,188
12/16/22,16:16:26,92.19,92.1,34,-36,-13.47,-13.5,38.19,51.69,38.27,51.73,188
12/16/22,16:16:36,91.91,92.09,34,-36,-13.49,-13.5,38.25,51.75,38.3,51.79,186
12/16/22,16:16:46,91.97,92.09,34,-36,-13.48,-13.53,38.19,51.72,38.25,51.73,188
12/16/22,16:16:56,92,92.1,34,-36,-13.51,-13.56,38.22,51.78,38.29,51.8,188
12/16/22,16:17:06,92.06,92.11,34,-36,-13.49,-13.5,38.19,51.69,38.25,51.73,186
12/16/22,16:17:16,92.09,92.1,34,-36,-13.52,-13.59,38.16,51.75,38.28,51.8,188
12/16/22,16:17:26,92,92.07,34,-36,-13.5,-13.59,38.13,51.72,38.24,51.74,188
12/16/22,16:17:36,92.16,92.08,34,-36,-13.53,-13.56,38.19,51.75,38.27,51.79,190
12/16/22,16:17:46,92.16,92.1,34,-36,-13.51,-13.47,38.22,51.69,38.23,51.74,190
12/16/22,16:17:56,92.03,92.1,34,-36,-13.54,-13.59,38.16,51.75,38.25,51.8,188
12/16/22,16:18:06,92,92.09,34,-36,-13.52,-13.5,38.19,51.69,38.22,51.74,190
12/16/22,16:18:16,92.03,92.06,34,-36,-13.55,-13.56,38.19,51.75,38.25,51.8,190
12/16/22,16:18:26,92.03,92.1,34,-36,-13.55,-13.59,38.13,51.72,38.2,51.74,188
12/16/22,16:18:36,92,92.08,34,-36,-13.56,-13.63,38.13,51.75,38.24,51.8,186
12/16/22,16:18:46,92.19,92.08,34,-36,-13.55,-13.59,38.13,51.72,38.2,51.75,190
12/16/22,16:18:56,92.06,92.09,34,-36,-13.59,-13.56,38.19,51.75,38.22,51.81,190
12/16/22,16:19:06,92,92.08,34,-36,-13.57,-13.59,38.13,51.72,38.18,51.75,186
12/16/22,16:19:16,92.03,92.09,34,-36,-13.59,-13.69,38.09,51.78,38.22,51.8,188
12/16/22,16:19:26,92.09,92.08,34,-36,-13.58,-13.59,38.13,51.72,38.17,51.75,190
12/16/22,16:19:36,92.03,92.05,34,-36,-13.6,-13.56,38.19,51.75,38.2,51.81,188
12/16/22,16:19:46,92.09,92.04,34,-36,-13.59,-13.59,38.13,51.72,38.16,51.75,186
12/16/22,16:19:56,92,92.07,34,-36,-13.61,-13.66,38.13,51.78,38.2,51.8,190
12/16/22,16:20:06,91.97,92.05,34,-36,-13.6,-13.56,38.13,51.69,38.15,51.75,188
12/16/22,16:20:16,92.25,92.05,34,-36,-13.62,-13.66,38.13,51.78,38.19,51.81,186
12/16/22,16:20:26,92,92.02,34,-36,-13.61,-13.59,38.09,51.69,38.14,51.75,188
12/16/22,16:20:36,92.09,92.01,34,-36,-13.63,-13.66,38.09,51.75,38.18,51.81,188
