"date_time","v1","v2","v3","v4","logger","durafet"
2023-04-09 14:40:19,103.44,36,34.25,45.31,"arduino","red"
2023-04-09 14:40:49,103.53,36,34.25,45.34,"arduino","red"
2023-04-09 14:41:19,103.59,36,34.25,45.34,"arduino","red"
2023-04-09 14:41:49,103.69,36.25,34.25,45.38,"arduino","red"
2023-04-09 14:42:19,103.72,36,34.25,45.41,"arduino","red"
2023-04-09 14:42:49,103.78,36,34,45.41,"arduino","red"
2023-04-09 14:43:19,103.81,36,34.25,45.41,"arduino","red"
2023-04-09 14:43:49,103.84,36,34.25,45.41,"arduino","red"
2023-04-09 14:44:19,103.84,36,34.25,45.41,"arduino","red"
2023-04-09 14:44:49,103.87,36,34,45.41,"arduino","red"
2023-04-09 14:45:19,103.91,36,33.75,45.44,"arduino","red"
2023-04-09 14:45:49,103.91,36,34.25,45.44,"arduino","red"
2023-04-09 14:46:19,103.91,36,34,45.44,"arduino","red"
2023-04-09 14:46:49,103.91,36,34,45.44,"arduino","red"
2023-04-09 14:47:19,103.94,36,34,45.44,"arduino","red"
2023-04-09 14:47:49,103.91,36,34.25,45.44,"arduino","red"
2023-04-09 14:48:19,103.91,36,34,45.44,"arduino","red"
2023-04-09 14:48:49,103.91,36,34,45.44,"arduino","red"
2023-04-09 14:49:19,103.91,36,34,45.44,"arduino","red"
2023-04-09 14:49:49,103.94,36,34,45.44,"arduino","red"
2023-04-09 14:50:19,103.91,36,34.25,45.44,"arduino","red"
2023-04-09 14:50:49,103.94,36,34,45.44,"arduino","red"
2023-04-09 14:51:19,103.94,36,34.25,45.47,"arduino","red"
2023-04-09 14:51:49,103.94,36,34,45.44,"arduino","red"
2023-04-09 14:52:19,103.91,36,34.25,45.47,"arduino","red"
2023-04-09 14:52:49,103.91,36,33.75,45.47,"arduino","red"
2023-04-09 14:53:19,103.91,36,34,45.47,"arduino","red"
2023-04-09 14:53:49,103.87,36,34.25,45.47,"arduino","red"
2023-04-09 14:54:19,103.87,36,34,45.47,"arduino","red"
2023-04-09 14:54:49,103.87,36,34,45.47,"arduino","red"
2023-04-09 14:55:19,103.87,36,34.25,45.47,"arduino","red"
2023-04-09 14:55:49,103.84,36,34,45.47,"arduino","red"
2023-04-09 14:56:19,103.84,36,34,45.43,"arduino","red"
