"date_time","v1","v2","v3","v4","logger","durafet"
2023-04-12 17:18:00,55.31,36,34,-19.84,"arduino","red"
2023-04-12 17:18:15,55.28,36,34,-19.87,"arduino","red"
2023-04-12 17:18:30,55.25,36,34,-19.84,"arduino","red"
2023-04-12 17:18:45,55.25,36,34,-19.87,"arduino","red"
2023-04-12 17:19:00,55.16,36,34,-19.84,"arduino","red"
2023-04-12 17:19:15,55.13,36,33.5,-19.87,"arduino","red"
2023-04-12 17:19:30,55.06,36,34,-19.84,"arduino","red"
2023-04-12 17:19:45,55.06,36,34,-19.87,"arduino","red"
2023-04-12 17:20:00,55.03,36,34,-19.84,"arduino","red"
2023-04-12 17:20:15,54.97,36,34,-19.87,"arduino","red"
2023-04-12 17:20:30,55,36,34,-19.87,"arduino","red"
2023-04-12 17:20:45,55,36,34,-19.84,"arduino","red"
2023-04-12 17:21:00,55,36,34,-19.87,"arduino","red"
2023-04-12 17:21:15,54.97,36,34.25,-19.84,"arduino","red"
2023-04-12 17:21:30,54.97,36,34,-19.87,"arduino","red"
2023-04-12 17:21:45,54.97,36,34,-19.87,"arduino","red"
2023-04-12 17:22:00,54.97,36,34,-19.87,"arduino","red"
2023-04-12 17:22:15,54.97,36,34,-19.9,"arduino","red"
2023-04-12 17:22:30,54.94,36,34,-19.87,"arduino","red"
2023-04-12 17:22:45,54.91,36,34,-19.9,"arduino","red"
2023-04-12 17:23:00,54.88,36,33.5,-19.87,"arduino","red"
2023-04-12 17:23:15,54.91,36,34,-19.9,"arduino","red"
2023-04-12 17:23:30,54.94,36,34,-19.87,"arduino","red"
2023-04-12 17:23:45,54.91,36,34.25,-19.87,"arduino","red"
2023-04-12 17:24:00,54.88,36,33.75,-19.87,"arduino","red"
2023-04-12 17:24:15,54.94,36,34,-19.87,"arduino","red"
2023-04-12 17:24:30,54.94,36,34,-19.87,"arduino","red"
2023-04-12 17:24:45,54.94,36,34,-19.87,"arduino","red"
2023-04-12 17:25:00,54.91,36,34,-19.87,"arduino","red"
2023-04-12 17:25:15,54.88,36,34,-19.9,"arduino","red"
2023-04-12 17:25:30,54.91,36,34,-19.87,"arduino","red"
2023-04-12 17:25:45,54.88,36,33.5,-19.87,"arduino","red"
2023-04-12 17:26:00,54.81,36,34,-19.91,"arduino","red"
2023-04-12 17:26:15,54.81,36,34,-19.91,"arduino","red"
2023-04-12 17:26:30,54.78,36,33.75,-19.91,"arduino","red"
2023-04-12 17:26:45,54.78,36,34,-19.91,"arduino","red"
2023-04-12 17:27:00,54.72,36,34,-19.91,"arduino","red"
2023-04-12 17:27:15,54.75,36,34,-19.87,"arduino","red"
2023-04-12 17:27:30,54.72,36,34,-19.91,"arduino","red"
2023-04-12 17:27:45,54.75,36,34,-19.9,"arduino","red"
2023-04-12 17:28:00,54.75,36,34,-19.91,"arduino","red"
2023-04-12 17:28:15,54.72,36,34,-19.91,"arduino","red"
2023-04-12 17:28:30,54.72,36,34,-19.91,"arduino","red"
2023-04-12 17:28:45,54.72,36,34,-19.94,"arduino","red"
2023-04-12 17:29:00,54.72,36,34,-19.91,"arduino","red"
2023-04-12 17:29:15,54.75,36,34,-19.91,"arduino","red"
2023-04-12 17:29:30,54.75,36,33.5,-19.91,"arduino","red"
2023-04-12 17:29:45,54.75,36,34,-19.87,"arduino","red"
2023-04-12 17:30:00,54.78,36,34,-19.91,"arduino","red"
2023-04-12 17:30:15,54.75,36,34,-19.9,"arduino","red"
2023-04-12 17:30:30,54.72,36,33.75,-19.91,"arduino","red"
2023-04-12 17:30:45,54.72,36,34,-19.87,"arduino","red"
2023-04-12 17:31:00,54.72,36,34,-19.91,"arduino","red"
2023-04-12 17:31:15,54.75,36,34,-19.9,"arduino","red"
2023-04-12 17:31:30,54.72,36,34,-19.91,"arduino","red"
2023-04-12 17:31:45,54.69,36,34,-19.91,"arduino","red"
2023-04-12 17:32:00,54.72,36,34,-19.91,"arduino","red"
2023-04-12 17:32:15,54.72,36,34,-19.94,"arduino","red"
2023-04-12 17:32:30,54.75,36,34,-19.91,"arduino","red"
2023-04-12 17:32:45,54.75,36,34.25,-19.94,"arduino","red"
2023-04-12 17:33:00,54.78,36,34,-19.91,"arduino","red"
2023-04-12 17:33:15,54.75,36,34,-19.94,"arduino","red"
2023-04-12 17:33:30,54.78,36,34,-19.91,"arduino","red"
2023-04-12 17:33:45,54.72,36,34.25,-19.94,"arduino","red"
2023-04-12 17:34:00,54.75,36,34,-19.91,"arduino","red"
2023-04-12 17:34:15,54.75,36,34,-19.94,"arduino","red"
2023-04-12 17:34:30,54.75,36,34,-19.91,"arduino","red"
2023-04-12 17:34:45,54.72,36,34,-19.91,"arduino","red"
2023-04-12 17:35:00,54.72,36,34,-19.91,"arduino","red"
2023-04-12 17:35:15,54.72,36,34,-19.94,"arduino","red"
2023-04-12 17:35:30,54.72,36,33.75,-19.94,"arduino","red"
2023-04-12 17:35:45,54.75,36,34,-19.94,"arduino","red"
2023-04-12 17:36:00,54.72,36,33.5,-19.94,"arduino","red"
2023-04-12 17:36:15,54.75,36,34,-19.94,"arduino","red"
2023-04-12 17:36:30,54.75,36,34.25,-19.94,"arduino","red"
2023-04-12 17:36:45,54.72,36,34,-19.97,"arduino","red"
2023-04-12 17:37:00,54.78,36,34,-19.94,"arduino","red"
2023-04-12 17:37:15,54.72,36,34,-19.91,"arduino","red"
2023-04-12 17:37:30,54.75,36,34,-19.94,"arduino","red"
2023-04-12 17:37:45,54.75,36,34.25,-19.97,"arduino","red"
2023-04-12 17:38:00,54.75,36,33.75,-19.94,"arduino","red"
2023-04-12 17:38:15,54.72,36,34,-19.97,"arduino","red"
2023-04-12 17:38:30,54.69,36,34,-19.94,"arduino","red"
2023-04-12 17:38:45,54.72,36,34,-19.94,"arduino","red"
2023-04-12 17:39:00,54.69,36,34.25,-19.94,"arduino","red"
2023-04-12 17:39:15,54.72,36,34.25,-19.97,"arduino","red"
2023-04-12 17:39:30,54.72,36,34,-19.94,"arduino","red"
2023-04-12 17:39:45,54.75,36,33.5,-19.94,"arduino","red"
2023-04-12 17:40:00,54.75,36,34,-19.94,"arduino","red"
2023-04-12 17:40:15,54.75,36,34,-19.94,"arduino","red"
2023-04-12 17:40:30,54.72,36,34,-19.94,"arduino","red"
2023-04-12 17:40:45,54.72,36,34,-19.94,"arduino","red"
2023-04-12 17:41:00,54.72,36,34,-19.94,"arduino","red"
2023-04-12 17:41:15,54.66,36,34,-19.94,"arduino","red"
2023-04-12 17:41:30,54.63,36,33.75,-19.94,"arduino","red"
2023-04-12 17:41:45,54.66,36,34,-19.94,"arduino","red"
2023-04-12 17:42:00,54.69,36,34,-19.94,"arduino","red"
2023-04-12 17:42:15,54.72,36,34,-19.97,"arduino","red"
2023-04-12 17:42:30,54.69,36,33.5,-19.94,"arduino","red"
2023-04-12 17:42:45,54.66,36,34.25,-19.94,"arduino","red"
2023-04-12 17:43:00,54.69,36,34,-19.94,"arduino","red"
2023-04-12 17:43:15,54.69,36,34,-19.94,"arduino","red"
2023-04-12 17:43:30,54.66,36,33.75,-19.94,"arduino","red"
2023-04-12 17:43:45,54.63,36,34,-19.94,"arduino","red"
2023-04-12 17:44:00,54.66,36,34,-19.94,"arduino","red"
2023-04-12 17:44:15,54.63,36,34,-19.94,"arduino","red"
2023-04-12 17:44:30,54.66,36,34,-19.94,"arduino","red"
2023-04-12 17:44:45,54.66,36,34,-19.97,"arduino","red"
2023-04-12 17:45:00,54.59,36,34,-19.94,"arduino","red"
2023-04-12 17:45:15,54.59,36,34,-19.94,"arduino","red"
