"date_time","durafet_temp","p_h","logger","durafet"
2023-04-08 11:00:00,18.9808234994344,7.73850203167392,"madgetech","red"
2023-04-08 11:00:30,18.9864107028157,7.73853253670204,"madgetech","red"
2023-04-08 11:01:00,18.9914788100373,7.73990033055679,"madgetech","red"
2023-04-08 11:01:30,18.9970540844208,7.73919809437362,"madgetech","red"
2023-04-08 11:02:00,19.0018497115603,7.73863177728026,"madgetech","red"
2023-04-08 11:02:30,19.0069771513612,7.73912021132623,"madgetech","red"
2023-04-08 11:03:00,18.993464777494,7.741066790803,"madgetech","red"
2023-04-08 11:03:30,18.9884606987183,7.74053996457751,"madgetech","red"
2023-04-08 11:04:00,18.9889845329947,7.7397757107831,"madgetech","red"
2023-04-08 11:04:30,18.9887254135878,7.74006724100611,"madgetech","red"
2023-04-08 11:05:00,18.9885443689976,7.74003303121718,"madgetech","red"
2023-04-08 11:05:30,18.9890499942601,7.73989207095681,"madgetech","red"
2023-04-08 11:06:00,18.9900906370446,7.73965197378334,"madgetech","red"
2023-04-08 11:06:30,18.992825357576,7.74037816666779,"madgetech","red"
2023-04-08 11:07:00,18.9964840212604,7.74010317691691,"madgetech","red"
2023-04-08 11:07:30,19.0012550727798,7.73899850165501,"madgetech","red"
2023-04-08 11:08:00,19.0054401936103,7.73912130118815,"madgetech","red"
2023-04-08 11:08:30,19.0088796114455,7.7392782426588,"madgetech","red"
2023-04-08 11:09:00,19.0128685056052,7.73877114970375,"madgetech","red"
2023-04-08 11:09:30,19.0167493585044,7.73836649765331,"madgetech","red"
2023-04-08 11:10:00,19.0204886768596,7.73851998186224,"madgetech","red"
2023-04-08 11:10:30,19.0239018840489,7.73789507476792,"madgetech","red"
2023-04-08 11:11:00,19.0277120014993,7.7382838767156,"madgetech","red"
2023-04-08 11:11:30,19.0312403616573,7.73794494807143,"madgetech","red"
2023-04-08 11:12:00,19.0352951239855,7.73763773469067,"madgetech","red"
2023-04-08 11:12:30,19.038832380271,7.73788622646788,"madgetech","red"
2023-04-08 11:13:00,19.0423645174578,7.73768768223314,"madgetech","red"
2023-04-08 11:13:30,19.0459622838279,7.73722291554635,"madgetech","red"
2023-04-08 11:14:00,19.0484398400405,7.73751499270393,"madgetech","red"
2023-04-08 11:14:30,19.0510337193209,7.73804056148608,"madgetech","red"
2023-04-08 11:15:00,19.0532296418223,7.73738832824589,"madgetech","red"
2023-04-08 11:15:30,19.0554573098583,7.73753299489609,"madgetech","red"
2023-04-08 11:16:00,19.0572266343018,7.73731141531267,"madgetech","red"
2023-04-08 11:16:30,19.0602047229387,7.73714629029546,"madgetech","red"
2023-04-08 11:17:00,19.0630028398715,7.73708907213479,"madgetech","red"
2023-04-08 11:17:30,19.0656433266383,7.73727269806628,"madgetech","red"
