Date,Time,J1 (mV),J1 oversampled mean (mV),J1 oversampled mean,J1 oversampled min,J1 oversampled max,J1 oversampled sd,J2+ (mV),J3 (mV),J4+ (mV),J4+ oversampled mean (mV),J4+ oversampled mean,J4+ oversampled min,J4+ oversampled max,J4+ oversampled sd,J4- (mV),J4- oversampled mean (mV),J4- oversampled mean,J4- oversampled min,J4- oversampled max,J4- oversampled sd
4/8/23,12:30:00,106.62,106.41,3405,3394,3416,4.72,34.5,-36.25,35.41,35.44,1134,1131,1136,0.92,51.97,52.06,1666,1666,1668,0.97
4/8/23,12:30:30,106.41,106.28,3401,3389,3412,5.02,34.5,-36.25,35.28,35.28,1129,1127,1133,1.18,52.09,52.06,1666,1666,1668,0.92
4/8/23,12:31:00,106.34,106.22,3399,3390,3409,4.5,34.5,-36.25,35.19,35.16,1125,1123,1129,1.17,52.06,52.06,1666,1666,1668,0.99
4/8/23,12:31:30,106.16,106.12,3396,3386,3409,4.67,34.5,-36.25,35,35.03,1121,1119,1125,1.34,52.09,52.06,1666,1666,1668,0.87
4/8/23,12:32:00,105.97,106.03,3393,3381,3404,4.9,34.25,-36.25,34.91,34.94,1118,1115,1121,1.07,52.09,52.06,1666,1666,1668,0.82
4/8/23,12:32:30,106.16,105.97,3391,3379,3401,4.56,34.5,-36.25,34.88,34.84,1115,1113,1118,1.02,52.09,52.06,1666,1666,1668,0.96
4/8/23,12:33:00,105.84,105.91,3389,3380,3401,4.72,34.75,-36.25,34.72,34.75,1112,1109,1115,0.96,52.06,52.06,1666,1665,1668,0.85
4/8/23,12:33:30,106.03,105.87,3388,3378,3399,4.51,34.5,-36.25,34.59,34.66,1109,1107,1112,0.96,52.06,52.06,1666,1665,1668,0.86
4/8/23,12:34:00,105.56,105.78,3385,3375,3397,4.5,34.5,-36.25,34.56,34.56,1106,1104,1109,1.15,52.09,52.06,1666,1665,1668,0.81
4/8/23,12:34:30,105.94,105.75,3384,3373,3395,4.72,34.5,-36.25,34.47,34.5,1104,1101,1106,0.94,52.06,52.06,1666,1666,1668,0.8
4/8/23,12:35:00,105.84,105.72,3383,3374,3393,4.41,34.5,-36.25,34.47,34.41,1101,1100,1104,1.17,52.06,52.06,1666,1665,1668,0.74
4/8/23,12:35:30,105.91,105.69,3382,3371,3392,4.49,34.5,-36.25,34.28,34.34,1099,1097,1102,1,51.94,52.06,1666,1665,1668,0.78
4/8/23,12:36:00,105.75,105.59,3379,3370,3388,4.64,34.5,-36.25,34.25,34.28,1097,1095,1100,1,52.09,52.06,1666,1665,1667,0.77
4/8/23,12:36:30,105.69,105.53,3377,3369,3390,4.5,34.5,-36.25,34.19,34.22,1095,1093,1098,1.02,52.06,52.06,1666,1665,1668,0.7
4/8/23,12:37:00,105.5,105.5,3376,3364,3389,4.91,34.5,-36.25,34.19,34.16,1093,1091,1096,1.01,52.06,52.06,1666,1665,1668,0.75
