Date,Time,J1 (mV),J1 oversampled mean (mV),J1 oversampled mean,J1 oversampled min,J1 oversampled max,J1 oversampled sd,J2+ (mV),J3 (mV),J4+ (mV),J4+ oversampled mean (mV),J4+ oversampled mean,J4+ oversampled min,J4+ oversampled max,J4+ oversampled sd,J4- (mV),J4- oversampled mean (mV),J4- oversampled mean,J4- oversampled min,J4- oversampled max,J4- oversampled sd
4/12/23,10:20:00,91.75,91.78,2937,2932,2944,2.59,34,-36,40.66,40.72,1303,1300,1306,0.99,51.53,51.53,1649,1649,1651,0.96
4/12/23,10:20:15,92.25,92.47,2959,2950,2965,2.13,34,-36,40.69,40.72,1303,1300,1306,1.05,51.25,51.56,1650,1648,1652,0.81
4/12/23,10:20:30,92.94,92.91,2973,2967,2980,2.95,34,-36,40.69,40.72,1303,1301,1306,0.93,51.53,51.53,1649,1649,1651,0.93
4/12/23,10:20:45,93.22,93.22,2983,2977,2990,2.46,34,-36,40.72,40.72,1303,1301,1306,0.98,51.59,51.53,1649,1648,1652,1.17
4/12/23,10:21:00,93.47,93.44,2990,2984,2996,2.25,34,-36,40.69,40.72,1303,1301,1306,0.85,51.53,51.53,1649,1649,1651,0.89
4/12/23,10:21:15,93.62,93.56,2994,2989,3000,2.21,33.25,-36,40.66,40.72,1303,1302,1306,0.9,51.53,51.56,1650,1648,1652,0.82
4/12/23,10:21:30,93.62,93.69,2998,2994,3004,2.24,34.25,-36,40.66,40.72,1303,1300,1305,0.85,51.56,51.53,1649,1648,1651,0.84
4/12/23,10:21:45,93.72,93.78,3001,2994,3008,2.54,34,-36,40.66,40.72,1303,1301,1306,0.81,51.56,51.53,1649,1648,1651,1.18
4/12/23,10:22:00,93.91,93.87,3004,2997,3014,2.9,34,-36,40.63,40.69,1302,1301,1305,1.28,51.53,51.53,1649,1648,1651,0.93
4/12/23,10:22:15,94.03,93.91,3005,3000,3010,1.99,34,-36,40.66,40.72,1303,1301,1305,0.83,51.53,51.56,1650,1648,1652,0.78
4/12/23,10:22:30,93.94,93.91,3005,2999,3012,2.67,34,-36,40.66,40.72,1303,1301,1305,0.85,51.56,51.53,1649,1648,1651,0.9
4/12/23,10:22:45,94,93.94,3006,3002,3011,2.05,34,-36,40.66,40.72,1303,1300,1305,0.87,51.59,51.56,1650,1648,1651,0.73
4/12/23,10:23:00,94.03,93.97,3007,3002,3014,2.37,33.75,-36,40.66,40.69,1302,1300,1305,1.19,51.56,51.53,1649,1648,1651,0.9
4/12/23,10:23:15,94,93.97,3007,3002,3013,2.1,34,-36,40.66,40.72,1303,1300,1305,0.9,51.56,51.56,1650,1648,1651,0.85
4/12/23,10:23:30,94.03,94,3008,3001,3014,2.45,34,-36,40.63,40.72,1303,1301,1306,0.88,51.53,51.53,1649,1648,1651,0.86
4/12/23,10:23:45,93.94,94,3008,3002,3014,2.5,34,-36,40.63,40.72,1303,1300,1306,0.92,51.56,51.56,1650,1648,1652,0.79
