Date,Time,J1 (mV),J1 oversampled mean (mV),J1 oversampled mean,J1 oversampled min,J1 oversampled max,J1 oversampled sd,J2+ (mV),J3 (mV),J4+ (mV),J4+ oversampled mean (mV),J4+ oversampled mean,J4+ oversampled min,J4+ oversampled max,J4+ oversampled sd,J4- (mV),J4- oversampled mean (mV),J4- oversampled mean,J4- oversampled min,J4- oversampled max,J4- oversampled sd
4/12/23,12:37:00,73.53,73.56,2354,2350,2360,2,33.75,-35.75,81.87,82.28,2633,2631,2636,0.86,51.25,51.25,1640,1639,1642,0.89
4/12/23,12:37:15,73.94,74.06,2370,2365,2379,2.49,33.75,-35.75,81.91,82.28,2633,2632,2635,0.97,51.25,51.25,1640,1640,1642,0.88
4/12/23,12:37:30,74.34,74.53,2385,2374,2392,2.86,33.75,-35.75,81.94,82.31,2634,2632,2636,0.82,51.28,51.25,1640,1640,1642,0.98
4/12/23,12:37:45,74.62,74.94,2398,2390,2406,2.54,33.75,-35.75,81.62,82.34,2635,2633,2637,0.81,51.28,51.25,1640,1640,1642,0.91
4/12/23,12:38:00,75.09,75.22,2407,2401,2414,2.56,33.75,-35.75,81.94,82.34,2635,2632,2638,1.25,51.25,51.25,1640,1640,1642,1.03
4/12/23,12:38:15,75.44,75.69,2422,2413,2433,2.71,33.75,-35.75,82,82.37,2636,2634,2639,1.18,51.28,51.25,1640,1640,1642,1
4/12/23,12:38:30,75.75,75.87,2428,2420,2439,2.82,33.75,-35.75,82,82.41,2637,2635,2640,1.07,51.28,51.25,1640,1640,1642,1.09
4/12/23,12:38:45,75.87,76.06,2434,2423,2445,3.15,33.75,-35.75,82.06,82.44,2638,2636,2641,1.01,51.28,51.25,1640,1640,1642,1.07
4/12/23,12:39:00,76.09,76.22,2439,2432,2447,2.3,33.75,-35.75,82.06,82.47,2639,2637,2642,0.96,51.25,51.28,1641,1640,1642,0.51
4/12/23,12:39:15,76.12,76.28,2441,2436,2448,2.32,33.75,-35.75,82.12,82.5,2640,2638,2642,0.84,51.25,51.25,1640,1640,1642,1.07
4/12/23,12:39:30,76.34,76.41,2445,2440,2452,2.25,33.75,-35.75,82.12,82.5,2640,2639,2643,1.22,51.28,51.28,1641,1640,1642,0.48
4/12/23,12:39:45,76.34,76.53,2449,2442,2456,2.73,33.75,-35.75,82.16,82.53,2641,2640,2644,1.06,51.28,51.28,1641,1640,1642,0.39
4/12/23,12:40:00,76.53,76.66,2453,2447,2462,2.64,33.75,-35.75,82.22,82.56,2642,2640,2645,0.95,51.28,51.28,1641,1640,1642,0.49
4/12/23,12:40:15,76.72,76.81,2458,2453,2463,2.1,33.75,-35.75,82.19,82.59,2643,2641,2646,0.9,51.28,51.28,1641,1640,1643,0.41
4/12/23,12:40:30,76.78,76.87,2460,2453,2466,2.56,33.75,-35.75,82.25,82.59,2643,2642,2646,1.31,51.03,51.28,1641,1640,1642,0.5
4/12/23,12:40:45,76.94,76.94,2462,2457,2467,1.91,34,-35.75,82.28,82.62,2644,2642,2647,1.14,51.28,51.28,1641,1640,1642,0.47
4/12/23,12:41:00,76.91,77,2464,2458,2474,2.7,33.75,-35.75,82.28,82.66,2645,2643,2648,1.1,51.28,51.28,1641,1640,1642,0.57
4/12/23,12:41:15,77,77.06,2466,2460,2471,2.12,33.75,-35.75,82.34,82.69,2646,2645,2649,0.93,51.25,51.28,1641,1640,1642,0.54
4/12/23,12:41:30,77.03,77.09,2467,2461,2476,2.43,33.25,-35.75,82.25,82.72,2647,2645,2650,0.89,51.28,51.28,1641,1640,1643,0.67
4/12/23,12:41:45,77.03,77.16,2469,2464,2477,2.64,33.75,-35.75,82.34,82.72,2647,2646,2650,1.28,51.28,51.28,1641,1639,1643,0.58
4/12/23,12:42:00,77.09,77.19,2470,2465,2478,2.55,33.75,-35.75,82.41,82.75,2648,2646,2651,1.19,51.25,51.28,1641,1640,1643,0.64
4/12/23,12:42:15,77.16,77.22,2471,2467,2478,2.54,33.5,-35.75,82.41,82.78,2649,2648,2652,0.99,51.28,51.28,1641,1640,1642,0.59
4/12/23,12:42:30,77.25,77.28,2473,2469,2480,2.02,33.75,-35.75,82.41,82.81,2650,2649,2653,0.93,51.25,51.28,1641,1640,1642,0.65
4/12/23,12:42:45,77.16,77.19,2470,2461,2479,2.98,34,-35.75,82.44,82.84,2651,2649,2654,0.79,51.31,51.28,1641,1640,1642,0.58
4/12/23,12:43:00,77.12,77.22,2471,2466,2478,2.26,33.75,-35.75,82.47,82.87,2652,2649,2654,0.89,51.31,51.28,1641,1640,1643,0.74
4/12/23,12:43:15,77.16,77.25,2472,2467,2477,2.11,33.75,-35.75,82.53,82.91,2653,2650,2655,0.88,51,51.28,1641,1640,1643,0.61
4/12/23,12:43:30,77.22,77.25,2472,2465,2480,2.15,33.75,-35.75,82.53,82.91,2653,2652,2657,1.22,51.28,51.28,1641,1640,1643,0.7
4/12/23,12:43:45,77.28,77.28,2473,2468,2478,2.05,33.75,-35.75,82.53,82.94,2654,2652,2657,1.06,51.28,51.28,1641,1640,1643,0.7
4/12/23,12:44:00,77.28,77.31,2474,2469,2479,2.1,33.75,-35.75,82.56,82.97,2655,2653,2658,0.99,51.28,51.28,1641,1640,1643,0.81
4/12/23,12:44:15,77.25,77.34,2475,2468,2484,2.35,33.75,-35.75,82.25,83,2656,2654,2659,0.82,51.28,51.28,1641,1640,1643,0.66
