Date,Time,J1 (mV),J1 oversampled mean (mV),J1 oversampled mean,J1 oversampled min,J1 oversampled max,J1 oversampled sd,J2+ (mV),J3 (mV),J4+ (mV),J4+ oversampled mean (mV),J4+ oversampled mean,J4+ oversampled min,J4+ oversampled max,J4+ oversampled sd,J4- (mV),J4- oversampled mean (mV),J4- oversampled mean,J4- oversampled min,J4- oversampled max,J4- oversampled sd
4/8/23,11:00:00,110.31,110.34,3531,3526,3537,2.41,34.5,-36.25,39.75,39.78,1273,1272,1276,0.96,52.09,52.09,1667,1666,1668,0.58
4/8/23,11:00:30,110.28,110.34,3531,3526,3538,2.52,34.5,-36.25,39.75,39.78,1273,1271,1276,1.09,52.09,52.09,1667,1666,1668,0.56
4/8/23,11:01:00,110.37,110.34,3531,3524,3538,2.56,34.25,-36.25,39.72,39.78,1273,1271,1276,1.05,52.09,52.09,1667,1666,1669,0.54
4/8/23,11:01:30,110.44,110.31,3530,3525,3537,2.35,34.5,-36.25,39.75,39.78,1273,1271,1276,1.05,52.06,52.09,1667,1666,1668,0.54
4/8/23,11:02:00,110.41,110.34,3531,3528,3537,1.97,34.25,-36.25,39.81,39.78,1273,1270,1276,1.12,52.13,52.09,1667,1666,1668,0.53
4/8/23,11:02:30,110.34,110.37,3532,3526,3539,2.49,34.5,-36.25,39.75,39.78,1273,1271,1276,1.07,52.09,52.09,1667,1666,1668,0.58
4/8/23,11:03:00,110.28,110.34,3531,3526,3539,2.5,34.5,-36.25,39.75,39.78,1273,1271,1276,0.96,52,52.09,1667,1666,1668,0.54
4/8/23,11:03:30,110.41,110.37,3532,3527,3538,2.29,34.75,-36.25,39.69,39.78,1273,1270,1276,0.91,52.09,52.09,1667,1666,1669,0.62
4/8/23,11:04:00,110.31,110.41,3533,3527,3539,2.56,34.5,-36.25,39.69,39.75,1272,1270,1276,1.27,52.06,52.09,1667,1666,1669,0.59
4/8/23,11:04:30,110.37,110.34,3531,3526,3539,2.46,34.5,-36.25,39.75,39.75,1272,1270,1275,1.07,52.06,52.09,1667,1666,1668,0.56
4/8/23,11:05:00,110.44,110.37,3532,3526,3539,2.47,34.25,-36.25,39.72,39.75,1272,1269,1274,0.98,52.09,52.09,1667,1666,1668,0.57
4/8/23,11:05:30,110.41,110.37,3532,3526,3539,2.38,34.5,-36.25,39.66,39.72,1271,1269,1274,1.08,52.09,52.09,1667,1666,1668,0.52
4/8/23,11:06:00,110.31,110.37,3532,3525,3539,2.44,34.5,-36.25,39.69,39.72,1271,1269,1273,0.96,52.09,52.09,1667,1666,1669,0.59
4/8/23,11:06:30,110.34,110.31,3530,3524,3538,2.53,34.5,-36.25,39.66,39.69,1270,1268,1273,1.26,52.06,52.09,1667,1666,1669,0.62
4/8/23,11:07:00,110.28,110.34,3531,3526,3537,2.32,34.5,-36.25,39.66,39.69,1270,1268,1273,1.02,52.09,52.09,1667,1666,1668,0.6
4/8/23,11:07:30,110.37,110.31,3530,3524,3537,2.65,34.5,-36.25,39.66,39.66,1269,1268,1273,1.23,52.13,52.09,1667,1666,1669,0.6
4/8/23,11:08:00,110.34,110.31,3530,3526,3537,2.27,34.5,-36.25,39.69,39.66,1269,1266,1272,1.01,52.09,52.09,1667,1666,1668,0.6
4/8/23,11:08:30,110.31,110.28,3529,3522,3537,2.71,34.5,-36.25,39.59,39.63,1268,1267,1271,1.3,52.09,52.09,1667,1666,1668,0.58
4/8/23,11:09:00,110.28,110.31,3530,3525,3537,2.62,34.5,-36.25,39.59,39.63,1268,1267,1271,0.96,52.09,52.09,1667,1666,1668,0.61
4/8/23,11:09:30,110.25,110.28,3529,3524,3536,2.39,34.5,-36.25,39.59,39.63,1268,1266,1271,0.95,52.13,52.09,1667,1666,1669,0.67
4/8/23,11:10:00,110.34,110.31,3530,3525,3536,2.24,34.5,-36.25,39.53,39.59,1267,1266,1270,1.21,52.13,52.09,1667,1666,1668,0.62
4/8/23,11:10:30,110.31,110.28,3529,3524,3535,2.34,34.5,-36.25,39.41,39.59,1267,1265,1271,1.06,52.09,52.09,1667,1666,1669,0.59
4/8/23,11:11:00,110.16,110.25,3528,3523,3535,2.25,34.5,-36.25,39.53,39.59,1267,1265,1269,0.91,52.13,52.09,1667,1666,1669,0.66
4/8/23,11:11:30,110.31,110.31,3530,3524,3537,2.21,34.5,-36.25,39.53,39.56,1266,1264,1269,1.27,52.09,52.09,1667,1666,1669,0.69
4/8/23,11:12:00,110.31,110.31,3530,3524,3538,2.21,34.5,-36.25,39.56,39.56,1266,1264,1269,1.06,52.09,52.09,1667,1666,1669,0.7
4/8/23,11:12:30,110.34,110.28,3529,3524,3535,2.3,34,-36.25,39.53,39.56,1266,1264,1269,0.96,52.09,52.09,1667,1666,1669,0.75
4/8/23,11:13:00,110.34,110.28,3529,3522,3536,2.86,34.5,-36.25,39.53,39.56,1266,1263,1269,1.01,52.09,52.09,1667,1666,1669,0.74
4/8/23,11:13:30,110.28,110.25,3528,3522,3535,2.44,34.5,-36.25,39.53,39.53,1265,1263,1269,1.19,52.13,52.09,1667,1667,1669,0.75
4/8/23,11:14:00,110.22,110.28,3529,3520,3537,2.89,34.5,-36.25,39.47,39.53,1265,1263,1268,1.06,52.13,52.09,1667,1666,1669,0.78
4/8/23,11:14:30,110.31,110.28,3529,3523,3536,1.98,34.5,-36.25,39.53,39.53,1265,1262,1268,1.03,52.13,52.09,1667,1666,1669,0.8
4/8/23,11:15:00,110.25,110.22,3527,3520,3535,2.58,34.5,-36.25,39.47,39.53,1265,1261,1268,1.01,52.09,52.09,1667,1666,1669,0.71
4/8/23,11:15:30,110.28,110.22,3527,3521,3534,2.49,34.5,-36.25,39.47,39.5,1264,1262,1268,1.27,52.09,52.09,1667,1666,1669,0.72
