Date,Time,J1 (mV),J1 oversampled mean (mV),J1 oversampled mean,J1 oversampled min,J1 oversampled max,J1 oversampled sd,J2+ (mV),J3 (mV),J4+ (mV),J4+ oversampled mean (mV),J4+ oversampled mean,J4+ oversampled min,J4+ oversampled max,J4+ oversampled sd,J4- (mV),J4- oversampled mean (mV),J4- oversampled mean,J4- oversampled min,J4- oversampled max,J4- oversampled sd
4/12/23,14:12:00,101.69,101.72,3255,3249,3260,2.51,33.75,-35.75,90.56,91.03,2913,2909,2916,0.98,51.28,51.25,1640,1640,1642,0.97
4/12/23,14:12:15,101.97,102.03,3265,3257,3271,2.82,33.75,-35.75,90.59,91.06,2914,2911,2916,0.85,51.28,51.25,1640,1640,1642,1.02
4/12/23,14:12:30,102.44,102.28,3273,3268,3280,2.2,33.75,-35.75,90.62,91.06,2914,2913,2917,1.28,51.28,51.25,1640,1640,1642,1.08
4/12/23,14:12:45,102.59,102.53,3281,3276,3287,2.2,33.75,-35.75,90.66,91.09,2915,2913,2919,1.01,51.28,51.25,1640,1640,1642,1.06
4/12/23,14:13:00,102.66,102.72,3287,3282,3294,2.77,33.75,-35.75,90.66,91.12,2916,2914,2918,0.94,51.28,51.28,1641,1640,1642,0.54
4/12/23,14:13:15,102.97,102.94,3294,3285,3300,2.78,33.75,-35.75,90.69,91.12,2916,2915,2920,1.23,51.28,51.28,1641,1640,1643,0.45
4/12/23,14:13:30,103,103.09,3299,3293,3305,2.54,33.75,-35.75,90.69,91.16,2917,2914,2921,1.17,51,51.28,1641,1640,1642,0.51
4/12/23,14:13:45,103.34,103.25,3304,3298,3311,2.63,33.75,-35.75,90.72,91.19,2918,2916,2920,0.85,51.28,51.28,1641,1640,1643,0.53
4/12/23,14:14:00,103.31,103.37,3308,3301,3316,2.91,33.75,-35.75,90.72,91.22,2919,2917,2921,0.88,51.28,51.28,1641,1640,1642,0.56
4/12/23,14:14:15,103.41,103.5,3312,3308,3319,2.12,33.75,-35.75,90.75,91.22,2919,2917,2922,1.3,51.28,51.28,1641,1640,1643,0.53
4/12/23,14:14:30,103.59,103.62,3316,3310,3322,2.14,33.25,-35.75,90.62,91.25,2920,2917,2923,1.29,51.25,51.28,1641,1640,1642,0.61
4/12/23,14:14:45,103.69,103.72,3319,3313,3326,2.73,33.75,-35.75,90.81,91.28,2921,2919,2924,1.13,51.28,51.28,1641,1640,1643,0.61
4/12/23,14:15:00,104,103.81,3322,3316,3328,2.37,33.75,-35.75,90.81,91.31,2922,2919,2925,1,51.28,51.28,1641,1640,1643,0.77
4/12/23,14:15:15,103.78,103.87,3324,3319,3331,2.72,33.75,-35.75,90.91,91.34,2923,2920,2926,0.92,51.28,51.28,1641,1640,1643,0.67
4/12/23,14:15:30,104,103.97,3327,3322,3333,2.29,33.5,-35.75,90.87,91.37,2924,2921,2927,1.02,51.31,51.28,1641,1641,1643,0.73
4/12/23,14:15:45,104.03,104.03,3329,3322,3336,2.47,33.75,-35.75,90.91,91.41,2925,2922,2929,0.95,51.28,51.28,1641,1640,1643,0.76
4/12/23,14:16:00,104.03,104.06,3330,3325,3337,2.37,33.75,-35.75,90.94,91.41,2925,2923,2928,1.21,51.28,51.28,1641,1640,1643,0.8
4/12/23,14:16:15,104.25,104.16,3333,3330,3338,1.89,33.75,-35.75,91.03,91.44,2926,2924,2929,1.07,51.03,51.28,1641,1641,1643,0.8
4/12/23,14:16:30,104.25,104.22,3335,3330,3340,1.86,33.75,-35.75,91.03,91.47,2927,2925,2930,1.04,51.31,51.28,1641,1640,1643,0.84
4/12/23,14:16:45,104.19,104.25,3336,3330,3343,1.96,33.5,-35.75,91.03,91.5,2928,2925,2930,0.95,51.28,51.28,1641,1640,1643,0.82
4/12/23,14:17:00,104.44,104.28,3337,3332,3343,2.37,33.75,-35.75,91.03,91.5,2928,2926,2933,1.34,51.31,51.28,1641,1641,1643,0.88
4/12/23,14:17:15,104.47,104.31,3338,3331,3347,3.6,33.25,-35.75,90.91,91.53,2929,2927,2932,0.98,51.28,51.28,1641,1640,1643,0.8
4/12/23,14:17:30,104.25,104.37,3340,3334,3346,1.92,33.75,-35.75,91.06,91.56,2930,2928,2933,1.02,51.28,51.28,1641,1640,1643,0.86
4/12/23,14:17:45,104.47,104.41,3341,3336,3347,2.47,33.75,-35.75,91.12,91.56,2930,2929,2933,1.26,51.28,51.28,1641,1641,1643,0.75
4/12/23,14:18:00,104.56,104.47,3343,3338,3348,2.04,33.75,-35.75,91.09,91.59,2931,2929,2934,1.07,51.31,51.28,1641,1640,1643,0.86
4/12/23,14:18:15,104.37,104.5,3344,3340,3352,2.36,34,-35.75,91.16,91.59,2931,2930,2934,1.36,51.28,51.28,1641,1640,1643,0.8
4/12/23,14:18:30,104.62,104.56,3346,3340,3352,2.11,33.75,-35.75,91.16,91.62,2932,2929,2935,1.16,51.34,51.28,1641,1641,1643,0.83
4/12/23,14:18:45,104.75,104.59,3347,3340,3353,2.03,33.75,-35.75,91.16,91.66,2933,2929,2936,1,51.28,51.28,1641,1641,1643,0.73
4/12/23,14:19:00,104.66,104.62,3348,3343,3354,2.29,33.75,-35.75,91.22,91.66,2933,2931,2936,1.12,51.03,51.28,1641,1641,1643,0.75
4/12/23,14:19:15,104.72,104.66,3349,3344,3355,2.2,33.75,-35.75,91.19,91.69,2934,2931,2936,0.89,51.31,51.28,1641,1640,1643,0.66
4/12/23,14:19:30,104.75,104.69,3350,3338,3360,3.48,33.75,-35.75,91.19,91.69,2934,2932,2936,1.02,51.28,51.28,1641,1640,1643,0.65
4/12/23,14:19:45,104.75,104.72,3351,3346,3358,2.34,33.75,-35.75,91.22,91.69,2934,2932,2937,1.26,51.28,51.28,1641,1640,1642,0.59
4/12/23,14:20:00,104.87,104.75,3352,3345,3359,2.47,33.25,-35.75,91.06,91.72,2935,2933,2938,1.02,51.28,51.28,1641,1640,1642,0.56
4/12/23,14:20:15,104.75,104.78,3353,3348,3359,2.39,33.75,-35.75,91.22,91.72,2935,2933,2938,1,51.28,51.28,1641,1640,1643,0.52
4/12/23,14:20:30,104.84,104.81,3354,3348,3359,2.49,33.75,-35.75,91.25,91.72,2935,2934,2938,1.31,51.31,51.28,1641,1640,1642,0.52
4/12/23,14:20:45,104.81,104.81,3354,3349,3359,1.89,33.75,-35.75,91.28,91.75,2936,2933,2940,1.01,51.28,51.28,1641,1640,1642,0.41
4/12/23,14:21:00,104.75,104.81,3354,3350,3360,2.37,33.75,-35.75,91.31,91.75,2936,2935,2939,1.24,51.28,51.28,1641,1640,1642,0.47
4/12/23,14:21:15,104.84,104.84,3355,3348,3362,2.39,33.75,-35.75,91.28,91.78,2937,2935,2940,0.93,51.28,51.25,1640,1640,1642,1.04
4/12/23,14:21:30,104.87,104.87,3356,3349,3362,2.36,33.75,-35.75,91.31,91.78,2937,2935,2939,1.07,51.28,51.25,1640,1640,1642,1.1
4/12/23,14:21:45,105.06,104.91,3357,3351,3362,2.04,33.75,-35.75,91.31,91.81,2938,2935,2941,0.94,51.03,51.25,1640,1640,1642,0.92
4/12/23,14:22:00,104.97,104.94,3358,3352,3366,2.67,33.75,-35.75,91.31,91.81,2938,2936,2941,1.05,51.25,51.25,1640,1640,1642,0.96
4/12/23,14:22:15,104.97,104.94,3358,3353,3362,1.82,33.75,-35.75,91.37,91.81,2938,2935,2941,1.18,51.25,51.25,1640,1640,1642,0.91
4/12/23,14:22:30,105.03,104.94,3358,3353,3364,2.23,33.75,-35.75,91.31,91.84,2939,2937,2942,0.96,51.28,51.25,1640,1640,1642,0.89
4/12/23,14:22:45,105,104.97,3359,3354,3365,2.03,33.25,-35.75,91.25,91.84,2939,2937,2942,1.26,51.25,51.25,1640,1640,1642,0.81
4/12/23,14:23:00,104.97,104.97,3359,3352,3367,2.69,33.75,-35.75,91.44,91.87,2940,2937,2942,0.95,51.25,51.25,1640,1639,1641,0.77
4/12/23,14:23:15,104.91,105,3360,3355,3365,1.74,33.75,-35.75,91.41,91.87,2940,2938,2943,1.22,51.25,51.25,1640,1640,1641,0.71
4/12/23,14:23:30,104.97,105,3360,3355,3367,2.45,33.75,-35.75,91.41,91.91,2941,2939,2944,0.99,51.25,51.25,1640,1639,1641,0.79
