Date,Time,J1 (mV),J1 oversampled mean (mV),J1 oversampled mean,J1 oversampled min,J1 oversampled max,J1 oversampled sd,J2+ (mV),J3 (mV),J4+ (mV),J4+ oversampled mean (mV),J4+ oversampled mean,J4+ oversampled min,J4+ oversampled max,J4+ oversampled sd,J4- (mV),J4- oversampled mean (mV),J4- oversampled mean,J4- oversampled min,J4- oversampled max,J4- oversampled sd
4/11/23,14:55:00,105.78,105.87,3388,3381,3397,3.57,34,-36,32.25,32.25,1032,1030,1035,0.98,51.5,51.5,1648,1647,1650,0.77
4/11/23,14:55:15,106.09,105.97,3391,3383,3401,3.81,34,-36,32.22,32.25,1032,1030,1036,1.16,51.53,51.53,1649,1646,1651,0.82
4/11/23,14:55:30,106.09,106.06,3394,3385,3403,3.66,34,-36,32.22,32.25,1032,1030,1036,1.04,51.5,51.5,1648,1647,1650,0.74
4/11/23,14:55:45,106.19,106.12,3396,3387,3405,3.54,34,-36,32.22,32.25,1032,1030,1035,1.2,51.53,51.5,1648,1647,1650,1.06
4/11/23,14:56:00,105.94,106.19,3398,3389,3409,3.83,34,-36,32.25,32.25,1032,1030,1036,1.02,51.28,51.5,1648,1647,1650,0.85
4/11/23,14:56:15,106.06,106.22,3399,3389,3411,3.83,34,-36,32.25,32.25,1032,1029,1036,1.2,51.53,51.53,1649,1647,1651,0.76
4/11/23,14:56:30,106.12,106.31,3402,3394,3411,3.48,34,-36,32.25,32.25,1032,1030,1035,1,51.5,51.5,1648,1648,1650,0.91
4/11/23,14:56:45,106.34,106.28,3401,3394,3410,3.61,34,-36,32.25,32.25,1032,1031,1035,0.99,51.56,51.5,1648,1647,1650,1.13
4/11/23,14:57:00,106.37,106.34,3403,3394,3413,3.75,33.5,-36,32.22,32.25,1032,1030,1035,1.03,51.53,51.5,1648,1648,1650,1
4/11/23,14:57:15,106.25,106.41,3405,3397,3415,3.33,34,-36,32.19,32.25,1032,1030,1036,1.23,51.53,51.53,1649,1647,1651,0.75
4/11/23,14:57:30,106.5,106.41,3405,3397,3413,3.49,34,-36,32.25,32.25,1032,1030,1036,0.97,51.53,51.5,1648,1647,1650,1.03
4/11/23,14:57:45,106.5,106.44,3406,3396,3416,3.69,34,-36,32.22,32.25,1032,1030,1036,1.04,51.53,51.5,1648,1648,1650,1.13
4/11/23,14:58:00,106.25,106.47,3407,3399,3416,3.25,34,-36,32.28,32.25,1032,1030,1035,1.07,51.53,51.53,1649,1648,1650,0.55
4/11/23,14:58:15,106.5,106.47,3407,3399,3416,3.55,34,-36,32.22,32.25,1032,1030,1036,1.2,51.56,51.53,1649,1647,1651,0.97
4/11/23,14:58:30,106.37,106.47,3407,3399,3416,3.73,34,-36,32.25,32.25,1032,1028,1035,1.09,51.5,51.53,1649,1648,1650,0.56
4/11/23,14:58:45,106.41,106.5,3408,3400,3416,3.72,34,-36,32.25,32.25,1032,1030,1036,1.2,51.28,51.53,1649,1647,1651,1.05
4/11/23,14:59:00,106.31,106.47,3407,3397,3417,3.69,34,-36,32.25,32.25,1032,1030,1035,0.94,51.53,51.53,1649,1648,1650,0.59
4/11/23,14:59:15,106.44,106.5,3408,3399,3419,3.78,34,-36,32.28,32.25,1032,1030,1035,0.94,51.53,51.53,1649,1647,1651,0.91
4/11/23,14:59:30,106.62,106.47,3407,3398,3417,4.08,34,-36,32.25,32.25,1032,1030,1034,0.91,51.53,51.53,1649,1648,1650,0.61
4/11/23,14:59:45,106.62,106.5,3408,3401,3416,3.35,33.5,-36,32.25,32.25,1032,1029,1036,1.16,51.53,51.53,1649,1647,1651,1.1
4/11/23,15:00:00,106.41,106.53,3409,3401,3418,3.6,34,-36,32.19,32.25,1032,1030,1034,0.9,51.53,51.53,1649,1648,1651,0.66
4/11/23,15:00:15,106.59,106.53,3409,3398,3419,3.59,34,-36,32.25,32.25,1032,1030,1035,0.96,51.53,51.53,1649,1648,1651,0.9
4/11/23,15:00:30,106.56,106.53,3409,3400,3420,4.02,34,-36,32.22,32.25,1032,1030,1035,0.97,51.5,51.53,1649,1648,1651,0.64
4/11/23,15:00:45,106.75,106.53,3409,3401,3419,3.69,34,-36,32.28,32.25,1032,1029,1035,1.07,51.5,51.53,1649,1647,1651,1.12
4/11/23,15:01:00,106.37,106.53,3409,3401,3418,3.48,34,-36,32.22,32.25,1032,1029,1035,1.06,51.56,51.53,1649,1648,1651,0.76
4/11/23,15:01:15,106.53,106.53,3409,3400,3420,3.63,34,-36,32.22,32.25,1032,1030,1035,1.15,51.53,51.53,1649,1648,1652,1.19
4/11/23,15:01:30,106.5,106.56,3410,3401,3422,4.07,34,-36,32.25,32.25,1032,1030,1035,0.99,51.28,51.53,1649,1648,1651,0.73
4/11/23,15:01:45,106.31,106.53,3409,3402,3417,3.37,34,-36,32.22,32.25,1032,1030,1035,0.99,51.53,51.53,1649,1648,1651,0.86
4/11/23,15:02:00,106.47,106.53,3409,3401,3418,3.4,34,-36,32.22,32.25,1032,1030,1035,0.99,51.53,51.53,1649,1648,1651,0.74
4/11/23,15:02:15,106.53,106.56,3410,3402,3419,3.39,34,-36,32.22,32.25,1032,1031,1035,0.97,51.56,51.53,1649,1648,1651,0.93
4/11/23,15:02:30,106.53,106.56,3410,3403,3418,3.46,34,-36,32.16,32.25,1032,1030,1035,0.97,51.56,51.53,1649,1648,1651,0.88
4/11/23,15:02:45,106.62,106.53,3409,3401,3419,3.8,34,-36,32.22,32.25,1032,1030,1035,1.16,51.56,51.56,1650,1648,1652,0.79
4/11/23,15:03:00,106.59,106.53,3409,3399,3418,3.7,33.5,-36,32.25,32.25,1032,1030,1035,1.08,51.53,51.53,1649,1649,1651,0.92
4/11/23,15:03:15,106.47,106.53,3409,3401,3417,3.53,34,-36,32.25,32.25,1032,1030,1038,1.34,51.56,51.56,1650,1648,1652,0.92
4/11/23,15:03:30,106.66,106.5,3408,3402,3416,3.29,34,-36,32.22,32.25,1032,1030,1035,1.11,51.56,51.53,1649,1649,1651,0.98
4/11/23,15:03:45,106.5,106.5,3408,3398,3417,3.9,34,-36,32.25,32.25,1032,1030,1035,1.28,51.53,51.56,1650,1648,1652,0.78
4/11/23,15:04:00,106.44,106.53,3409,3402,3417,3.36,33.75,-36,32.28,32.25,1032,1030,1035,1.15,51.53,51.53,1649,1648,1651,0.99
4/11/23,15:04:15,106.44,106.5,3408,3401,3417,3.44,34,-36,32.34,32.25,1032,1031,1036,1.18,51.59,51.56,1650,1648,1652,0.87
4/11/23,15:04:30,106.53,106.53,3409,3400,3418,3.55,33.75,-36,32.19,32.25,1032,1030,1035,1.11,51.56,51.53,1649,1649,1651,1.03
4/11/23,15:04:45,106.47,106.56,3410,3402,3419,3.5,34,-36,32.28,32.28,1033,1030,1036,0.91,51.56,51.56,1650,1648,1652,0.9
4/11/23,15:05:00,106.66,106.56,3410,3399,3419,3.9,34,-36,32.22,32.25,1032,1030,1035,1.26,51.53,51.53,1649,1649,1651,1.04
4/11/23,15:05:15,106.59,106.53,3409,3400,3419,3.62,34,-36,32.25,32.28,1033,1030,1036,0.99,51.38,51.56,1650,1648,1652,0.95
4/11/23,15:05:30,106.44,106.53,3409,3401,3417,3.43,34,-36,32.28,32.25,1032,1029,1035,1.27,51.56,51.53,1649,1649,1651,1.08
4/11/23,15:05:45,106.44,106.53,3409,3400,3419,3.76,34,-36,32.25,32.28,1033,1030,1035,0.89,51.59,51.56,1650,1648,1652,0.95
4/11/23,15:06:00,106.44,106.53,3409,3398,3419,3.94,34,-36,32.28,32.25,1032,1030,1035,1.29,51.53,51.56,1650,1649,1651,0.46
4/11/23,15:06:15,106.34,106.53,3409,3400,3419,3.84,33.5,-36,32.28,32.28,1033,1029,1036,0.95,51.59,51.56,1650,1648,1652,0.92
4/11/23,15:06:30,106.59,106.56,3410,3403,3420,3.57,34,-36,32.25,32.25,1032,1030,1036,1.28,51.56,51.56,1650,1649,1651,0.51
4/11/23,15:06:45,106.62,106.53,3409,3399,3419,3.8,34,-36,32.25,32.28,1033,1031,1036,0.98,51.59,51.56,1650,1647,1652,1
4/11/23,15:07:00,106.56,106.56,3410,3399,3422,4.28,34,-36,32.22,32.25,1032,1029,1035,1.33,51.56,51.56,1650,1649,1651,0.53
4/11/23,15:07:15,106.56,106.56,3410,3402,3420,3.71,34,-36,32.19,32.28,1033,1031,1035,0.91,51.59,51.56,1650,1648,1652,1.03
4/11/23,15:07:30,106.5,106.56,3410,3401,3421,4.22,33.75,-36,32.22,32.28,1033,1031,1035,0.9,51.5,51.56,1650,1649,1651,0.5
4/11/23,15:07:45,106.37,106.53,3409,3400,3419,3.71,34,-36,32.25,32.28,1033,1029,1036,1.06,51.59,51.56,1650,1648,1652,0.98
4/11/23,15:08:00,106.62,106.56,3410,3403,3420,3.56,33.75,-36,32.22,32.28,1033,1030,1036,0.98,51.34,51.56,1650,1649,1651,0.55
4/11/23,15:08:15,106.56,106.53,3409,3401,3420,3.75,34,-36,32.28,32.28,1033,1031,1036,1.08,51.59,51.56,1650,1648,1652,0.96
4/11/23,15:08:30,106.75,106.53,3409,3401,3418,3.47,34.25,-36,32.28,32.28,1033,1031,1036,1.03,51.56,51.56,1650,1649,1651,0.52
4/11/23,15:08:45,106.47,106.5,3408,3401,3417,3.4,34,-36,32.28,32.28,1033,1031,1036,1.18,51.59,51.56,1650,1648,1652,0.92
4/11/23,15:09:00,106.44,106.56,3410,3401,3421,3.73,33.5,-36,32.28,32.28,1033,1031,1036,0.92,51.56,51.56,1650,1649,1652,0.56
4/11/23,15:09:15,106.59,106.53,3409,3400,3420,4.18,34,-36,32.25,32.28,1033,1029,1037,1.25,51.59,51.56,1650,1649,1652,1.04
4/11/23,15:09:30,106.37,106.53,3409,3399,3418,3.44,34,-36,32.28,32.28,1033,1031,1036,1.08,51.53,51.56,1650,1649,1651,0.54
4/11/23,15:09:45,106.62,106.5,3408,3400,3419,3.96,34,-36,32.28,32.28,1033,1031,1036,1.05,51.53,51.56,1650,1649,1652,0.9
4/11/23,15:10:00,106.56,106.53,3409,3396,3420,4.11,34,-36,32.28,32.28,1033,1032,1036,1.13,51.56,51.56,1650,1649,1651,0.59
4/11/23,15:10:15,106.34,106.53,3409,3402,3417,3.56,34,-36,32.28,32.28,1033,1031,1036,1.14,51.53,51.56,1650,1648,1652,0.98
4/11/23,15:10:30,106.59,106.53,3409,3402,3417,3.39,34,-36,32.31,32.28,1033,1031,1036,1.15,51.56,51.56,1650,1649,1652,0.61
