Date,Time,J1 (mV),J1 oversampled mean (mV),J1 oversampled mean,J1 oversampled min,J1 oversampled max,J1 oversampled sd,J2+ (mV),J3 (mV),J4+ (mV),J4+ oversampled mean (mV),J4+ oversampled mean,J4+ oversampled min,J4+ oversampled max,J4+ oversampled sd,J4- (mV),J4- oversampled mean (mV),J4- oversampled mean,J4- oversampled min,J4- oversampled max,J4- oversampled sd
4/7/23,16:08:00,87.69,87.87,2812,2805,2820,2.83,33.75,-36.25,51.09,51.31,1642,1640,1645,0.94,51.59,51.56,1650,1649,1652,0.72
4/7/23,16:08:30,88.09,88.31,2826,2819,2831,2.42,33.75,-36.25,51.25,51.34,1643,1641,1646,0.98,51.59,51.56,1650,1649,1651,0.53
4/7/23,16:09:00,88.16,88.37,2828,2819,2837,2.74,34,-36.25,51.38,51.41,1645,1643,1647,0.92,51.56,51.53,1649,1649,1651,1.02
4/7/23,16:09:30,88.53,88.5,2832,2828,2838,1.99,34,-36.25,51.38,51.47,1647,1645,1650,0.86,51.56,51.53,1649,1649,1651,0.87
4/7/23,16:10:00,88.44,88.56,2834,2828,2842,2.36,33.5,-36.25,51.38,51.53,1649,1647,1652,1,51.53,51.53,1649,1648,1650,0.74
4/7/23,16:10:30,88.5,88.72,2839,2831,2848,2.85,33.75,-36.25,51.47,51.63,1652,1650,1654,0.84,51.53,51.53,1649,1648,1650,0.63
4/7/23,16:11:00,88.66,88.78,2841,2837,2845,1.65,34,-36.25,51.63,51.69,1654,1652,1657,1.11,51.56,51.53,1649,1648,1651,0.54
4/7/23,16:11:30,88.66,88.78,2841,2834,2849,2.68,34,-36.25,51.66,51.78,1657,1655,1660,1.08,51.53,51.5,1648,1648,1650,1.09
4/7/23,16:12:00,88.72,88.81,2842,2838,2848,1.95,34.25,-36.25,51.75,51.88,1660,1658,1663,0.95,51.5,51.5,1648,1648,1650,0.93
4/7/23,16:12:30,88.66,88.75,2840,2835,2846,2.37,33.75,-36.25,51.88,51.97,1663,1661,1665,0.78,51.47,51.5,1648,1647,1650,0.91
