Date,Time,J1 (mV),J1 oversampled mean (mV),J1 oversampled mean,J1 oversampled min,J1 oversampled max,J1 oversampled sd,J2+ (mV),J3 (mV),J4+ (mV),J4+ oversampled mean (mV),J4+ oversampled mean,J4+ oversampled min,J4+ oversampled max,J4+ oversampled sd,J4- (mV),J4- oversampled mean (mV),J4- oversampled mean,J4- oversampled min,J4- oversampled max,J4- oversampled sd
4/11/23,16:00:00,74.41,74.62,2388,2379,2400,4.32,34,-36,32.25,32.25,1032,1031,1036,1.34,51.59,51.59,1651,1650,1652,0.57
4/11/23,16:00:15,74.66,74.62,2388,2377,2399,4.53,34.25,-36,32.22,32.25,1032,1031,1035,1.32,51.41,51.59,1651,1649,1653,1.05
4/11/23,16:00:30,74.41,74.62,2388,2380,2397,4.18,34.25,-36,32.25,32.25,1032,1029,1035,1.05,51.59,51.59,1651,1650,1653,0.59
4/11/23,16:00:45,74.78,74.62,2388,2380,2398,4.17,33.75,-36,32.19,32.25,1032,1030,1035,0.94,51.59,51.59,1651,1650,1653,0.56
4/11/23,16:01:00,74.41,74.62,2388,2379,2398,4.09,34,-36,32.25,32.25,1032,1030,1035,0.98,51.63,51.59,1651,1650,1653,0.58
4/11/23,16:01:15,74.66,74.66,2389,2380,2397,3.95,33.5,-36,32.22,32.25,1032,1030,1035,0.89,51.59,51.59,1651,1650,1653,0.51
4/11/23,16:01:30,74.72,74.66,2389,2379,2400,4.14,34,-36,32.25,32.25,1032,1030,1035,0.89,51.56,51.59,1651,1650,1652,0.55
4/11/23,16:01:45,74.66,74.62,2388,2379,2397,3.84,34,-35.75,32.25,32.22,1031,1030,1034,1.21,51.63,51.59,1651,1650,1653,0.56
4/11/23,16:02:00,74.78,74.66,2389,2377,2401,4.62,34,-36,32.25,32.22,1031,1029,1034,1.33,51.63,51.59,1651,1650,1653,0.61
4/11/23,16:02:15,74.47,74.62,2388,2379,2399,4.3,34,-36,32.25,32.22,1031,1030,1034,1.05,51.63,51.59,1651,1649,1653,0.72
4/11/23,16:02:30,74.47,74.62,2388,2379,2397,4.01,34,-36,32.19,32.22,1031,1030,1034,1.14,51.59,51.59,1651,1650,1653,0.67
4/11/23,16:02:45,74.69,74.62,2388,2381,2398,3.88,34,-36,32.22,32.22,1031,1029,1035,1.11,51.59,51.59,1651,1649,1653,0.63
4/11/23,16:03:00,74.75,74.62,2388,2380,2399,4.11,34,-36,32.25,32.22,1031,1029,1034,1.05,51.59,51.59,1651,1650,1653,0.62
4/11/23,16:03:15,74.37,74.66,2389,2381,2397,3.86,34,-36,32.19,32.22,1031,1030,1033,0.99,51.59,51.59,1651,1650,1652,0.57
4/11/23,16:03:30,74.37,74.62,2388,2376,2399,4.87,34,-36,32.22,32.22,1031,1029,1034,1.1,51.59,51.59,1651,1650,1653,0.63
4/11/23,16:03:45,74.72,74.62,2388,2380,2396,3.97,34,-36,32.19,32.22,1031,1029,1033,0.98,51.63,51.59,1651,1649,1653,1
4/11/23,16:04:00,74.41,74.62,2388,2379,2398,3.95,34,-36,32.22,32.22,1031,1029,1034,0.93,51.34,51.59,1651,1650,1653,0.62
4/11/23,16:04:15,74.56,74.59,2387,2375,2398,4.33,34,-36,32.22,32.22,1031,1029,1036,0.97,51.59,51.59,1651,1649,1653,0.79
4/11/23,16:04:30,74.53,74.62,2388,2377,2398,4.45,34,-36,32.16,32.22,1031,1029,1034,0.89,51.59,51.59,1651,1650,1652,0.61
4/11/23,16:04:45,74.47,74.59,2387,2377,2399,4.36,34,-36,32.19,32.22,1031,1029,1033,0.87,51.59,51.59,1651,1649,1653,0.85
4/11/23,16:05:00,74.59,74.59,2387,2377,2395,4.06,33.5,-36,32.19,32.22,1031,1028,1034,1,51.59,51.59,1651,1650,1652,0.62
4/11/23,16:05:15,74.47,74.62,2388,2379,2398,4.12,34,-36,32.19,32.22,1031,1029,1033,0.81,51.59,51.59,1651,1650,1653,0.61
4/11/23,16:05:30,74.78,74.62,2388,2379,2399,4.42,34,-36,32.19,32.22,1031,1029,1034,0.94,51.59,51.59,1651,1650,1653,0.64
4/11/23,16:05:45,74.34,74.59,2387,2376,2399,4.52,34,-36,32.19,32.22,1031,1029,1033,0.93,51.56,51.59,1651,1650,1653,0.72
