Device Name:,,VoltX4,VoltX4,VoltX4,VoltX4
Device Description:,,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger
Serial Number:,,R64785,R64785,R64785,R64785
Device ID:,,MultiChannel,MultiChannel,MultiChannel,MultiChannel
,,,,,
,,Channel 1,Channel 2,Channel 3,Channel 4
Date,Time,Voltage 1 (mV),Voltage 2 (mV),Voltage 3 (mV),Voltage 4 (mV)
4/9/23,4:05:12 PM,101.77,35.85488,-35.38604,42.3429
4/9/23,4:05:42 PM,101.88258,35.85562,-35.38588,42.34424
4/9/23,4:06:12 PM,101.95862,35.85526,-35.38518,42.3471
4/9/23,4:06:42 PM,102.07278,35.85636,-35.38568,42.34722
4/9/23,4:07:12 PM,102.13212,35.8562,-35.38554,42.34784
4/9/23,4:07:42 PM,102.18742,35.85698,-35.38592,42.34698
4/9/23,4:08:12 PM,102.20802,35.85698,-35.38422,42.34716
4/9/23,4:08:42 PM,102.29238,35.85754,-35.38494,42.3481
4/9/23,4:09:12 PM,102.28048,35.8579,-35.38428,42.3474
4/9/23,4:09:42 PM,102.37696,35.85838,-35.38426,42.34936
4/9/23,4:10:12 PM,102.4066,35.85864,-35.38524,42.3506
4/9/23,4:10:42 PM,102.41846,35.8587,-35.38498,42.35182
4/9/23,4:11:12 PM,102.44596,35.85898,-35.38434,42.35674
4/9/23,4:11:42 PM,102.43708,35.85854,-35.38474,42.35944
4/9/23,4:12:12 PM,102.46924,35.85902,-35.38452,42.36218
4/9/23,4:12:42 PM,102.47686,35.86012,-35.38482,42.36594
4/9/23,4:13:12 PM,102.48472,35.86008,-35.38528,42.36964
4/9/23,4:13:42 PM,102.4762,35.86086,-35.38582,42.37346
4/9/23,4:14:12 PM,102.44648,35.86012,-35.38532,42.37798
4/9/23,4:14:42 PM,102.48062,35.86162,-35.38582,42.38236
4/9/23,4:15:12 PM,102.5236,35.86136,-35.38586,42.3875
4/9/23,4:15:42 PM,102.53128,35.86146,-35.38616,42.39302
4/9/23,4:16:12 PM,102.52968,35.86192,-35.38622,42.39824
4/9/23,4:16:42 PM,102.55368,35.86352,-35.38606,42.405
4/9/23,4:17:12 PM,102.53562,35.86234,-35.38696,42.41284
4/9/23,4:17:42 PM,102.56274,35.86426,-35.38746,42.42256
4/9/23,4:18:12 PM,102.56636,35.86312,-35.38736,42.42866
4/9/23,4:18:42 PM,102.61496,35.86502,-35.38726,42.43926
4/9/23,4:19:12 PM,102.5995,35.86472,-35.38754,42.44872
4/9/23,4:19:42 PM,102.62538,35.86564,-35.38738,42.45848
4/9/23,4:20:12 PM,102.61488,35.86682,-35.38908,42.46764
4/9/23,4:20:42 PM,102.66862,35.86724,-35.38924,42.4795
4/9/23,4:21:12 PM,102.66192,35.86754,-35.38958,42.49066
4/9/23,4:21:42 PM,102.7147,35.8676,-35.38906,42.50324
4/9/23,4:22:12 PM,102.72368,35.86788,-35.38928,42.51578
4/9/23,4:22:42 PM,102.77132,35.86774,-35.39016,42.53068
4/9/23,4:23:12 PM,102.79406,35.86794,-35.3902,42.54574
4/9/23,4:23:42 PM,102.8478,35.8677,-35.39022,42.56328
4/9/23,4:24:12 PM,102.85358,35.86766,-35.3907,42.58056
4/9/23,4:24:42 PM,102.89348,35.867,-35.38904,42.60118
4/9/23,4:25:12 PM,102.91172,35.86688,-35.38932,42.6216
