date_time,v1,v2,v3,v4,logger,date,time
12/15/22 14:30,82.37,34,82.32,11.09,arduino,12/15/22,14:30:16
12/15/22 14:35,82.03,34,82.18,11.42,arduino,12/15/22,14:35:17
12/15/22 14:40,81.91,34,82.02,11.66,arduino,12/15/22,14:40:17
12/15/22 14:45,81.72,34,81.81,11.89,arduino,12/15/22,14:45:18
12/15/22 14:50,81.69,34,81.76,12.11,arduino,12/15/22,14:50:18
12/15/22 14:55,81.56,34,81.59,12.29,arduino,12/15/22,14:55:19
12/15/22 15:00,81.41,34,81.49,12.42,arduino,12/15/22,15:00:19
12/15/22 15:05,81.5,34,81.5,12.58,arduino,12/15/22,15:05:19
12/15/22 15:10,81.41,34,81.51,12.71,arduino,12/15/22,15:10:20
12/15/22 15:15,81.47,34,81.39,12.86,arduino,12/15/22,15:15:20
12/15/22 15:20,81.34,34,81.31,12.97,arduino,12/15/22,15:20:21
12/15/22 15:25,81.34,34,81.34,13.07,arduino,12/15/22,15:25:21
12/15/22 15:30,81.31,34,81.32,13.15,arduino,12/15/22,15:30:22
12/15/22 15:35,81.34,34,81.34,13.24,arduino,12/15/22,15:35:22
12/15/22 15:40,81.28,34,81.3,13.29,arduino,12/15/22,15:40:23
12/15/22 15:45,81.19,34,81.23,13.36,arduino,12/15/22,15:45:23
12/15/22 15:50,81.12,34,81.13,13.41,arduino,12/15/22,15:50:24
12/15/22 15:55,81,34,81.06,13.47,arduino,12/15/22,15:55:24
12/15/22 16:00,81.19,34,81.02,13.5,arduino,12/15/22,16:00:25
12/15/22 16:05,81.06,34,81.08,13.55,arduino,12/15/22,16:05:25
12/15/22 16:10,80.97,34,81.04,13.58,arduino,12/15/22,16:10:26
12/15/22 16:15,80.97,34,80.94,13.62,arduino,12/15/22,16:15:26
12/15/22 16:20,80.97,34,80.94,13.64,arduino,12/15/22,16:20:27
12/15/22 16:25,80.97,34,80.91,13.67,arduino,12/15/22,16:25:27
12/15/22 16:30,80.75,34,80.79,13.69,arduino,12/15/22,16:30:28
12/15/22 16:35,80.62,34,80.77,13.73,arduino,12/15/22,16:35:28
12/15/22 16:40,80.66,34,80.71,13.73,arduino,12/15/22,16:40:28
12/15/22 16:45,80.78,34,80.66,13.75,arduino,12/15/22,16:45:29
12/15/22 16:50,80.75,34,80.66,13.76,arduino,12/15/22,16:50:30
12/15/22 16:55,80.56,34,80.57,13.78,arduino,12/15/22,16:55:30
12/15/22 17:00,80.5,34,80.51,13.79,arduino,12/15/22,17:00:31
12/15/22 17:05,80.44,34,80.49,13.8,arduino,12/15/22,17:05:31
12/15/22 17:10,80.47,34,80.46,13.8,arduino,12/15/22,17:10:32
12/15/22 17:15,80.47,34,80.41,13.82,arduino,12/15/22,17:15:32
12/15/22 17:20,80.37,34,80.39,13.82,arduino,12/15/22,17:20:32
12/15/22 17:25,80.34,34,80.33,13.84,arduino,12/15/22,17:25:33
12/15/22 17:30,80.41,34,80.29,13.83,arduino,12/15/22,17:30:33
12/15/22 17:35,80.19,34,80.3,13.85,arduino,12/15/22,17:35:34
12/15/22 17:40,80.37,34,80.28,13.84,arduino,12/15/22,17:40:34
