"date_time","v1","v2","v3","v4","logger","durafet"
2023-04-07 14:40:00,74.84,36,33.5,-18.47,"arduino","green"
2023-04-07 14:40:30,75,36,34,-18.35,"arduino","green"
2023-04-07 14:41:00,75.25,36,33.75,-18.22,"arduino","green"
2023-04-07 14:41:30,75.47,36,34,-18.06,"arduino","green"
2023-04-07 14:42:00,75.69,36,34.25,-17.88,"arduino","green"
2023-04-07 14:42:30,75.97,36,34,-17.69,"arduino","green"
2023-04-07 14:43:00,76.19,36,34.25,-17.5,"arduino","green"
2023-04-07 14:43:30,76.37,36,34,-17.29,"arduino","green"
2023-04-07 14:44:00,76.66,36,34,-17.1,"arduino","green"
2023-04-07 14:44:30,76.84,36,34,-16.88,"arduino","green"
2023-04-07 14:45:00,77.12,36,34,-16.65,"arduino","green"
2023-04-07 14:45:30,77.34,36,34,-16.43,"arduino","green"
2023-04-07 14:46:00,77.53,36,34,-16.25,"arduino","green"
2023-04-07 14:46:30,77.78,36,34,-16,"arduino","green"
2023-04-07 14:47:00,77.94,36,34,-15.78,"arduino","green"
2023-04-07 14:47:30,78.16,36,33.5,-15.59,"arduino","green"
2023-04-07 14:48:00,78.31,36,33.75,-15.4,"arduino","green"
2023-04-07 14:48:30,78.47,36,34,-15.19,"arduino","green"
2023-04-07 14:49:00,78.69,36,34,-15,"arduino","green"
2023-04-07 14:49:30,78.84,36,34,-14.81,"arduino","green"
2023-04-07 14:50:00,79,36,34,-14.65,"arduino","green"
2023-04-07 14:50:30,79.16,36,33.75,-14.44,"arduino","green"
2023-04-07 14:51:00,79.31,36,34,-14.25,"arduino","green"
2023-04-07 14:51:30,79.44,36,34,-14.06,"arduino","green"
2023-04-07 14:52:00,79.59,36,33.5,-13.91,"arduino","green"
2023-04-07 14:52:30,79.75,36,34.25,-13.72,"arduino","green"
2023-04-07 14:53:00,79.87,36,34,-13.56,"arduino","green"
2023-04-07 14:53:30,79.97,36,33.75,-13.41,"arduino","green"
2023-04-07 14:54:00,80.12,36,34,-13.25,"arduino","green"
2023-04-07 14:54:30,80.28,36,34,-13.06,"arduino","green"
2023-04-07 14:55:00,80.37,36,33.5,-12.88,"arduino","green"
2023-04-07 14:55:30,80.5,36,34,-12.72,"arduino","green"
2023-04-07 14:56:00,80.56,36,33.75,-12.59,"arduino","green"
2023-04-07 14:56:30,80.72,36,33.75,-12.44,"arduino","green"
2023-04-07 14:57:00,80.78,36,33.75,-12.28,"arduino","green"
2023-04-07 14:57:30,80.87,36,33.75,-12.16,"arduino","green"
2023-04-07 14:58:00,80.97,36,33.75,-12.03,"arduino","green"
2023-04-07 14:58:30,81,36,34,-11.88,"arduino","green"
2023-04-07 14:59:00,81.12,36,34,-11.75,"arduino","green"
2023-04-07 14:59:30,81.22,36,34,-11.63,"arduino","green"
2023-04-07 15:00:00,81.31,36,34,-11.5,"arduino","green"
2023-04-07 15:00:30,81.37,36,33.75,-11.41,"arduino","green"
2023-04-07 15:01:00,81.44,36,34,-11.28,"arduino","green"
2023-04-07 15:01:30,81.53,36,34,-11.16,"arduino","green"
2023-04-07 15:02:00,81.59,36,33.75,-11.06,"arduino","green"
2023-04-07 15:02:30,81.66,36,33.5,-10.94,"arduino","green"
2023-04-07 15:03:00,81.72,36,34,-10.84,"arduino","green"
2023-04-07 15:03:30,81.78,36,34,-10.75,"arduino","green"
2023-04-07 15:04:00,81.84,36,33.75,-10.66,"arduino","green"
2023-04-07 15:04:30,81.94,36,34,-10.53,"arduino","green"
2023-04-07 15:05:00,81.97,36,33.75,-10.44,"arduino","green"
2023-04-07 15:05:30,82,36,34,-10.34,"arduino","green"
2023-04-07 15:06:00,82.06,36,34,-10.28,"arduino","green"
2023-04-07 15:06:30,82.09,36,34,-10.19,"arduino","green"
2023-04-07 15:07:00,82.19,36,34,-10.09,"arduino","green"
2023-04-07 15:07:30,82.22,36,34,-10,"arduino","green"
2023-04-07 15:08:00,82.28,36,34,-9.94,"arduino","green"
2023-04-07 15:08:30,82.34,36,34,-9.84,"arduino","green"
2023-04-07 15:09:00,82.37,36,33.75,-9.75,"arduino","green"
2023-04-07 15:09:30,82.41,36,34,-9.69,"arduino","green"
2023-04-07 15:10:00,82.47,36,33.5,-9.63,"arduino","green"
2023-04-07 15:10:30,82.5,36,34,-9.53,"arduino","green"
2023-04-07 15:11:00,82.56,36,34,-9.47,"arduino","green"
2023-04-07 15:11:30,82.59,36,34,-9.41,"arduino","green"
2023-04-07 15:12:00,82.62,36,34,-9.31,"arduino","green"
2023-04-07 15:12:30,82.69,36,33.75,-9.22,"arduino","green"
2023-04-07 15:13:00,82.78,36,33.75,-9.13,"arduino","green"
2023-04-07 15:13:30,82.87,36,34,-9.03,"arduino","green"
2023-04-07 15:14:00,83.03,36,34,-8.91,"arduino","green"
2023-04-07 15:14:30,83.16,36,34,-8.75,"arduino","green"
2023-04-07 15:15:00,83.37,36,34,-8.59,"arduino","green"
2023-04-07 15:15:30,83.5,36,34,-8.44,"arduino","green"
2023-04-07 15:16:00,83.62,36,34,-8.31,"arduino","green"
2023-04-07 15:16:30,83.72,36,34,-8.16,"arduino","green"
2023-04-07 15:17:00,83.81,36,34,-7.97,"arduino","green"
2023-04-07 15:17:30,83.91,36,33.5,-7.84999999999999,"arduino","green"
2023-04-07 15:18:00,84,36,34,-7.69,"arduino","green"
2023-04-07 15:18:30,84.06,36,34,-7.56,"arduino","green"
2023-04-07 15:19:00,84.16,36,33.75,-7.44,"arduino","green"
2023-04-07 15:19:30,84.22,36,34,-7.31,"arduino","green"
2023-04-07 15:20:00,84.28,36,33.75,-7.19,"arduino","green"
2023-04-07 15:20:30,84.34,36,33.75,-7,"arduino","green"
2023-04-07 15:21:00,84.37,36,33.75,-6.88,"arduino","green"
2023-04-07 15:21:30,84.44,36,33.75,-6.78,"arduino","green"
2023-04-07 15:22:00,84.53,36,33.75,-6.63,"arduino","green"
2023-04-07 15:22:30,84.62,36,34,-6.5,"arduino","green"
2023-04-07 15:23:00,84.66,36,33.75,-6.38,"arduino","green"
2023-04-07 15:23:30,84.72,36,34,-6.27999999999999,"arduino","green"
2023-04-07 15:24:00,84.78,36,33.75,-6.16,"arduino","green"
2023-04-07 15:24:30,84.84,36,34,-6.06999999999999,"arduino","green"
2023-04-07 15:25:00,84.87,36,33.25,-5.94,"arduino","green"
2023-04-07 15:25:30,84.97,36,34,-5.84999999999999,"arduino","green"
2023-04-07 15:26:00,85,36,33.75,-5.75,"arduino","green"
2023-04-07 15:26:30,85.03,36,34,-5.66,"arduino","green"
2023-04-07 15:27:00,85.12,36,33.75,-5.52999999999999,"arduino","green"
2023-04-07 15:27:30,85.16,36,34,-5.44,"arduino","green"
2023-04-07 15:28:00,85.19,36,33.75,-5.34999999999999,"arduino","green"
2023-04-07 15:28:30,85.22,36,33.75,-5.25,"arduino","green"
2023-04-07 15:29:00,85.28,36,33.75,-5.16,"arduino","green"
2023-04-07 15:29:30,85.34,36,34,-5.09999999999999,"arduino","green"
2023-04-07 15:30:00,85.37,36,33.75,-5,"arduino","green"
2023-04-07 15:30:30,85.41,36,33.75,-4.94,"arduino","green"
2023-04-07 15:31:00,85.44,36,34,-4.84999999999999,"arduino","green"
2023-04-07 15:31:30,85.5,36,33.75,-4.77999999999999,"arduino","green"
2023-04-07 15:32:00,85.5,36,34,-4.69,"arduino","green"
2023-04-07 15:32:30,85.56,36,33.25,-4.63,"arduino","green"
2023-04-07 15:33:00,85.56,36,33.75,-4.56999999999999,"arduino","green"
2023-04-07 15:33:30,85.59,36,34,-4.53,"arduino","green"
2023-04-07 15:34:00,85.66,36,34,-4.44,"arduino","green"
2023-04-07 15:34:30,85.69,36,33.75,-4.41,"arduino","green"
2023-04-07 15:35:00,85.69,36,34,-4.34999999999999,"arduino","green"
2023-04-07 15:35:30,85.69,36,33.75,-4.28,"arduino","green"
2023-04-07 15:36:00,85.75,36,34,-4.22,"arduino","green"
2023-04-07 15:36:30,85.78,36,33.75,-4.16,"arduino","green"
2023-04-07 15:37:00,85.81,36,33.75,-4.09999999999999,"arduino","green"
2023-04-07 15:37:30,85.81,36,34.25,-4.06,"arduino","green"
2023-04-07 15:38:00,85.84,36,33.75,-4,"arduino","green"
2023-04-07 15:38:30,85.84,36,34,-3.94,"arduino","green"
2023-04-07 15:39:00,85.91,36,34,-3.91,"arduino","green"
2023-04-07 15:39:30,85.94,36,34,-3.84999999999999,"arduino","green"
2023-04-07 15:40:00,85.97,36,33.25,-3.81,"arduino","green"
2023-04-07 15:40:30,85.94,36,33.75,-3.78,"arduino","green"
2023-04-07 15:41:00,86,36,33.75,-3.72,"arduino","green"
2023-04-07 15:41:30,85.97,36,34,-3.69,"arduino","green"
2023-04-07 15:42:00,86,36,34,-3.66,"arduino","green"
2023-04-07 15:42:30,86.03,36,33.75,-3.59999999999999,"arduino","green"
2023-04-07 15:43:00,86.03,36,34,-3.56,"arduino","green"
2023-04-07 15:43:30,86.06,36,33.75,-3.56,"arduino","green"
2023-04-07 15:44:00,86.06,36,34,-3.53,"arduino","green"
2023-04-07 15:44:30,86.06,36,34,-3.5,"arduino","green"
2023-04-07 15:45:00,86.06,36,34,-3.47,"arduino","green"
2023-04-07 15:45:30,86.06,36,33.75,-3.44,"arduino","green"
2023-04-07 15:46:00,86.12,36,34,-3.41,"arduino","green"
2023-04-07 15:46:30,86.09,36,33.5,-3.38,"arduino","green"
2023-04-07 15:47:00,86.09,36,34,-3.34,"arduino","green"
2023-04-07 15:47:30,86.22,36,33.25,-3.28,"arduino","green"
2023-04-07 15:48:00,86.22,36,34,-3.25,"arduino","green"
2023-04-07 15:48:30,86.25,36,34,-3.19,"arduino","green"
