"date_time","v1","v2","v3","v4","logger","durafet"
2023-04-10 22:10:00,78.89042,35.9004,-35.69388,-15.69386,"madgetech","green"
2023-04-10 22:10:05,78.87626,35.90078,-35.69452,-15.69388,"madgetech","green"
2023-04-10 22:10:10,78.90302,35.90026,-35.69382,-15.69288,"madgetech","green"
2023-04-10 22:10:15,78.88092,35.90064,-35.69424,-15.6926,"madgetech","green"
2023-04-10 22:10:20,78.89618,35.90028,-35.69364,-15.69158,"madgetech","green"
2023-04-10 22:10:25,78.90666,35.89942,-35.69354,-15.69228,"madgetech","green"
2023-04-10 22:10:30,78.88536,35.90024,-35.69328,-15.69086,"madgetech","green"
2023-04-10 22:10:35,78.85752,35.8997,-35.69352,-15.6907,"madgetech","green"
2023-04-10 22:10:40,78.87968,35.90056,-35.69398,-15.69026,"madgetech","green"
2023-04-10 22:10:45,78.8795,35.90054,-35.69306,-15.69012,"madgetech","green"
2023-04-10 22:10:50,78.86988,35.90024,-35.6932,-15.68976,"madgetech","green"
2023-04-10 22:10:55,78.87242,35.90086,-35.69462,-15.6891,"madgetech","green"
2023-04-10 22:11:00,78.88638,35.89974,-35.69414,-15.68874,"madgetech","green"
2023-04-10 22:11:05,78.89946,35.901,-35.69296,-15.6876,"madgetech","green"
2023-04-10 22:11:10,78.87692,35.89996,-35.69374,-15.68738,"madgetech","green"
2023-04-10 22:11:15,78.87004,35.90064,-35.6938,-15.68768,"madgetech","green"
2023-04-10 22:11:20,78.8754,35.90004,-35.69416,-15.68734,"madgetech","green"
2023-04-10 22:11:25,78.86784,35.8999,-35.69362,-15.68642,"madgetech","green"
2023-04-10 22:11:30,78.89404,35.90004,-35.69402,-15.68694,"madgetech","green"
2023-04-10 22:11:35,78.89874,35.8993,-35.69416,-15.6866,"madgetech","green"
2023-04-10 22:11:40,78.9051,35.89956,-35.69334,-15.68594,"madgetech","green"
2023-04-10 22:11:45,78.9128,35.90004,-35.69374,-15.6859,"madgetech","green"
2023-04-10 22:11:50,78.9184,35.90052,-35.69364,-15.68564,"madgetech","green"
2023-04-10 22:11:55,78.93428,35.89898,-35.69336,-15.68388,"madgetech","green"
2023-04-10 22:12:00,78.9468,35.8996,-35.69286,-15.68362,"madgetech","green"
2023-04-10 22:12:05,78.92536,35.89952,-35.69216,-15.68358,"madgetech","green"
2023-04-10 22:12:10,78.94048,35.90016,-35.69396,-15.68298,"madgetech","green"
2023-04-10 22:12:15,78.9306,35.90008,-35.69402,-15.68214,"madgetech","green"
2023-04-10 22:12:20,78.90984,35.89902,-35.6937,-15.68224,"madgetech","green"
2023-04-10 22:12:25,78.92988,35.89958,-35.6943,-15.68168,"madgetech","green"
2023-04-10 22:12:30,78.91308,35.89914,-35.69356,-15.68132,"madgetech","green"
2023-04-10 22:12:35,78.92506,35.89948,-35.69306,-15.68142,"madgetech","green"
2023-04-10 22:12:40,78.93602,35.89976,-35.69338,-15.68028,"madgetech","green"
2023-04-10 22:12:45,78.94444,35.89908,-35.69308,-15.6804,"madgetech","green"
2023-04-10 22:12:50,78.909,35.89962,-35.6932,-15.67912,"madgetech","green"
2023-04-10 22:12:55,78.9218,35.899,-35.69306,-15.67916,"madgetech","green"
2023-04-10 22:13:00,78.9261,35.89934,-35.6932,-15.67898,"madgetech","green"
2023-04-10 22:13:05,78.92558,35.8997,-35.69284,-15.6786,"madgetech","green"
2023-04-10 22:13:10,78.9458,35.89974,-35.69286,-15.67852,"madgetech","green"
2023-04-10 22:13:15,78.98364,35.8992,-35.69328,-15.67746,"madgetech","green"
2023-04-10 22:13:20,78.98174,35.89946,-35.69292,-15.6773,"madgetech","green"
