"date_time","v1","v2","v3","v4","logger","durafet"
2023-04-07 16:08:00,87.87,36.25,33.75,-0.25,"arduino","red"
2023-04-07 16:08:30,88.31,36.25,33.75,-0.219999999999999,"arduino","red"
2023-04-07 16:09:00,88.37,36.25,34,-0.120000000000005,"arduino","red"
2023-04-07 16:09:30,88.5,36.25,34,-0.0600000000000023,"arduino","red"
2023-04-07 16:10:00,88.56,36.25,33.5,0,"arduino","red"
2023-04-07 16:10:30,88.72,36.25,33.75,0.100000000000001,"arduino","red"
2023-04-07 16:11:00,88.78,36.25,34,0.159999999999997,"arduino","red"
2023-04-07 16:11:30,88.78,36.25,34,0.280000000000001,"arduino","red"
2023-04-07 16:12:00,88.81,36.25,34.25,0.380000000000003,"arduino","red"
2023-04-07 16:12:30,88.75,36.25,33.75,0.469999999999999,"arduino","red"
2023-04-07 16:13:00,88.81,36.25,33.75,0.530000000000001,"arduino","red"
2023-04-07 16:13:30,88.84,36.25,34,0.630000000000003,"arduino","red"
2023-04-07 16:14:00,88.91,36.25,33.5,0.689999999999998,"arduino","red"
2023-04-07 16:14:30,88.87,36.25,33.75,0.780000000000001,"arduino","red"
2023-04-07 16:15:00,88.91,36.25,34,0.840000000000003,"arduino","red"
2023-04-07 16:15:30,88.91,36.25,34,0.909999999999997,"arduino","red"
2023-04-07 16:16:00,89,36.25,34.25,0.969999999999999,"arduino","red"
2023-04-07 16:16:30,89,36.25,34,1.06,"arduino","red"
2023-04-07 16:17:00,89.06,36.25,34.25,1.13,"arduino","red"
2023-04-07 16:17:30,89.09,36.25,33.5,1.19,"arduino","red"
2023-04-07 16:18:00,89.12,36.25,34,1.25,"arduino","red"
2023-04-07 16:18:30,89.12,36.25,34,1.28,"arduino","red"
2023-04-07 16:19:00,89.19,36.25,33.75,1.34,"arduino","red"
2023-04-07 16:19:30,89.25,36.25,33.75,1.41,"arduino","red"
2023-04-07 16:20:00,89.25,36.25,34,1.44,"arduino","red"
2023-04-07 16:20:30,89.25,36.25,34,1.5,"arduino","red"
2023-04-07 16:21:00,89.22,36.25,34,1.53,"arduino","red"
2023-04-07 16:21:30,89.25,36.25,34,1.59,"arduino","red"
2023-04-07 16:22:00,89.28,36.25,34,1.63,"arduino","red"
2023-04-07 16:22:30,89.31,36.25,34,1.69,"arduino","red"
2023-04-07 16:23:00,89.31,36,34.25,1.72,"arduino","red"
2023-04-07 16:23:30,89.28,36,34,1.75,"arduino","red"
2023-04-07 16:24:00,89.31,36,34,1.78,"arduino","red"
2023-04-07 16:24:30,89.31,36.25,33.75,1.81,"arduino","red"
2023-04-07 16:25:00,89.31,36.25,33.5,1.84,"arduino","red"
2023-04-07 16:25:30,89.31,36.25,34,1.88,"arduino","red"
2023-04-07 16:26:00,89.37,36.25,33.75,1.91,"arduino","red"
2023-04-07 16:26:30,89.37,36.25,34,1.91,"arduino","red"
2023-04-07 16:27:00,89.34,36.25,34,1.94,"arduino","red"
2023-04-07 16:27:30,89.37,36.25,34,1.97,"arduino","red"
2023-04-07 16:28:00,89.41,36.25,34,1.97,"arduino","red"
2023-04-07 16:28:30,89.34,36.25,34,2,"arduino","red"
2023-04-07 16:29:00,89.34,36.25,34,2,"arduino","red"
2023-04-07 16:29:30,89.31,36.25,34,2,"arduino","red"
2023-04-07 16:30:00,89.31,36.25,34,2.03,"arduino","red"
2023-04-07 16:30:30,89.28,36.25,34,2.03,"arduino","red"
2023-04-07 16:31:00,89.31,36,34,2.03,"arduino","red"
2023-04-07 16:31:30,89.31,36.25,33.75,2.06,"arduino","red"
2023-04-07 16:32:00,89.31,36.25,34,2.06,"arduino","red"
2023-04-07 16:32:30,89.31,36.25,33.5,2.06,"arduino","red"
2023-04-07 16:33:00,89.31,36,34,2.1,"arduino","red"
2023-04-07 16:33:30,89.28,36.25,34,2.1,"arduino","red"
2023-04-07 16:34:00,89.31,36.25,34,2.1,"arduino","red"
2023-04-07 16:34:30,89.31,36.25,34,2.1,"arduino","red"
2023-04-07 16:35:00,89.31,36.25,34,2.1,"arduino","red"
