date_time,v1,v2,v3,v4,date,time
1/25/24 12:30,71.72,35,-36,-12.44,1/25/24,12:30:01
1/25/24 12:30,71.91,35,-36,-12.5,1/25/24,12:30:31
1/25/24 12:31,71.94,35,-36,-12.56,1/25/24,12:31:01
1/25/24 12:31,71.97,34.75,-36,-12.63,1/25/24,12:31:31
1/25/24 12:32,71.97,34.75,-36,-12.69,1/25/24,12:32:01
1/25/24 12:32,71.97,35,-36,-12.72,1/25/24,12:32:31
1/25/24 12:33,71.97,34.75,-36,-12.78,1/25/24,12:33:01
1/25/24 12:33,71.97,35,-36,-12.84,1/25/24,12:33:31
1/25/24 12:34,71.94,35,-36,-12.88,1/25/24,12:34:01
1/25/24 12:34,71.94,34.75,-36,-12.91,1/25/24,12:34:31
1/25/24 12:35,71.94,35,-36,-12.94,1/25/24,12:35:01
1/25/24 12:35,71.97,35,-36,-12.97,1/25/24,12:35:31
1/25/24 12:36,71.97,35,-36,-12.97,1/25/24,12:36:01
1/25/24 12:36,71.91,35,-36,-13,1/25/24,12:36:31
1/25/24 12:37,71.91,35,-36,-13,1/25/24,12:37:01
1/25/24 12:37,71.91,35,-36,-13.03,1/25/24,12:37:31
1/25/24 12:38,71.87,35,-36,-13.06,1/25/24,12:38:01
1/25/24 12:38,71.87,35,-36,-13.09,1/25/24,12:38:31
1/25/24 12:39,71.87,35,-36,-13.13,1/25/24,12:39:01
1/25/24 12:39,71.84,35,-36,-13.13,1/25/24,12:39:31
1/25/24 12:40,71.87,35,-36,-13.19,1/25/24,12:40:01
1/25/24 12:40,71.81,34.75,-36,-13.19,1/25/24,12:40:31
1/25/24 12:41,71.81,35,-36,-13.19,1/25/24,12:41:01
1/25/24 12:41,71.78,35,-36,-13.19,1/25/24,12:41:31
1/25/24 12:42,71.84,35,-36,-13.22,1/25/24,12:42:01
1/25/24 12:42,71.78,35,-36,-13.25,1/25/24,12:42:31
1/25/24 12:43,71.78,35,-36,-13.28,1/25/24,12:43:01
1/25/24 12:43,71.72,34.75,-36,-13.28,1/25/24,12:43:31
1/25/24 12:44,71.69,35,-36,-13.28,1/25/24,12:44:01
1/25/24 12:44,71.72,35,-36,-13.31,1/25/24,12:44:31
1/25/24 12:45,71.69,35,-36,-13.31,1/25/24,12:45:01
1/25/24 12:45,71.69,35,-36,-13.35,1/25/24,12:45:31
1/25/24 12:46,71.72,35,-36,-13.38,1/25/24,12:46:01
1/25/24 12:46,71.69,34.75,-36,-13.41,1/25/24,12:46:31
1/25/24 12:47,71.69,35,-36,-13.41,1/25/24,12:47:01
1/25/24 12:47,71.69,35,-36,-13.44,1/25/24,12:47:31
1/25/24 12:48,71.66,35,-36,-13.44,1/25/24,12:48:01
1/25/24 12:48,71.66,34.75,-36,-13.44,1/25/24,12:48:31
1/25/24 12:49,71.62,35,-36,-13.47,1/25/24,12:49:01
1/25/24 12:49,71.62,35,-36,-13.5,1/25/24,12:49:31
1/25/24 12:50,71.62,35,-36,-13.5,1/25/24,12:50:01
1/25/24 12:50,71.59,35,-36,-13.53,1/25/24,12:50:31
1/25/24 12:51,71.56,34.75,-36,-13.56,1/25/24,12:51:01
1/25/24 12:51,71.56,35,-36,-13.56,1/25/24,12:51:31
1/25/24 12:52,71.56,35,-36,-13.6,1/25/24,12:52:01
1/25/24 12:52,71.5,35,-36,-13.6,1/25/24,12:52:31
