FrameSync,DateTime (UTC+00:00),Sample Number (#),Error Flags (#),External pH (pH),Internal pH (pH),External pH (Volt),Internal pH (Volt),pH Temperature (Celsius),Relative Humidity (%),Int Temperature (Celsius),Tris - Int pH,Tris - Ext pH
SEAFET02300,1/25/24 20:21,437,0,8.2892,8.2165,-0.917322,-0.966843,18.0125,20.8,18.4,8.303152441,8.31569237
SEAFET02300,1/25/24 20:21,438,0,8.2861,8.2144,-0.917423,-0.966925,18.1005,20.8,18.5,8.299920761,8.31284219
SEAFET02300,1/25/24 20:22,439,0,8.2831,8.2119,-0.917526,-0.967038,18.1807,20.8,18.5,8.299920761,8.310245871
SEAFET02300,1/25/24 20:22,440,0,8.2808,8.2098,-0.917603,-0.967132,18.2388,20.7,18.5,8.299920761,8.308365729
SEAFET02300,1/25/24 20:23,441,0,8.2794,8.2087,-0.917647,-0.967179,18.2798,20.7,18.5,8.299920761,8.307039321
SEAFET02300,1/25/24 20:23,442,0,8.2785,8.2085,-0.917666,-0.967171,18.3164,20.7,18.6,8.296690891,8.305855517
SEAFET02300,1/25/24 20:24,443,0,8.2771,8.2069,-0.917712,-0.967251,18.357,20.8,18.6,8.296690891,8.304542621
SEAFET02300,1/25/24 20:24,444,0,8.2755,8.206,-0.917769,-0.967284,18.396,20.8,18.6,8.296690891,8.303281746
SEAFET02300,1/25/24 20:25,445,0,8.2746,8.2054,-0.917781,-0.967299,18.4361,20.8,18.7,8.293462825,8.301985596
SEAFET02300,1/25/24 20:25,446,0,8.2736,8.2045,-0.917809,-0.967341,18.4716,20.8,18.7,8.293462825,8.300838374
SEAFET02300,1/25/24 20:26,447,0,8.2731,8.2042,-0.917809,-0.967341,18.5007,20.8,18.7,8.293462825,8.299898146
SEAFET02300,1/25/24 20:26,448,0,8.2719,8.2037,-0.917853,-0.967362,18.5272,20.8,18.7,8.293462825,8.299042058
SEAFET02300,1/25/24 20:27,449,0,8.2716,8.2039,-0.917853,-0.967341,18.5512,20.7,18.8,8.290236559,8.298266842
SEAFET02300,1/25/24 20:27,450,0,8.2701,8.2028,-0.917916,-0.967395,18.5731,20.7,18.8,8.290236559,8.297559548
SEAFET02300,1/25/24 20:28,451,0,8.2697,8.2026,-0.917919,-0.967398,18.5963,20.8,18.8,8.290236559,8.296810364
SEAFET02300,1/25/24 20:28,452,0,8.2695,8.2023,-0.917908,-0.9674,18.6199,20.8,18.9,8.28701209,8.296048362
SEAFET02300,1/25/24 20:29,453,0,8.2695,8.2028,-0.917885,-0.967366,18.6435,20.8,18.9,8.28701209,8.29528646
SEAFET02300,1/25/24 20:29,454,0,8.2675,8.2011,-0.917982,-0.96745,18.6659,20.8,18.9,8.28701209,8.294563393
SEAFET02300,1/25/24 20:30,455,0,8.2671,8.2012,-0.917986,-0.967437,18.6866,20.8,19,8.283789413,8.293895281
SEAFET02300,1/25/24 20:30,456,0,8.2664,8.2007,-0.918007,-0.967458,18.707,20.8,19,8.283789413,8.293236927
SEAFET02300,1/25/24 20:31,457,0,8.2665,8.2007,-0.917988,-0.967447,18.7264,20.7,19,8.283789413,8.292610916
SEAFET02300,1/25/24 20:31,458,0,8.2651,8.2001,-0.918051,-0.967475,18.7441,20.8,19,8.283789413,8.29203982
SEAFET02300,1/25/24 20:32,459,0,8.2644,8.1997,-0.918077,-0.967494,18.7611,20.8,19,8.283789413,8.291491363
SEAFET02300,1/25/24 20:32,460,0,8.2641,8.1996,-0.918078,-0.967492,18.7772,20.8,19,8.283789413,8.290971989
SEAFET02300,1/25/24 20:33,461,0,8.2639,8.2,-0.918073,-0.967461,18.7929,20.8,19.1,8.280568523,8.290465565
SEAFET02300,1/25/24 20:33,462,0,8.2633,8.1993,-0.918096,-0.967496,18.8076,20.8,19.1,8.280568523,8.289991436
SEAFET02300,1/25/24 20:34,463,0,8.263,8.1993,-0.9181,-0.967491,18.8235,20.8,19.2,8.277349416,8.289478648
SEAFET02300,1/25/24 20:34,464,0,8.2626,8.1992,-0.918109,-0.96749,18.8415,20.8,19.2,8.277349416,8.288898187
SEAFET02300,1/25/24 20:35,465,0,8.2624,8.1987,-0.918105,-0.967507,18.8575,20.8,19.2,8.277349416,8.28838227
SEAFET02300,1/25/24 20:35,466,0,8.2615,8.1986,-0.918138,-0.967505,18.876,20.8,19.2,8.277349416,8.287785799
SEAFET02300,1/25/24 20:36,467,0,8.261,8.1985,-0.918154,-0.967507,18.8925,20.8,19.3,8.274132089,8.287253863
SEAFET02300,1/25/24 20:36,468,0,8.2598,8.1975,-0.91821,-0.967556,18.9076,20.8,19.3,8.274132089,8.286767104
SEAFET02300,1/25/24 20:37,469,0,8.2599,8.1979,-0.918191,-0.967527,18.9206,20.8,19.3,8.274132089,8.286348072
SEAFET02300,1/25/24 20:37,470,0,8.2601,8.1979,-0.918168,-0.967524,18.9328,20.8,19.3,8.274132089,8.285954854
SEAFET02300,1/25/24 20:38,471,0,8.259,8.1976,-0.91822,-0.967539,18.9446,20.8,19.3,8.274132089,8.285574555
SEAFET02300,1/25/24 20:38,472,0,8.2583,8.1968,-0.918248,-0.967579,18.9579,20.9,19.3,8.274132089,8.285145942
SEAFET02300,1/25/24 20:39,473,0,8.2582,8.1971,-0.918243,-0.967554,18.9715,20.9,19.4,8.270916536,8.284707693
SEAFET02300,1/25/24 20:39,474,0,8.2574,8.1966,-0.91828,-0.967577,18.985,20.9,19.4,8.270916536,8.2842727
SEAFET02300,1/25/24 20:40,475,0,8.2576,8.1969,-0.918251,-0.967553,18.9996,20.9,19.4,8.270916536,8.2838023
SEAFET02300,1/25/24 20:40,476,0,8.2571,8.1968,-0.918268,-0.967554,19.0129,20.9,19.4,8.270916536,8.283373817
