rate,timestamp,Date,Time,J1 (mV),J1 oversampled mean (mV),J1 oversampled mean,J1 oversampled min,J1 oversampled max,J1 oversampled sd,J2+ (mV),J3 (mV),J4+ (mV),J4+ oversampled mean (mV),J4+ oversampled mean,J4+ oversampled min,J4+ oversampled max,J4+ oversampled sd,J4- (mV),J4- oversampled mean (mV),J4- oversampled mean,J4- oversampled min,J4- oversampled max,J4- oversampled sd
64,1,4/2/23,18:10:18,56.16,56.19,1798,1794,1803,2.24,34.25,-36.13,39.97,40.03,1281,1280,1284,1.11,51.66,51.63,1652,1652,1654,1.03
64,2,4/2/23,18:10:28,55.97,56.16,1797,1791,1804,2.99,34.38,-36.13,40.06,40.03,1281,1278,1284,1.15,51.63,51.63,1652,1652,1654,1.02
64,3,4/2/23,18:10:38,56.16,56.13,1796,1791,1804,3.2,34.25,-36.13,39.97,40.03,1281,1279,1284,1.1,51.66,51.63,1652,1652,1654,0.91
64,4,4/2/23,18:10:48,56.03,56.13,1796,1790,1803,3.18,34.25,-36.13,39.97,40.03,1281,1280,1283,0.86,51.66,51.63,1652,1652,1654,1
64,5,4/2/23,18:10:58,56.25,56.13,1796,1791,1803,2.32,34.25,-36.13,39.97,40.03,1281,1279,1284,0.83,51.66,51.63,1652,1652,1654,1.02
64,6,4/2/23,18:11:08,56.16,56.16,1797,1793,1804,2.57,34.13,-36.13,39.97,40,1280,1279,1283,1.26,51.66,51.63,1652,1652,1654,1.03
64,7,4/2/23,18:11:18,55.97,56.16,1797,1791,1802,2.05,34.13,-36.13,40,40,1280,1279,1283,1.19,51.66,51.63,1652,1651,1654,1.05
64,8,4/2/23,18:11:28,56.03,56.13,1796,1789,1806,3.42,34.13,-36.13,39.97,40,1280,1278,1282,1.05,51.66,51.63,1652,1652,1654,0.92
64,9,4/2/23,18:11:38,56.06,56.13,1796,1789,1803,2.94,34,-36.13,39.94,40,1280,1278,1282,0.96,51.44,51.63,1652,1652,1654,0.98
64,10,4/2/23,18:11:48,56.09,56.09,1795,1790,1802,2.65,34.25,-36.13,39.91,40,1280,1278,1283,1.04,51.63,51.63,1652,1652,1654,0.95
64,11,4/2/23,18:11:58,55.94,56.13,1796,1791,1802,2.47,34.13,-36.13,39.94,39.97,1279,1277,1282,1.46,51.66,51.63,1652,1652,1654,0.98
64,12,4/2/23,18:12:08,56.13,56.06,1794,1789,1799,2.14,34.13,-36.13,39.91,39.97,1279,1278,1282,1.3,51.63,51.63,1652,1652,1654,0.97
64,13,4/2/23,18:12:18,56.03,56.06,1794,1788,1799,2.64,33.5,-36.13,39.94,39.97,1279,1277,1282,1.17,51.66,51.63,1652,1652,1654,0.93
64,14,4/2/23,18:12:28,55.88,56.03,1793,1785,1800,3.13,34,-36.13,39.91,39.97,1279,1278,1282,1.14,51.69,51.63,1652,1652,1654,0.98
64,15,4/2/23,18:12:38,55.91,56.03,1793,1787,1802,2.81,34.13,-36.13,39.97,39.97,1279,1276,1282,1.08,51.66,51.63,1652,1651,1654,0.96
64,16,4/2/23,18:12:48,56.06,56.03,1793,1787,1800,2.65,34.13,-36.13,39.91,39.97,1279,1277,1281,0.94,51.66,51.63,1652,1652,1654,1.08
64,17,4/2/23,18:12:58,56.06,56.09,1795,1791,1801,2.1,34.13,-36.13,39.94,39.94,1278,1277,1281,1.35,51.66,51.63,1652,1652,1654,0.92
64,18,4/2/23,18:13:08,56.13,56.09,1795,1789,1803,3.27,34.13,-36.13,39.91,39.94,1278,1276,1281,1.17,51.66,51.63,1652,1652,1654,0.93
64,19,4/2/23,18:13:18,56.03,56.16,1797,1791,1803,2.62,34.25,-36.13,39.91,39.94,1278,1276,1281,1.06,51.66,51.63,1652,1652,1654,0.88
64,20,4/2/23,18:13:28,56.06,56.16,1797,1791,1804,3.3,34.13,-36.13,39.88,39.94,1278,1277,1281,0.92,51.66,51.63,1652,1652,1654,0.92
64,21,4/2/23,18:13:38,55.91,56.16,1797,1792,1804,2.8,34.13,-36.13,39.91,39.94,1278,1276,1280,1.06,51.63,51.63,1652,1652,1654,0.94
64,22,4/2/23,18:13:48,56.06,56.13,1796,1793,1803,2.26,34.13,-36.13,39.88,39.91,1277,1276,1280,1.25,51.66,51.63,1652,1652,1654,0.97
64,23,4/2/23,18:13:58,56.03,56.13,1796,1791,1801,2.74,34.13,-36.13,39.88,39.91,1277,1276,1280,1.15,51.66,51.63,1652,1652,1654,0.92
64,24,4/2/23,18:14:08,56.19,56.13,1796,1790,1801,2.56,34.13,-36.13,39.88,39.91,1277,1275,1280,1.41,51.47,51.63,1652,1651,1654,1.02
64,25,4/2/23,18:14:18,56.03,56.09,1795,1791,1801,2.21,33.88,-36.13,39.91,39.91,1277,1276,1280,1.01,51.66,51.63,1652,1651,1654,1.08
64,26,4/2/23,18:14:28,56,56.06,1794,1789,1799,2.27,34.13,-36.13,39.91,39.91,1277,1275,1280,1.06,51.66,51.63,1652,1652,1654,0.98
64,27,4/2/23,18:14:38,55.91,56.03,1793,1786,1801,3.63,34.13,-36.13,39.84,39.91,1277,1275,1279,0.97,51.63,51.63,1652,1652,1654,0.91
64,28,4/2/23,18:14:48,56.06,56.06,1794,1787,1801,2.79,33.75,-36.13,39.84,39.91,1277,1275,1279,0.98,51.63,51.63,1652,1652,1654,0.92
64,29,4/2/23,18:14:58,56.13,56.06,1794,1787,1802,3.04,34.13,-36.13,39.88,39.91,1277,1275,1279,0.96,51.66,51.63,1652,1652,1653,0.8
64,30,4/2/23,18:15:08,55.94,56.06,1794,1789,1800,2.68,34,-36.13,39.84,39.88,1276,1275,1279,1.14,51.66,51.63,1652,1652,1654,1.05
64,31,4/2/23,18:15:18,55.84,56,1792,1785,1801,3.98,34.13,-36.13,39.81,39.88,1276,1273,1279,1.08,51.63,51.63,1652,1652,1654,0.93
64,32,4/2/23,18:15:28,55.94,56,1792,1789,1796,1.85,34.25,-36.13,39.78,39.88,1276,1273,1278,0.95,51.63,51.63,1652,1652,1653,0.88
64,33,4/2/23,18:15:38,55.91,55.97,1791,1784,1798,3.07,34.13,-36.13,39.84,39.88,1276,1273,1278,0.88,51.63,51.63,1652,1652,1654,1.02
64,34,4/2/23,18:15:48,55.84,55.97,1791,1782,1799,3.66,34.13,-36.13,39.84,39.88,1276,1274,1278,0.77,51.66,51.63,1652,1652,1655,1.06
64,35,4/2/23,18:15:58,56.06,56,1792,1788,1796,2.21,34,-36.13,39.84,39.84,1275,1273,1279,1.38,51.38,51.63,1652,1652,1654,1.02
64,36,4/2/23,18:16:08,56.03,56.03,1793,1789,1801,2.67,34.25,-36.13,39.78,39.84,1275,1273,1278,1.17,51.66,51.63,1652,1652,1654,0.94
