,Times (s),Current (A),Current_STD (A),Voltage (V)
0,0.17023229598999023,0.01448221,0.0,3.6
1,0.34229087829589844,0.01448271,0.0,3.6
2,0.5134398937225342,0.01448227,0.0,3.6
3,0.6949069499969482,0.01448239,0.0,3.6
4,0.8653290271759033,0.0144813,0.0,3.6
5,1.0360324382781982,0.01448462,0.0,3.6
6,1.2071125507354736,0.01448278,0.0,3.6
7,1.3792150020599365,0.01448235,0.0,3.6
8,1.5523886680603027,0.01448227,0.0,3.6
9,1.7258515357971191,0.01447982,0.0,3.6
10,1.895606279373169,0.01447578,0.0,3.6
11,2.0675222873687744,0.01447217,0.0,3.6
12,2.2397501468658447,0.01447457,0.0,3.6
13,2.4090301990509033,0.01447833,0.0,3.6
14,2.580296039581299,0.01448368,0.0,3.6
15,2.75327467918396,0.01448264,0.0,3.6
16,2.9247395992279053,0.01448483,0.0,3.6
17,3.1050782203674316,0.01448135,0.0,3.6
18,3.274127721786499,0.01448076,0.0,3.6
19,3.4464404582977295,0.01448189,0.0,3.6
20,3.6184680461883545,0.01448144,0.0,3.6
21,3.789376735687256,0.0144856,0.0,3.6
22,3.9600441455841064,0.01448358,0.0,3.6
23,4.140568733215332,0.01448459,0.0,3.6
24,4.310383081436157,0.01448551,0.0,3.6
25,4.490678310394287,0.01448525,0.0,3.6
26,4.672762393951416,0.01448435,0.0,3.6
27,4.8497090339660645,0.01448469,0.0,3.6
28,5.030072450637817,0.0144841,0.0,3.6
29,5.197413921356201,0.01448419,0.0,3.6
30,5.378799676895142,0.01448597,0.0,3.6
31,5.551062822341919,0.01448339,0.0,3.6
32,5.720695495605469,0.01448831,0.0,3.6
33,5.891340970993042,0.01448911,0.0,3.6
34,6.073810815811157,0.01448877,0.0,3.6
35,6.241423845291138,0.01448868,0.0,3.6
36,6.4131245613098145,0.01448724,0.0,3.6
37,6.5950541496276855,0.01448701,0.0,3.6
38,6.77586555480957,0.01448554,0.0,3.6
39,6.956813335418701,0.01448314,0.0,3.6
40,7.134572744369507,0.01448315,0.0,3.6
41,7.316744089126587,0.01448282,0.0,3.6
42,7.485185146331787,0.01448154,0.0,3.6
43,7.6653337478637695,0.01448555,0.0,3.6
44,7.843037366867065,0.01448481,0.0,3.6
45,8.023690462112427,0.01448303,0.0,3.6
46,8.200603246688843,0.01448442,0.0,3.6
47,8.380505561828613,0.01448624,0.0,3.6
48,8.559738397598267,0.01448306,0.0,3.6
49,8.739219665527344,0.01448357,0.0,3.6
50,8.920696258544922,0.0144846,0.0,3.6
51,9.103147506713867,0.0144843,0.0,3.6
52,9.272234201431274,0.01448238,0.0,3.6
53,9.441736936569214,0.01448054,0.0,3.6
54,9.610574722290039,0.0144783,0.0,3.6
55,9.79305362701416,0.0144811,0.0,3.6
56,9.963637113571167,0.01448,0.0,3.6
57,10.136093854904175,0.03101009,0.0,3.6
58,10.303286075592041,0.02795883,0.0,3.6
59,10.484519720077515,0.03347015,0.0,3.6
60,10.651599645614624,0.03229656,0.0,3.6
61,10.834421157836914,0.0286011,0.0,3.6
62,11.0032320022583,0.03743977,0.0,3.6
63,11.171447277069092,0.03746319,0.0,3.6
64,11.340440511703491,0.03754074,0.0,3.6
65,11.522840023040771,0.03762028,0.0,3.6
66,11.693354368209839,0.03768741,0.0,3.6
67,11.86471962928772,0.03772896,0.0,3.6
68,12.032580614089966,0.03775164,0.0,3.6
69,12.21642804145813,0.03776893,0.0,3.6
70,12.39728307723999,0.03778025,0.0,3.6
71,12.566728115081787,0.03778677,0.0,3.6
72,12.739362478256226,0.03778932,0.0,3.6
73,12.920573472976685,0.037795,0.0,3.6
74,13.104306697845459,0.03779143,0.0,3.6
75,13.27326250076294,0.03779275,0.0,3.6
76,13.443281650543213,0.03779412,0.0,3.6
77,13.613957643508911,0.03779356,0.0,3.6
78,13.783564567565918,0.03779384,0.0,3.6
79,13.9547278881073,0.03779522,0.0,3.6
80,14.123751878738403,0.03779739,0.0,3.6
81,14.298868417739868,0.03779088,0.0,3.6
82,14.467875242233276,0.03779666,0.0,3.6
83,14.638963222503662,0.03779788,0.0,3.6
84,14.80880093574524,0.03779034,0.0,3.6
85,14.980868816375732,0.03779461,0.0,3.6
86,15.151322364807129,0.03779396,0.0,3.6
87,15.317753314971924,0.03779407,0.0,3.6
88,15.497061014175415,0.03779132,0.0,3.6
89,15.677045106887817,0.03779607,0.0,3.6
90,15.846496820449829,0.03779533,0.0,3.6
91,16.019871473312378,0.0377951,0.0,3.6
92,16.203489542007446,0.03779385,0.0,3.6
93,16.374359846115112,0.03779536,0.0,3.6
94,16.55773138999939,0.03779697,0.0,3.6
95,16.729506492614746,0.03779129,0.0,3.6
96,16.89928364753723,0.03779314,0.0,3.6
97,17.067657709121704,0.03779475,0.0,3.6
98,17.250800848007202,0.03746791,0.0,3.6
99,17.432515621185303,0.03750557,0.0,3.6
100,17.610851287841797,0.03760627,0.0,3.6
101,17.79461121559143,0.03768538,0.0,3.6
102,17.964455127716064,0.03773407,0.0,3.6
103,18.136858701705933,0.03775723,0.0,3.6
104,18.32160782814026,0.03777221,0.0,3.6
105,18.505762815475464,0.03778618,0.0,3.6
106,18.67583203315735,0.03778787,0.0,3.6
107,18.845542192459106,0.03778983,0.0,3.6
108,19.014699459075928,0.03779208,0.0,3.6
109,19.187111854553223,0.0377886,0.0,3.6
110,19.356884479522705,0.03778399,0.0,3.6
111,19.52733016014099,0.03778362,0.0,3.6
112,19.696502923965454,0.03778426,0.0,3.6
113,19.869319438934326,0.03778218,0.0,3.6
114,20.040805101394653,0.03778379,0.0,3.6
115,20.21070647239685,0.03778027,0.0,3.6
116,20.382673740386963,0.0377795,0.0,3.6
117,20.5528621673584,0.03777881,0.0,3.6
118,20.722559690475464,0.03777683,0.0,3.6
119,20.89413619041443,0.03778161,0.0,3.6
120,21.064829349517822,0.03778185,0.0,3.6
121,21.235942125320435,0.0377738,0.0,3.6
122,21.405372619628906,0.03778306,0.0,3.6
123,21.576659679412842,0.03777887,0.0,3.6
124,21.747058153152466,0.03777661,0.0,3.6
125,21.91942858695984,0.03777735,0.0,3.6
126,22.089210510253906,0.0377766,0.0,3.6
127,22.260430097579956,0.03777925,0.0,3.6
128,22.429274797439575,0.03778206,0.0,3.6
129,22.600414276123047,0.03777744,0.0,3.6
130,22.771169662475586,0.03778077,0.0,3.6
131,22.958367109298706,0.03778586,0.0,3.6
132,23.129833221435547,0.03778085,0.0,3.6
133,23.300676345825195,0.03746963,0.0,3.6
134,23.472137212753296,0.03751367,0.0,3.6
135,23.645085334777832,0.03760125,0.0,3.6
136,23.816295385360718,0.03767254,0.0,3.6
137,23.98743200302124,0.03771755,0.0,3.6
138,24.157819509506226,0.03774111,0.0,3.6
139,24.330190896987915,0.03775957,0.0,3.6
140,24.501456260681152,0.03776724,0.0,3.6
141,24.672629356384277,0.03777404,0.0,3.6
142,24.843722343444824,0.03777894,0.0,3.6
143,25.01540184020996,0.0377837,0.0,3.6
144,25.18483257293701,0.03778286,0.0,3.6
145,25.356935501098633,0.03778399,0.0,3.6
146,25.52702760696411,0.03777902,0.0,3.6
147,25.699627161026,0.03778471,0.0,3.6
148,25.86931824684143,0.03778291,0.0,3.6
149,26.040412425994873,0.03778207,0.0,3.6
150,26.212653160095215,0.03778371,0.0,3.6
151,26.382970571517944,0.0377835,0.0,3.6
152,26.55435800552368,0.03778376,0.0,3.6
153,26.726057291030884,0.03778106,0.0,3.6
154,26.897867679595947,0.03778367,0.0,3.6
155,27.069647073745728,0.03778371,0.0,3.6
156,27.24043107032776,0.03778915,0.0,3.6
157,27.41032600402832,0.03778376,0.0,3.6
158,27.58405375480652,0.03778572,0.0,3.6
159,27.768494367599487,0.03778499,0.0,3.6
160,27.95210576057434,0.03748477,0.0,3.6
161,28.122674465179443,0.03754384,0.0,3.6
162,28.294690370559692,0.03762615,0.0,3.6
163,28.46493101119995,0.03769092,0.0,3.6
164,28.635188102722168,0.03773116,0.0,3.6
165,28.805408716201782,0.03775766,0.0,3.6
166,28.978277683258057,0.03776306,0.0,3.6
167,29.149017333984375,0.03777349,0.0,3.6
168,29.319563627243042,0.03804002,0.0,3.6
169,29.49076819419861,0.03778292,0.0,3.6
170,29.66075849533081,0.03778592,0.0,3.6
171,29.832394123077393,0.03778446,0.0,3.6
172,30.001594066619873,0.03778622,0.0,3.6
173,30.17448377609253,0.03778171,0.0,3.6
174,30.347182989120483,0.0377853,0.0,3.6
175,30.517898559570312,0.03778884,0.0,3.6
176,30.686936378479004,0.03778654,0.0,3.6
177,30.859638452529907,0.03778598,0.0,3.6
178,31.029805898666382,0.03778795,0.0,3.6
179,31.200417280197144,0.03779119,0.0,3.6
180,31.372056007385254,0.03778818,0.0,3.6
181,31.542213678359985,0.03778899,0.0,3.6
182,31.713448762893677,0.03778777,0.0,3.6
183,31.884358882904053,0.03778682,0.0,3.6
184,32.05610799789429,0.03778469,0.0,3.6
185,32.227455377578735,0.03778579,0.0,3.6
186,32.398749351501465,0.0377834,0.0,3.6
187,32.56893014907837,0.03778435,0.0,3.6
188,32.738863945007324,0.03778519,0.0,3.6
189,32.90847635269165,0.03778654,0.0,3.6
190,33.07954001426697,0.03778474,0.0,3.6
191,33.249229431152344,0.03778454,0.0,3.6
192,33.43455123901367,0.03778483,0.0,3.6
193,33.60544204711914,0.03778635,0.0,3.6
194,33.777337312698364,0.03777895,0.0,3.6
195,33.948535680770874,0.0377857,0.0,3.6
196,34.11891293525696,0.03778552,0.0,3.6
197,34.29155945777893,0.03778609,0.0,3.6
198,34.461962938308716,0.03778767,0.0,3.6
199,34.63232088088989,0.03776518,0.0,3.6
200,34.803568840026855,0.03778708,0.0,3.6
201,34.97625160217285,0.03778568,0.0,3.6
202,35.14650368690491,0.03778592,0.0,3.6
203,35.318171977996826,0.03778765,0.0,3.6
204,35.49054718017578,0.03778703,0.0,3.6
205,35.66144561767578,0.03778487,0.0,3.6
206,35.833839416503906,0.0377877,0.0,3.6
207,36.00358438491821,0.03778835,0.0,3.6
208,36.17623209953308,0.0326903,0.0,3.6
209,36.3593270778656,0.03749552,0.0,3.6
210,36.53139138221741,0.03757571,0.0,3.6
211,36.70074510574341,0.03766041,0.0,3.6
212,36.87144899368286,0.03771534,0.0,3.6
213,37.04144549369812,0.03774616,0.0,3.6
214,37.21142244338989,0.03776406,0.0,3.6
215,37.38281846046448,0.03773596,0.0,3.6
216,37.55440044403076,0.03777386,0.0,3.6
217,37.727466344833374,0.03777745,0.0,3.6
