,Times (s),Current (A),Voltage (V)
0,0.142903566,0.002729462,3.6
1,0.290624142,0.002729543,3.6
2,0.441169977,0.002728091,3.6
3,0.591394901,0.002732601,3.6
4,0.74267149,0.002731989,3.6
5,0.903399467,0.002728835,3.6
6,1.053262234,0.002726944,3.6
7,1.21444869,0.002726952,3.6
8,1.372146368,0.002730816,3.6
9,1.527701616,0.002732977,3.6
10,1.681687593,0.002730074,3.6
11,1.83863163,0.002733663,3.6
12,2.001855612,0.002729979,3.6
13,2.156282902,0.00272881,3.6
14,2.31507349,0.002729832,3.6
15,2.471987724,0.01478892,3.6
16,2.620871305,0.01348895,3.6
17,2.777202845,0.01332286,3.6
18,2.934821606,0.01334292,3.6
19,3.09382844,0.01404544,3.6
20,3.250127554,0.01332956,3.6
21,3.395457029,0.01333071,3.6
22,3.55306077,0.01329754,3.6
23,3.703262329,0.01329707,3.6
24,3.85007906,0.01346754,3.6
25,3.999387026,0.01325954,3.6
26,4.150990486,0.01325521,3.6
27,4.305533648,0.01326833,3.6
28,4.459783554,0.01470489,3.6
29,4.61224246,0.002758392,3.6
30,4.763759613,0.002721952,3.6
31,4.920855522,0.00272598,3.6
32,5.072161674,0.002726929,3.6
33,5.221618176,0.002726523,3.6
34,5.386690617,0.002731605,3.6
35,5.541914463,0.002726316,3.6
36,5.687613487,0.002729969,3.6
37,5.831417799,0.00273182,3.6
38,5.976860762,0.002731074,3.6
39,6.136683464,0.002733774,3.6
40,6.285322189,0.002731694,3.6
41,6.434273005,0.002730879,3.6
42,6.583182812,0.002731803,3.6
43,6.723836899,0.002730919,3.6
44,6.878367901,0.002730214,3.6
45,7.023258924,0.002732002,3.6
46,7.17401576,0.002730055,3.6
47,7.324997902,0.002730554,3.6
48,7.474715948,0.002730229,3.6
49,7.632905722,0.002727007,3.6
50,7.78240037,0.00273004,3.6
51,7.952615976,0.002729989,3.6
52,8.102807522,0.002730175,3.6
53,8.267971992,0.002731292,3.6
54,8.410135746,0.002730222,3.6
55,8.559839964,0.002730447,3.6
56,8.711250305,0.002726711,3.6
57,8.853634357,0.002726029,3.6
58,9.006228447,0.002728926,3.6
59,9.147964954,0.002727366,3.6
60,9.288789272,0.002727437,3.6
61,9.441279888,0.002730204,3.6
62,9.581906319,0.002728004,3.6
63,9.737827301,0.002729979,3.6
64,9.884406805,0.00272986,3.6
65,10.02797771,0.002727066,3.6
66,10.17347145,0.002725333,3.6
67,10.32441235,0.002728492,3.6
68,10.47360945,0.002725418,3.6
69,10.62450504,0.00272697,3.6
70,10.7827878,0.002725023,3.6
71,10.93610215,0.002727684,3.6
72,11.08475518,0.002726756,3.6
73,11.23576689,0.002728356,3.6
74,11.39026117,0.002726163,3.6
75,11.54874229,0.002724315,3.6
76,11.6951046,0.002727389,3.6
77,11.84616613,0.002726026,3.6
78,11.99074435,0.002725464,3.6
79,12.13653278,0.002725864,3.6
80,12.29420567,0.002725057,3.6
81,12.44670463,0.008271996,3.6
82,12.59982681,0.0133265,3.6
83,12.74174786,0.01348556,3.6
84,12.8949759,0.01333816,3.6
85,13.04716778,0.01349296,3.6
86,13.19309664,0.01328003,3.6
87,13.33471012,0.01328864,3.6
88,13.48534656,0.01337402,3.6
89,13.63497376,0.01328884,3.6
90,13.79531145,0.0132551,3.6
91,13.95556974,0.01326914,3.6
92,14.09728312,0.01327387,3.6
93,14.24857783,0.01325063,3.6
94,14.39184594,0.0155074,3.6
95,14.54244232,0.002813352,3.6
96,14.69421935,0.002715265,3.6
97,14.8534019,0.002716971,3.6
98,15.00470948,0.002723055,3.6
99,15.15629601,0.002723482,3.6
100,15.31002092,0.002724624,3.6
101,15.45740008,0.002726373,3.6
102,15.59863019,0.002728385,3.6
103,15.75368786,0.002724607,3.6
104,15.90590811,0.002726463,3.6
105,16.05550408,0.002727916,3.6
106,16.20507598,0.002727342,3.6
107,16.35473919,0.002727483,3.6
108,16.50709271,0.002726849,3.6
109,16.65811968,0.002728833,3.6
110,16.80533743,0.002728888,3.6
111,16.94736719,0.002728754,3.6
112,17.10686016,0.002731434,3.6
113,17.25694895,0.002728961,3.6
114,17.40638161,0.002728555,3.6
115,17.55697632,0.002728739,3.6
116,17.72319984,0.002729163,3.6
117,17.87181926,0.002729408,3.6
118,18.01898861,0.002728228,3.6
119,18.17674398,0.002729047,3.6
120,18.32618332,0.002725884,3.6
121,18.47668862,0.002726517,3.6
122,18.62763548,0.002724395,3.6
123,18.7837956,0.00272634,3.6
124,18.93144631,0.002726371,3.6
125,19.0873735,0.00272194,3.6
126,19.24217844,0.002726044,3.6
127,19.3797071,0.002724923,3.6
128,19.54364848,0.002726651,3.6
129,19.68639612,0.002724594,3.6
130,19.84083056,0.002727672,3.6
131,19.98535609,0.002722843,3.6
132,20.14593196,0.002723563,3.6
133,20.2939949,0.00272413,3.6
134,20.44525242,0.00272558,3.6
135,20.59486938,0.002723108,3.6
136,20.74199724,0.002724972,3.6
137,20.88553762,0.002724413,3.6
138,21.04357767,0.002722139,3.6
139,21.19643593,0.002722908,3.6
140,21.34402633,0.002724884,3.6
141,21.50473785,0.002723929,3.6
142,21.65604544,0.002721935,3.6
143,21.80439782,0.002723302,3.6
