,Times (s),Current Positive (A),Voltage Positive (V),Current Negative (A),Voltage Negative (V)
0,0.9612865447998047,0.018704,3.59861,-0.000335,-3.602437
1,1.8267745971679688,0.01864,3.599808,-0.000332,-3.602437
2,2.6937081813812256,0.01855,3.599808,-0.000332,-3.602437
3,3.548210859298706,0.018601,3.599808,-0.000331,-3.602437
4,4.414515018463135,0.018612,3.599808,-0.000332,-3.602437
5,5.283926486968994,0.018698,3.600008,-0.00033,-3.602437
6,6.137850046157837,0.018677,3.600008,-0.00033,-3.602437
7,7.010374069213867,0.018785,3.600008,-0.00033,-3.602437
8,7.868648290634155,0.01835,3.600008,-0.00033,-3.602437
9,8.730167865753174,0.018788,3.600008,-0.00033,-3.602437
10,9.591313362121582,0.018741,3.600008,-0.00033,-3.602437
11,10.456345558166504,0.006224,3.600008,-0.00033,-3.602437
12,11.324516773223877,0.018473,3.600008,-0.00033,-3.602437
13,12.183794260025024,0.018549,3.600008,-0.00033,-3.602437
14,13.052618503570557,0.019077,3.600008,-0.00033,-3.602437
15,13.912455320358276,0.001865,3.600008,-0.00033,-3.602437
16,14.776875019073486,0.001787,3.600008,-0.00033,-3.602437
17,15.639692306518555,0.001794,3.600008,-0.000329,-3.602437
18,16.50397300720215,0.001574,3.600008,-0.00033,-3.602437
19,17.365720510482788,0.001599,3.600008,-0.00033,-3.602437
20,18.225480556488037,0.001602,3.600008,-0.00033,-3.602437
21,19.089977979660034,0.001602,3.600008,-0.00033,-3.602437
22,19.955909490585327,0.001602,3.600008,-0.000329,-3.602437
23,20.821874618530273,0.001604,3.600008,-0.00033,-3.602437
24,21.683772802352905,0.001602,3.600008,-0.00033,-3.602437
25,22.551082611083984,0.001602,3.600008,-0.00033,-3.602437
26,23.41439414024353,0.001604,3.600008,-0.00033,-3.602437
27,24.270322561264038,0.001602,3.600008,-0.00033,-3.602437
28,25.136103868484497,0.001599,3.600008,-0.00033,-3.602437
29,26.051575660705566,0.001601,3.600008,-0.00033,-3.602437
30,26.97119450569153,0.001602,3.600008,-0.00033,-3.602437
31,27.877936840057373,0.001601,3.600008,-0.00033,-3.602437
32,28.793843030929565,0.001601,3.600008,-0.00033,-3.602437
33,29.706941604614258,0.001604,3.600008,-0.00033,-3.602437
34,30.620495319366455,0.001604,3.600008,-0.00033,-3.602437
35,31.53544306755066,0.001604,3.600008,-0.00033,-3.602437
36,32.45382618904114,0.001606,3.600008,-0.00033,-3.602437
37,33.370426177978516,0.001872,3.600008,-0.000329,-3.602437
38,34.28043174743652,0.002104,3.600008,-0.00033,-3.602437
39,35.189956188201904,0.00209,3.600008,-0.00033,-3.602437
40,36.10523509979248,0.002087,3.600008,-0.00033,-3.602437
41,37.02579593658447,0.002087,3.600008,-0.00033,-3.602437
42,37.94178485870361,0.002094,3.600008,-0.000329,-3.602437
43,38.84843611717224,0.00209,3.600008,-0.00033,-3.602437
44,39.76759910583496,0.00209,3.600008,-0.00033,-3.602437
45,40.678027868270874,0.002092,3.600008,-0.00033,-3.602437
46,41.59558701515198,0.00209,3.600008,-0.00033,-3.602437
47,42.50615358352661,0.002088,3.600008,-0.00033,-3.602437
48,43.422675132751465,0.002092,3.600008,-0.00033,-3.602437
49,44.33423089981079,0.002092,3.600008,-0.00033,-3.602437
50,45.246657609939575,0.002092,3.600008,-0.00033,-3.602437
51,46.16296577453613,0.002094,3.600008,-0.000329,-3.602437
52,47.075958013534546,0.002094,3.600008,-0.00033,-3.602437
53,47.992045402526855,0.002092,3.600008,-0.00033,-3.602437
54,48.90272283554077,0.002096,3.600008,-0.000329,-3.602437
55,49.81776452064514,0.002092,3.600008,-0.00033,-3.602437
56,50.73010969161987,0.00209,3.600008,-0.00033,-3.602437
57,51.65066576004028,0.002092,3.600008,-0.00033,-3.602437
58,52.565486907958984,0.002094,3.600008,-0.00033,-3.602437
59,53.474448442459106,0.002092,3.600008,-0.00033,-3.602437
60,54.39349675178528,0.002097,3.600008,-0.00033,-3.602437
61,55.31000995635986,0.002094,3.600008,-0.00033,-3.602437
62,56.21692657470703,0.00209,3.600008,-0.00033,-3.602437
63,57.13634753227234,0.002092,3.600008,-0.00033,-3.602437
64,58.0472047328949,0.002096,3.600008,-0.00033,-3.602437
65,58.96396255493164,0.002094,3.600008,-0.00033,-3.602437
66,59.830252170562744,0.002097,3.600008,-0.000329,-3.602437
67,60.69404745101929,0.002092,3.600008,-0.00033,-3.602437
68,61.553601026535034,0.002092,3.600008,-0.00033,-3.602437
69,62.42005395889282,0.002092,3.600008,-0.000329,-3.602437
70,63.279935121536255,0.002122,3.600008,-0.00033,-3.602437
71,64.13811469078064,0.002094,3.600008,-0.00033,-3.602437
72,65.00893235206604,0.002094,3.600008,-0.00033,-3.602437
73,65.87222099304199,0.002094,3.600008,-0.00033,-3.602437
74,66.73599600791931,0.002094,3.600008,-0.00033,-3.602437
75,67.5970458984375,0.002096,3.600008,-0.00033,-3.602437
76,68.45658135414124,0.002096,3.600008,-0.00033,-3.602437
77,69.3220534324646,0.002096,3.600008,-0.00033,-3.602437
78,70.18262696266174,0.002097,3.600008,-0.00033,-3.602437
79,71.04648780822754,0.002096,3.600008,-0.00033,-3.602437
80,71.91098165512085,0.002097,3.600008,-0.00033,-3.602437
81,72.77397990226746,0.002099,3.600008,-0.00033,-3.602437
82,73.63307785987854,0.002096,3.600008,-0.00033,-3.602437
83,74.49993777275085,0.002092,3.600008,-0.00033,-3.602437
84,75.36204314231873,0.002096,3.600008,-0.00033,-3.602437
85,76.2251706123352,0.002094,3.600008,-0.00033,-3.602437
86,77.09540486335754,0.002094,3.600008,-0.00033,-3.602437
87,77.95346069335938,0.002096,3.600008,-0.00033,-3.602437
88,78.81776475906372,0.002094,3.600008,-0.00033,-3.602437
89,79.67508745193481,0.002096,3.600008,-0.00033,-3.602437
90,80.54638290405273,0.002094,3.600008,-0.00033,-3.602437
91,81.41001391410828,0.002094,3.600008,-0.00033,-3.602437
92,82.27047419548035,0.002097,3.600008,-0.00033,-3.602437
93,83.13762187957764,0.002096,3.600008,-0.00033,-3.602437
94,83.99580454826355,0.002094,3.600008,-0.00033,-3.602437
95,84.85622310638428,0.002094,3.600008,-0.00033,-3.602437
96,85.72070550918579,0.002097,3.600008,-0.00033,-3.602437
97,86.58386278152466,0.002096,3.600008,-0.00033,-3.602437
98,87.44809865951538,0.002096,3.600008,-0.00033,-3.602437
99,88.31522703170776,0.002096,3.600008,-0.00033,-3.602437
100,89.17687606811523,0.002097,3.600008,-0.00033,-3.602437
101,90.04147410392761,0.002099,3.600008,-0.00033,-3.602437
102,90.90774440765381,0.002096,3.600008,-0.00033,-3.602437
103,91.81647181510925,0.002097,3.600008,-0.00033,-3.602437
104,92.73635983467102,0.002097,3.600008,-0.00033,-3.602437
105,93.641446352005,0.002097,3.600008,-0.00033,-3.602437
106,94.55737614631653,0.002096,3.600008,-0.00033,-3.602437
107,95.47762060165405,0.002097,3.600008,-0.00033,-3.602437
108,96.39085364341736,0.002101,3.600008,-0.00033,-3.602437
109,97.29901838302612,0.002096,3.600008,-0.00033,-3.602437
110,98.21875238418579,0.002096,3.600008,-0.00033,-3.602437
111,99.12619471549988,0.002099,3.600008,-0.00033,-3.602437
112,100.04094552993774,0.002096,3.600008,-0.00033,-3.602437
113,100.95954203605652,0.002096,3.600008,-0.00033,-3.602437
114,101.87130236625671,0.002097,3.600008,-0.000331,-3.602437
115,102.79082465171814,0.002096,3.600008,-0.00033,-3.602437
116,103.70365357398987,0.002096,3.600008,-0.00033,-3.602437
117,104.61054158210754,0.002101,3.600008,-0.00033,-3.602437
118,105.53231859207153,0.002096,3.600008,-0.00033,-3.602437
119,106.44215416908264,0.002096,3.600008,-0.00033,-3.602437
120,107.35321593284607,0.002096,3.600008,-0.00033,-3.602437
121,108.27235651016235,0.002097,3.600008,-0.00033,-3.602437
122,109.18738555908203,0.002099,3.600008,-0.00033,-3.602437
123,110.09769678115845,0.002097,3.600008,-0.00033,-3.602437
124,111.01273036003113,0.002097,3.600008,-0.00033,-3.602437
125,111.9306480884552,0.002097,3.600008,-0.00033,-3.602437
126,112.84657430648804,0.002099,3.600008,-0.00033,-3.602437
127,113.75845766067505,0.002096,3.600008,-0.00033,-3.602437
128,114.67524242401123,0.002096,3.600008,-0.00033,-3.602437
129,115.58950018882751,0.002099,3.600008,-0.000329,-3.602437
130,116.50437140464783,0.002298,3.600008,-0.00033,-3.602437
131,117.41441631317139,0.002596,3.600008,-0.00033,-3.602437
132,118.32650113105774,0.0023,3.600008,-0.00033,-3.602437
133,119.24558687210083,0.018843,3.600008,-0.00033,-3.602437
134,120.15571999549866,0.017876,3.600008,-0.00033,-3.602437
135,121.07005310058594,0.017374,3.600008,-0.00033,-3.602437
136,121.98797988891602,0.017687,3.600008,-0.00033,-3.602437
137,122.90147066116333,0.017856,3.600008,-0.00033,-3.602437
138,123.80960392951965,0.01736,3.600008,-0.00033,-3.602437
139,124.72171354293823,0.017802,3.600008,-0.000329,-3.602437
140,125.64406085014343,0.017779,3.600008,-0.00033,-3.602437
141,126.55798935890198,0.017386,3.600008,-0.00033,-3.602437
142,127.46618604660034,0.0179,3.600008,-0.00033,-3.603272
143,128.3783323764801,0.017691,3.600008,-0.00033,-3.602437
144,129.29638767242432,0.01748,3.600008,-0.00033,-3.602437
145,130.21502041816711,0.017994,3.600008,-0.00033,-3.602437
146,131.12964153289795,0.017612,3.600008,-0.000331,-3.602437
147,131.98608946800232,0.017575,3.600008,-0.000331,-3.602437
148,132.84754753112793,0.018025,3.600008,-0.00033,-3.602437
149,133.71113991737366,0.017576,3.600008,-0.000331,-3.602437
150,134.57553505897522,0.017576,3.600008,-0.00033,-3.602437
151,135.4422390460968,0.018025,3.600008,-0.00033,-3.602437
152,136.30353999137878,0.017571,3.600008,-0.00033,-3.602437
153,137.16494393348694,0.017587,3.600008,-0.00033,-3.602437
154,138.03093218803406,0.018031,3.600008,-0.00033,-3.602437
155,138.89580845832825,0.017569,3.600008,-0.00033,-3.602437
156,139.76215434074402,0.017583,3.600008,-0.00033,-3.602437
157,140.62337493896484,0.018027,3.600008,-0.00033,-3.602437
158,141.478679895401,0.017569,3.600008,-0.00033,-3.602437
159,142.34844374656677,0.017592,3.600008,-0.00033,-3.602437
160,143.207293510437,0.018786,3.600008,-0.00033,-3.602437
161,144.07708597183228,0.018325,3.600008,-0.00033,-3.602437
162,144.9350242614746,0.017598,3.600008,-0.00033,-3.602437
163,145.79745626449585,0.018031,3.600008,-0.00033,-3.602437
164,146.66471219062805,0.017568,3.600008,-0.00033,-3.602437
165,147.52627992630005,0.01761,3.600008,-0.00033,-3.602437
166,148.39265632629395,0.018033,3.600008,-0.00033,-3.602437
167,149.2499680519104,0.017557,3.600008,-0.00033,-3.602437
168,150.12263584136963,0.01761,3.600008,-0.00033,-3.602437
169,150.97866582870483,0.018025,3.600008,-0.00033,-3.602437
170,151.84917831420898,0.017552,3.600008,-0.00033,-3.602437
171,152.70992612838745,0.017612,3.600008,-0.00033,-3.602437
172,153.57636713981628,0.018025,3.600008,-0.00033,-3.602437
173,154.4314889907837,0.01755,3.600008,-0.00033,-3.602437
174,155.29531502723694,0.016248,3.600008,-0.00033,-3.602437
175,156.16500282287598,0.018015,3.600008,-0.00033,-3.602437
176,157.02359747886658,0.017516,3.600008,-0.00033,-3.602437
177,157.88355469703674,0.017693,3.600008,-0.00033,-3.602437
178,158.75180220603943,0.017893,3.600008,-0.00033,-3.602437
179,159.6167597770691,0.017421,3.600008,-0.00033,-3.602437
180,160.48039436340332,0.017562,3.600008,-0.00033,-3.602437
181,161.34812307357788,0.017992,3.600008,-0.00033,-3.602437
182,162.2083604335785,0.017524,3.600008,-0.00033,-3.602437
183,163.07463932037354,0.01762,3.600008,-0.00033,-3.602437
184,163.98038792610168,0.017988,3.600008,-0.00033,-3.602437
185,164.89876532554626,0.017472,3.600008,-0.00033,-3.602437
186,165.81725096702576,0.018251,3.600008,-0.000331,-3.602437
187,166.73256659507751,0.018269,3.600008,-0.00033,-3.602437
188,167.6434624195099,0.018478,3.600008,-0.000331,-3.602437
189,168.55375361442566,0.009644,3.600008,-0.00033,-3.602437
190,169.47269344329834,0.018307,3.600008,-0.00033,-3.602437
191,170.38316583633423,0.017538,3.600008,-0.00033,-3.602437
192,171.30216121673584,0.018298,3.600008,-0.00033,-3.602437
193,172.21366095542908,0.017534,3.600008,-0.00033,-3.602437
194,173.13034176826477,0.018295,3.600008,-0.00033,-3.602437
195,174.03839993476868,0.017543,3.600008,-0.00033,-3.602437
196,174.9603705406189,0.018298,3.600008,-0.00033,-3.602437
197,175.87162733078003,0.017545,3.600008,-0.00033,-3.602437
198,176.78885579109192,0.018318,3.600008,-0.00033,-3.602437
199,177.69719052314758,0.017668,3.600008,-0.00033,-3.602437
200,178.60884547233582,0.017943,3.600008,-0.00033,-3.602437
201,179.5316824913025,0.018168,3.600008,-0.00033,-3.602437
202,180.4366636276245,0.017543,3.600008,-0.00033,-3.602437
203,181.3540735244751,0.0183,3.600008,-0.00033,-3.602437
204,182.26567220687866,0.017548,3.600008,-0.00033,-3.602437
205,183.1852056980133,0.018314,3.600008,-0.00033,-3.602437
206,184.09723138809204,0.017548,3.600008,-0.00033,-3.602437
207,185.00833439826965,0.01832,3.600008,-0.000329,-3.602437
208,185.9312789440155,0.017539,3.600008,-0.00033,-3.602437
209,186.83702206611633,0.018311,3.600008,-0.00033,-3.602437
210,187.7549512386322,0.017541,3.600008,-0.00033,-3.602437
211,188.6676926612854,0.01811,3.600008,-0.000331,-3.602437
212,189.58029508590698,0.018011,3.600008,-0.00033,-3.602437
213,190.4990200996399,0.017569,3.600008,-0.00033,-3.602437
214,191.40985012054443,0.018318,3.600008,-0.00033,-3.602437
215,192.3251256942749,0.017546,3.600008,-0.00033,-3.602437
216,193.1930878162384,0.018321,3.600008,-0.00033,-3.602437
217,194.10282516479492,0.017552,3.600008,-0.000331,-3.602437
218,194.96373510360718,0.018314,3.600008,-0.00033,-3.602437
219,195.83037781715393,0.017552,3.600008,-0.00033,-3.602437
