Date,Time,J1 diff (mV),J1 oversampled (mV),J2+ (mV),J3 diff (mV),J4 oversampled (mV), J4 (mV), J4+ (mV),J4- (mV), J4+ oversampled (mV),J4- oversampled (mV),Coin battery (mV)
12/15/22,10:45:04,109.09,109.11,34,-36,-11.97,-12.06,39.69,51.75,39.79,51.75,186
12/15/22,10:45:14,109.06,109.15,34,-36,-11.97,-12.03,39.66,51.69,39.78,51.76,188
12/15/22,10:45:24,109.28,109.13,34,-36,-11.96,-11.97,39.75,51.72,39.79,51.76,188
12/15/22,10:45:34,109.16,109.14,34,-36,-11.98,-11.97,39.72,51.69,39.78,51.76,188
12/15/22,10:45:44,109,109.14,34,-36,-11.97,-12.13,39.63,51.75,39.79,51.76,186
12/15/22,10:45:54,109,109.14,34,-36,-11.98,-12.06,39.66,51.72,39.78,51.76,188
12/15/22,10:46:04,108.97,109.12,34,-36,-11.98,-11.97,39.72,51.69,39.77,51.76,188
12/15/22,10:46:14,109.16,109.14,34,-36,-11.98,-12.06,39.66,51.72,39.78,51.76,186
12/15/22,10:46:24,109.09,109.14,34,-36,-11.98,-12.03,39.66,51.69,39.78,51.76,188
12/15/22,10:46:34,109.19,109.15,34,-36,-11.98,-12.03,39.69,51.72,39.78,51.76,186
12/15/22,10:46:43,108.97,109.16,34,-36,-11.97,-11.97,39.72,51.69,39.78,51.76,186
12/15/22,10:46:53,109.03,109.15,34,-36,-11.98,-12.03,39.69,51.72,39.77,51.76,186
12/15/22,10:47:03,109,109.11,34,-36,-11.99,-12.03,39.72,51.75,39.77,51.76,188
12/15/22,10:47:13,109.09,109.15,34,-36,-11.99,-12,39.72,51.72,39.77,51.76,184
12/15/22,10:47:23,109.09,109.15,34,-36,-11.99,-12.03,39.72,51.75,39.76,51.76,186
12/15/22,10:47:33,109.09,109.15,34,-36,-11.99,-12.06,39.66,51.72,39.77,51.76,186
12/15/22,10:47:43,109.06,109.16,34,-36,-12.01,-12.06,39.66,51.72,39.76,51.77,186
12/15/22,10:47:53,109.16,109.13,34,-36,-12,-12.03,39.72,51.75,39.76,51.76,188
12/15/22,10:48:03,109.12,109.16,34,-36,-12,-12.06,39.69,51.75,39.76,51.76,186
12/15/22,10:48:13,108.97,109.12,34,-36,-12.01,-12.06,39.69,51.75,39.76,51.76,186
12/15/22,10:48:23,109.12,109.14,34,-36,-12.01,-12,39.72,51.72,39.75,51.76,186
12/15/22,10:48:33,109.09,109.13,34,-36,-12.01,-12.03,39.69,51.72,39.75,51.76,186
12/15/22,10:48:42,109.12,109.17,34,-36,-12.02,-12.09,39.66,51.75,39.75,51.76,188
12/15/22,10:48:52,109.19,109.17,34,-36,-12.03,-12.06,39.66,51.72,39.74,51.77,184
12/15/22,10:49:02,109,109.13,34,-36,-12.01,-12.03,39.69,51.72,39.75,51.76,186
12/15/22,10:49:12,109.06,109.12,34,-36,-12.03,-12.09,39.63,51.72,39.73,51.77,188
