Device Name:,,VoltX4,VoltX4,VoltX4,VoltX4
Device Description:,,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger
Serial Number:,,R64785,R64785,R64785,R64785
Device ID:,,MultiChannel,MultiChannel,MultiChannel,MultiChannel
,,,,,
,,Channel 1,Channel 2,Channel 3,Channel 4
Date,Time,Voltage 1 (mV),Voltage 2 (mV),Voltage 3 (mV),Voltage 4 (mV)
12/15/22,2:30:44 PM,67.47786,35.61428,-35.36824,9.9944
12/15/22,2:35:44 PM,67.52754,35.61334,-35.36912,10.26428
12/15/22,2:40:44 PM,67.55252,35.61156,-35.36876,10.47462
12/15/22,2:45:44 PM,67.57998,35.61248,-35.37062,10.68658
12/15/22,2:50:44 PM,67.4736,35.61142,-35.37236,10.94644
12/15/22,2:55:44 PM,67.22768,35.61126,-35.37274,11.078
12/15/22,3:00:44 PM,67.20822,35.61156,-35.37538,11.2043
12/15/22,3:05:44 PM,67.1786,35.61316,-35.37728,11.3339
12/15/22,3:10:44 PM,67.10662,35.61266,-35.37854,11.46388
12/15/22,3:15:44 PM,67.1221,35.61344,-35.38002,11.57908
12/15/22,3:20:44 PM,67.2215,35.6143,-35.38288,11.68678
12/15/22,3:25:44 PM,67.21728,35.61492,-35.38436,11.78068
12/15/22,3:30:44 PM,67.24224,35.61534,-35.38648,11.86774
12/15/22,3:35:44 PM,67.24224,35.61618,-35.38916,11.94062
12/15/22,3:40:44 PM,67.2615,35.6172,-35.39022,12.0025
12/15/22,3:45:44 PM,67.2488,35.61818,-35.39208,12.05766
12/15/22,3:50:44 PM,67.2824,35.6184,-35.3944,12.10496
12/15/22,3:55:44 PM,67.3163,35.61972,-35.397,12.1461
12/15/22,4:00:44 PM,67.33198,35.62008,-35.39914,12.1795
12/15/22,4:05:44 PM,67.3452,35.62042,-35.39958,12.20636
12/15/22,4:10:44 PM,67.41704,35.6212,-35.401,12.22822
12/15/22,4:15:44 PM,67.38238,35.62138,-35.40376,12.2459
12/15/22,4:20:44 PM,67.2971,35.62148,-35.4059,12.26248
12/15/22,4:25:44 PM,67.22268,35.62204,-35.40742,12.2751
12/15/22,4:30:44 PM,67.17388,35.62302,-35.41004,12.28834
12/15/22,4:35:44 PM,67.21436,35.62358,-35.41126,12.29922
12/15/22,4:40:44 PM,67.29988,35.62378,-35.41172,12.30688
12/15/22,4:45:44 PM,67.73612,35.62502,-35.41202,12.31618
12/15/22,4:50:44 PM,68.0575,35.62626,-35.41354,12.32534
12/15/22,4:55:44 PM,68.16316,35.62694,-35.4151,12.3329
12/15/22,5:00:44 PM,68.19168,35.6274,-35.41636,12.33908
12/15/22,5:05:44 PM,68.13652,35.62718,-35.4181,12.34244
12/15/22,5:10:44 PM,68.22838,35.62734,-35.4188,12.34874
12/15/22,5:15:44 PM,68.33248,35.6279,-35.42008,12.3558
12/15/22,5:20:44 PM,68.23848,35.6287,-35.42094,12.36376
12/15/22,5:25:44 PM,68.04918,35.62864,-35.42274,12.36958
12/15/22,5:30:44 PM,67.94504,35.62808,-35.42338,12.37592
12/15/22,5:35:44 PM,67.86208,35.6288,-35.42554,12.38162
12/15/22,5:40:44 PM,67.98348,35.6288,-35.42526,12.38764
12/15/22,5:45:44 PM,68.17056,35.62874,-35.42564,12.39384
12/15/22,5:50:44 PM,68.45962,35.62952,-35.42566,12.39992
