Device Name:,,VoltX4,VoltX4,VoltX4,VoltX4
Device Description:,,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger
Serial Number:,,R64785,R64785,R64785,R64785
Device ID:,,MultiChannel,MultiChannel,MultiChannel,MultiChannel
,,,,,
,,Channel 1,Channel 2,Channel 3,Channel 4
Date,Time,Voltage 1 (mV),Voltage 2 (mV),Voltage 3 (mV),Voltage 4 (mV)
12/19/22,10:00:00 AM,98.14488,35.90646,-35.54792,-5.1373
12/19/22,10:00:05 AM,98.1328,35.90672,-35.54686,-5.14724
12/19/22,10:00:10 AM,98.12848,35.90628,-35.5454,-5.15452
12/19/22,10:00:15 AM,98.14752,35.90442,-35.54438,-5.16478
12/19/22,10:00:20 AM,98.16722,35.90388,-35.54436,-5.17276
12/19/22,10:00:25 AM,98.17322,35.90438,-35.54296,-5.18158
12/19/22,10:00:30 AM,98.13824,35.90278,-35.54292,-5.1902
12/19/22,10:00:35 AM,98.13532,35.90132,-35.54146,-5.19818
12/19/22,10:00:40 AM,98.102,35.90192,-35.54174,-5.20644
12/19/22,10:00:45 AM,98.10054,35.90042,-35.54038,-5.21458
12/19/22,10:00:50 AM,98.10356,35.9005,-35.53918,-5.22228
12/19/22,10:00:55 AM,98.10372,35.89854,-35.54006,-5.22946
12/19/22,10:01:00 AM,98.08776,35.89834,-35.53826,-5.2373
12/19/22,10:01:05 AM,98.08876,35.89784,-35.5373,-5.24378
12/19/22,10:01:10 AM,98.08458,35.89738,-35.53658,-5.25146
12/19/22,10:01:15 AM,98.08194,35.89648,-35.53648,-5.25778
12/19/22,10:01:20 AM,98.06022,35.89546,-35.5363,-5.265
12/19/22,10:01:25 AM,98.07568,35.89508,-35.53456,-5.27172
12/19/22,10:01:30 AM,98.0737,35.89386,-35.53394,-5.27892
12/19/22,10:01:35 AM,98.04066,35.89436,-35.53384,-5.28566
12/19/22,10:01:40 AM,98.03918,35.89308,-35.5321,-5.29166
12/19/22,10:01:45 AM,98.04492,35.89216,-35.53076,-5.29688
12/19/22,10:01:50 AM,98.04614,35.8918,-35.53042,-5.30256
12/19/22,10:01:55 AM,98.05562,35.89106,-35.53094,-5.30866
12/19/22,10:02:00 AM,98.05668,35.89072,-35.53002,-5.3136
12/19/22,10:02:05 AM,98.03748,35.88988,-35.52852,-5.31838
12/19/22,10:02:10 AM,98.02808,35.8892,-35.5287,-5.32324
12/19/22,10:02:15 AM,98.03418,35.88954,-35.52768,-5.3282
12/19/22,10:02:20 AM,98.04312,35.88834,-35.52636,-5.33232
12/19/22,10:02:25 AM,98.0306,35.88842,-35.52632,-5.33738
12/19/22,10:02:30 AM,98.03248,35.88666,-35.52544,-5.34164
12/19/22,10:02:35 AM,98.03114,35.88598,-35.52586,-5.34648
12/19/22,10:02:40 AM,98.02778,35.88548,-35.52458,-5.34994
12/19/22,10:02:45 AM,98.02166,35.88548,-35.5243,-5.35454
12/19/22,10:02:50 AM,98.0378,35.88402,-35.52284,-5.35778
12/19/22,10:02:55 AM,98.02574,35.88408,-35.52204,-5.36194
12/19/22,10:03:00 AM,98.02264,35.88292,-35.5218,-5.36654
12/19/22,10:03:05 AM,98.02996,35.88274,-35.5213,-5.37048
12/19/22,10:03:10 AM,98.03954,35.88162,-35.52112,-5.37468
12/19/22,10:03:15 AM,98.05902,35.88084,-35.52096,-5.37832
