Date,Time,J1 (mV),J1 oversampled mean (mV),J1 oversampled mean,J1 oversampled min,J1 oversampled max,J1 oversampled sd,J2+ (mV),J3 (mV),J4+ (mV),J4+ oversampled mean (mV),J4+ oversampled mean,J4+ oversampled min,J4+ oversampled max,J4+ oversampled sd,J4- (mV),J4- oversampled mean (mV),J4- oversampled mean,J4- oversampled min,J4- oversampled max,J4- oversampled sd
4/7/23,12:50:00,72.09,72.5,2320,2307,2333,6.2,34,-36,32.19,32.16,1029,1028,1032,1.21,51.69,51.69,1654,1654,1656,0.79
4/7/23,12:50:30,72.28,72.53,2321,2309,2333,6.21,34.25,-36.25,32.19,32.16,1029,1027,1032,1.15,51.69,51.69,1654,1654,1656,0.83
4/7/23,12:51:00,72.41,72.5,2320,2308,2333,6.21,33.5,-36,32.16,32.16,1029,1027,1032,0.99,51.72,51.69,1654,1654,1656,0.88
4/7/23,12:51:30,72.37,72.56,2322,2307,2336,6.29,34.25,-36,32.16,32.16,1029,1027,1032,0.95,51.69,51.69,1654,1654,1656,0.81
4/7/23,12:52:00,72.69,72.59,2323,2309,2337,6.51,34,-36,32.13,32.16,1029,1027,1032,0.93,51.69,51.69,1654,1654,1656,0.88
4/7/23,12:52:30,72.69,72.59,2323,2311,2339,6.21,34.25,-36,32.13,32.16,1029,1027,1031,0.94,51.72,51.69,1654,1654,1656,0.86
4/7/23,12:53:00,72.72,72.62,2324,2313,2336,6.17,34.25,-36,32.13,32.16,1029,1027,1032,0.98,51.69,51.69,1654,1653,1656,0.87
4/7/23,12:53:30,72.44,72.62,2324,2311,2337,6.29,34.25,-36,32.16,32.16,1029,1027,1031,0.85,51.72,51.69,1654,1653,1656,0.86
4/7/23,12:54:00,72.53,72.62,2324,2312,2339,6.26,34.25,-36,32.13,32.13,1028,1026,1032,1.26,51.66,51.69,1654,1654,1656,0.89
4/7/23,12:54:30,72.5,72.62,2324,2310,2339,6.5,34,-36,32.13,32.13,1028,1027,1031,1.18,51.72,51.69,1654,1654,1656,0.87
4/7/23,12:55:00,72.78,72.69,2326,2313,2339,6.37,34,-36,32.13,32.13,1028,1026,1031,1.1,51.72,51.69,1654,1654,1656,0.89
4/7/23,12:55:30,72.37,72.69,2326,2314,2339,6.15,34,-36,32.13,32.13,1028,1026,1031,0.96,51.69,51.69,1654,1653,1656,0.89
4/7/23,12:56:00,72.75,72.69,2326,2312,2339,6.32,34.25,-36,32.16,32.13,1028,1026,1031,1.07,51.66,51.69,1654,1654,1656,0.92
4/7/23,12:56:30,72.37,72.75,2328,2315,2341,6.3,34.25,-36,32.13,32.13,1028,1026,1031,1.07,51.47,51.69,1654,1654,1656,0.85
4/7/23,12:57:00,72.72,72.72,2327,2317,2339,6.12,34,-36,32.13,32.13,1028,1027,1031,1.06,51.69,51.69,1654,1654,1656,0.95
4/7/23,12:57:30,72.87,72.75,2328,2315,2339,6.11,34,-36,32.13,32.13,1028,1026,1031,1.14,51.72,51.69,1654,1654,1656,0.92
4/7/23,12:58:00,72.81,72.75,2328,2316,2343,6.15,34,-36,32.06,32.13,1028,1027,1031,1.04,51.72,51.69,1654,1654,1656,0.97
4/7/23,12:58:30,72.47,72.78,2329,2315,2342,6.19,33.5,-36,32.16,32.13,1028,1026,1031,1.05,51.69,51.69,1654,1654,1656,0.91
4/7/23,12:59:00,72.84,72.72,2327,2315,2341,6.37,34,-36,32.16,32.13,1028,1026,1031,0.98,51.72,51.69,1654,1654,1656,0.93
4/7/23,12:59:30,73,72.78,2329,2316,2344,6.43,34,-36,32.09,32.13,1028,1025,1031,1,51.72,51.69,1654,1654,1656,0.98
4/7/23,13:00:00,72.72,72.78,2329,2316,2343,6.24,34.25,-36,32.13,32.13,1028,1026,1031,0.94,51.69,51.69,1654,1654,1656,1.03
4/7/23,13:00:30,72.62,72.78,2329,2319,2342,6.14,34.25,-36,32.09,32.13,1028,1026,1031,1.03,51.69,51.69,1654,1654,1656,0.94
4/7/23,13:01:00,72.94,72.81,2330,2318,2344,6.32,34.25,-36,32.09,32.13,1028,1026,1030,0.88,51.72,51.69,1654,1654,1656,0.98
4/7/23,13:01:30,72.62,72.81,2330,2316,2344,6.32,34,-36,32.09,32.13,1028,1026,1030,0.94,51.72,51.69,1654,1654,1656,0.96
4/7/23,13:02:00,72.5,72.84,2331,2319,2345,6.34,34.25,-36,32.13,32.13,1028,1026,1031,0.82,51.72,51.69,1654,1654,1656,0.98
4/7/23,13:02:30,72.69,72.84,2331,2317,2346,6.34,34.25,-36,32.16,32.13,1028,1026,1031,0.94,51.69,51.69,1654,1653,1656,0.93
4/7/23,13:03:00,72.78,72.87,2332,2320,2345,6.41,34.25,-36,32.06,32.13,1028,1026,1031,0.94,51.69,51.69,1654,1654,1656,1.01
4/7/23,13:03:30,73,72.84,2331,2317,2343,6.17,34.25,-36,32.09,32.13,1028,1025,1030,0.86,51.75,51.69,1654,1654,1656,0.99
4/7/23,13:04:00,72.91,72.84,2331,2318,2345,6.34,34.25,-36,32.13,32.13,1028,1026,1031,0.87,51.47,51.69,1654,1654,1656,1.02
4/7/23,13:04:30,72.72,72.84,2331,2319,2345,6.18,34.25,-36,32.09,32.13,1028,1026,1030,0.83,51.72,51.69,1654,1654,1656,1
4/7/23,13:05:00,72.91,72.94,2334,2321,2348,6.36,34.25,-36,32.13,32.13,1028,1025,1031,0.92,51.72,51.69,1654,1654,1656,0.94
4/7/23,13:05:30,72.94,72.87,2332,2320,2345,6.16,34.25,-36,32.09,32.09,1027,1026,1030,1.22,51.72,51.69,1654,1653,1656,0.96
4/7/23,13:06:00,72.56,72.87,2332,2320,2345,6.25,34,-36,32.03,32.09,1027,1026,1031,1.33,51.69,51.69,1654,1654,1656,1.05
4/7/23,13:06:30,72.91,72.91,2333,2321,2346,6.2,34.25,-36,32.09,32.09,1027,1025,1030,1.27,51.69,51.69,1654,1654,1656,0.99
4/7/23,13:07:00,73.03,72.94,2334,2322,2347,6.29,34.25,-36,32.06,32.09,1027,1024,1030,1.28,51.69,51.69,1654,1654,1656,1.03
4/7/23,13:07:30,73.19,72.91,2333,2319,2347,6.45,34.25,-36,32.06,32.09,1027,1026,1030,1.27,51.69,51.69,1654,1654,1656,1.04
4/7/23,13:08:00,73.03,72.91,2333,2321,2347,6.35,33.75,-36,32.13,32.09,1027,1025,1030,1.23,51.72,51.69,1654,1654,1656,1.04
4/7/23,13:08:30,72.75,72.87,2332,2321,2343,6.12,34.25,-36,32.13,32.09,1027,1025,1031,1.23,51.72,51.69,1654,1654,1656,0.96
4/7/23,13:09:00,73,72.91,2333,2322,2345,6.28,34.25,-36,32.09,32.09,1027,1025,1030,1.18,51.69,51.69,1654,1654,1656,1.05
4/7/23,13:09:30,72.94,72.94,2334,2319,2347,6.45,34.25,-36,32.09,32.09,1027,1026,1030,1.2,51.72,51.69,1654,1654,1656,1.05
4/7/23,13:10:00,72.94,72.94,2334,2322,2348,6.36,34.25,-36,32.09,32.09,1027,1025,1030,1.16,51.69,51.69,1654,1654,1656,1.11
4/7/23,13:10:30,72.78,72.91,2333,2320,2348,6.27,34.25,-36,32.13,32.09,1027,1025,1030,1.05,51.69,51.69,1654,1654,1656,1.07
4/7/23,13:11:00,72.94,72.97,2335,2323,2350,6.35,34,-36,32.13,32.09,1027,1026,1030,1.06,51.72,51.69,1654,1654,1656,1.04
4/7/23,13:11:30,73.25,72.91,2333,2321,2347,6.28,34.25,-36,32.09,32.09,1027,1025,1030,1,51.44,51.69,1654,1654,1656,1.11
4/7/23,13:12:00,72.91,72.94,2334,2321,2346,6.04,34.25,-36,32.09,32.09,1027,1025,1030,1.08,51.69,51.69,1654,1654,1656,1.04
4/7/23,13:12:30,72.72,72.94,2334,2323,2345,6.14,34.25,-36,32.09,32.09,1027,1025,1030,0.98,51.72,51.69,1654,1654,1656,1.05
