Date,Time,J1 (mV),J1 oversampled mean (mV),J1 oversampled mean,J1 oversampled min,J1 oversampled max,J1 oversampled sd,J2+ (mV),J3 (mV),J4+ (mV),J4+ oversampled mean (mV),J4+ oversampled mean,J4+ oversampled min,J4+ oversampled max,J4+ oversampled sd,J4- (mV),J4- oversampled mean (mV),J4- oversampled mean,J4- oversampled min,J4- oversampled max,J4- oversampled sd
4/9/23,13:25:19,122.47,122.47,3919,3914,3926,2.42,34.25,-36.25,88.41,88.84,2843,2841,2846,1.25,51.88,51.84,1659,1658,1661,0.73
4/9/23,13:25:49,122.75,122.84,3931,3927,3937,1.95,34.25,-36.25,88.47,88.87,2844,2841,2847,1.44,51.88,51.84,1659,1658,1661,0.67
4/9/23,13:26:19,123.09,123.12,3940,3934,3947,2.34,34.25,-36.25,88.5,88.94,2846,2844,2849,1.03,51.84,51.84,1659,1658,1661,0.62
4/9/23,13:26:49,123.28,123.44,3950,3944,3958,2.68,34.25,-36.25,88.62,88.97,2847,2844,2850,1.17,51.84,51.84,1659,1657,1660,0.62
4/9/23,13:27:19,123.62,123.69,3958,3953,3964,2.3,34.25,-36.25,88.59,89,2848,2845,2851,1.22,51.81,51.81,1658,1657,1660,1.08
4/9/23,13:27:49,124,123.97,3967,3961,3973,2.39,34.25,-36.25,88.69,89.03,2849,2846,2852,1.2,51.69,51.81,1658,1657,1660,1.02
4/9/23,13:28:19,124.28,124.19,3974,3970,3981,2.37,34.25,-36.25,88.69,89.06,2850,2847,2853,1.32,51.84,51.81,1658,1657,1660,1
4/9/23,13:28:49,124.44,124.44,3982,3979,3988,1.96,34.25,-36.25,88.69,89.09,2851,2848,2854,1.21,51.78,51.81,1658,1657,1660,0.92
4/9/23,13:29:19,124.56,124.62,3988,3982,3997,3.02,34.25,-36.25,88.66,89.09,2851,2848,2855,1.12,51.84,51.81,1658,1657,1660,0.84
4/9/23,13:29:49,124.62,124.75,3992,3988,3996,1.78,33.75,-36.25,88.5,89.03,2849,2845,2852,1.2,51.84,51.81,1658,1656,1660,0.85
