Date,Time,J1 (mV),J1 oversampled mean (mV),J1 oversampled mean,J1 oversampled min,J1 oversampled max,J1 oversampled sd,J2+ (mV),J3 (mV),J4+ (mV),J4+ oversampled mean (mV),J4+ oversampled mean,J4+ oversampled min,J4+ oversampled max,J4+ oversampled sd,J4- (mV),J4- oversampled mean (mV),J4- oversampled mean,J4- oversampled min,J4- oversampled max,J4- oversampled sd
4/8/23,14:30:00,72.72,72.59,2323,2316,2333,4.2,34.5,-36.25,32.41,32.44,1038,1036,1041,1.06,52.03,52.06,1666,1665,1668,0.61
4/8/23,14:30:30,72.66,72.62,2324,2314,2333,4.29,34,-36.25,32.41,32.44,1038,1036,1041,1.11,52.06,52.06,1666,1665,1668,0.54
4/8/23,14:31:00,72.53,72.59,2323,2315,2332,3.99,34.5,-36.25,32.41,32.44,1038,1036,1041,1.3,52.06,52.06,1666,1665,1667,0.52
4/8/23,14:31:30,72.62,72.59,2323,2316,2333,4.06,34.5,-36.25,32.47,32.47,1039,1037,1042,0.86,52.06,52.06,1666,1665,1667,0.55
4/8/23,14:32:00,72.56,72.59,2323,2313,2336,4.46,34.5,-36.25,32.47,32.47,1039,1037,1042,0.89,52.06,52.06,1666,1665,1667,0.52
4/8/23,14:32:30,72.62,72.62,2324,2313,2335,4.45,34,-36.25,32.47,32.47,1039,1036,1041,0.91,52.06,52.06,1666,1665,1667,0.6
4/8/23,14:33:00,72.78,72.59,2323,2314,2333,4.17,34.5,-36.25,32.47,32.47,1039,1036,1042,0.92,52.06,52.06,1666,1665,1667,0.52
4/8/23,14:33:30,72.78,72.62,2324,2313,2334,4.53,34,-36.25,32.47,32.47,1039,1037,1042,0.97,52.06,52.06,1666,1665,1667,0.56
4/8/23,14:34:00,72.78,72.62,2324,2315,2333,4.15,34.25,-36.25,32.47,32.47,1039,1036,1042,1.1,51.94,52.06,1666,1665,1667,0.49
4/8/23,14:34:30,72.75,72.66,2325,2317,2336,4.27,34.5,-36.25,32.53,32.47,1039,1037,1042,1.12,52.06,52.06,1666,1665,1668,0.54
4/8/23,14:35:00,72.62,72.62,2324,2315,2335,4.32,34.5,-36.25,32.53,32.47,1039,1037,1042,1.16,52.09,52.06,1666,1665,1668,0.57
4/8/23,14:35:30,72.41,72.59,2323,2314,2334,4.58,34.5,-36.25,32.47,32.47,1039,1037,1043,1.26,52.06,52.06,1666,1665,1667,0.54
4/8/23,14:36:00,72.87,72.59,2323,2315,2333,4.16,34.5,-36.25,32.31,32.47,1039,1037,1043,1.15,52.06,52.06,1666,1665,1667,0.53
4/8/23,14:36:30,72.56,72.66,2325,2314,2334,4.29,34.25,-36.25,32.47,32.47,1039,1037,1043,1.1,52.06,52.06,1666,1665,1668,0.52
4/8/23,14:37:00,72.69,72.66,2325,2317,2336,4.18,34.5,-36.25,32.5,32.47,1039,1037,1042,1.04,52.06,52.06,1666,1665,1667,0.53
4/8/23,14:37:30,72.53,72.66,2325,2315,2336,4.21,34.5,-36.25,32.47,32.47,1039,1037,1042,1,52.06,52.06,1666,1665,1667,0.5
4/8/23,14:38:00,72.81,72.66,2325,2316,2335,4.27,34.25,-36.25,32.44,32.47,1039,1037,1042,0.97,52.06,52.06,1666,1665,1667,0.58
4/8/23,14:38:30,72.5,72.62,2324,2314,2336,4.41,34.25,-36.25,32.47,32.44,1038,1036,1041,1.43,52.03,52.06,1666,1665,1667,0.5
4/8/23,14:39:00,72.62,72.59,2323,2315,2332,4.12,34.5,-36.25,32.47,32.44,1038,1036,1041,1.23,52.06,52.06,1666,1665,1667,0.51
4/8/23,14:39:30,72.72,72.59,2323,2311,2335,4.36,34.5,-36.25,32.38,32.44,1038,1036,1041,1.14,52.09,52.06,1666,1665,1667,0.48
4/8/23,14:40:00,72.56,72.59,2323,2314,2333,4.49,34.5,-36.25,32.41,32.44,1038,1035,1041,0.94,52.06,52.06,1666,1664,1667,0.53
4/8/23,14:40:30,72.69,72.59,2323,2312,2333,4.53,34.5,-36.25,32.47,32.44,1038,1036,1041,0.94,52.09,52.06,1666,1665,1667,0.51
4/8/23,14:41:00,72.69,72.59,2323,2315,2333,4.02,34.5,-36.25,32.41,32.41,1037,1035,1040,1.21,52.06,52.06,1666,1665,1667,0.52
4/8/23,14:41:30,72.78,72.56,2322,2315,2331,4.06,34.25,-36.25,32.41,32.41,1037,1035,1040,1.01,51.94,52.06,1666,1665,1668,0.55
4/8/23,14:42:00,72.5,72.59,2323,2312,2334,4.54,34.5,-36.25,32.41,32.41,1037,1034,1039,1.03,52.06,52.06,1666,1665,1667,0.48
4/8/23,14:42:30,72.47,72.56,2322,2314,2332,4.15,34.5,-36.25,32.38,32.38,1036,1034,1040,1.37,52.06,52.06,1666,1665,1667,0.48
4/8/23,14:43:00,72.37,72.53,2321,2309,2332,4.88,34.5,-36.25,32.38,32.38,1036,1034,1040,1.27,52.09,52.06,1666,1665,1667,0.47
4/8/23,14:43:30,72.47,72.56,2322,2310,2332,4.55,34.5,-36.25,32.19,32.38,1036,1034,1039,1.42,52.06,52.06,1666,1665,1667,0.5
4/8/23,14:44:00,72.75,72.59,2323,2314,2333,4.25,34.5,-36.25,32.34,32.41,1037,1034,1039,0.89,52.06,52.06,1666,1665,1668,0.54
4/8/23,14:44:30,72.5,72.56,2322,2311,2332,4.3,34.5,-36.25,32.44,32.41,1037,1034,1040,1.04,52.06,52.06,1666,1665,1667,0.57
4/8/23,14:45:00,72.47,72.53,2321,2313,2333,4.21,34.5,-36.25,32.38,32.41,1037,1034,1040,1.02,52.09,52.06,1666,1664,1667,0.54
4/8/23,14:45:30,72.75,72.62,2324,2316,2333,4.19,34,-36.25,32.38,32.41,1037,1035,1040,0.98,52.06,52.06,1666,1665,1667,0.51
4/8/23,14:46:00,72.62,72.59,2323,2315,2333,4.22,34.5,-36.25,32.41,32.41,1037,1035,1039,0.95,52.09,52.06,1666,1665,1667,0.5
4/8/23,14:46:30,72.72,72.59,2323,2313,2333,4.47,34.5,-36.25,32.41,32.41,1037,1035,1039,1.03,52.06,52.06,1666,1665,1668,0.47
4/8/23,14:47:00,72.72,72.62,2324,2317,2333,4.12,34.25,-36.25,32.41,32.41,1037,1035,1040,1.09,52.09,52.06,1666,1665,1667,0.51
4/8/23,14:47:30,72.5,72.59,2323,2314,2333,4.23,34.5,-36.25,32.38,32.41,1037,1034,1040,1.11,52.06,52.06,1666,1665,1668,0.5
4/8/23,14:48:00,72.59,72.59,2323,2313,2332,4.14,34.5,-36.25,32.47,32.41,1037,1035,1040,1.13,52.06,52.06,1666,1665,1668,0.54
4/8/23,14:48:30,72.75,72.62,2324,2314,2334,4.5,34.5,-36.25,32.41,32.41,1037,1036,1041,1.15,52.06,52.06,1666,1665,1667,0.53
4/8/23,14:49:00,72.47,72.59,2323,2313,2335,4.4,34.5,-36.25,32.38,32.41,1037,1035,1040,1.21,51.94,52.06,1666,1665,1667,0.53
4/8/23,14:49:30,72.66,72.59,2323,2313,2333,4.32,34.5,-36.25,32.44,32.41,1037,1035,1040,1.27,52.09,52.06,1666,1665,1667,0.58
4/8/23,14:50:00,72.59,72.59,2323,2314,2333,4.25,34.5,-36.25,32.41,32.41,1037,1036,1041,1.33,52.06,52.06,1666,1664,1667,0.54
