Date,Time,J1 (mV),J1 oversampled mean (mV),J1 oversampled mean,J1 oversampled min,J1 oversampled max,J1 oversampled sd,J2+ (mV),J3 (mV),J4+ (mV),J4+ oversampled mean (mV),J4+ oversampled mean,J4+ oversampled min,J4+ oversampled max,J4+ oversampled sd,J4- (mV),J4- oversampled mean (mV),J4- oversampled mean,J4- oversampled min,J4- oversampled max,J4- oversampled sd
4/9/23,14:40:19,103.5,103.44,3310,3302,3318,2.85,34.25,-36,96.56,97.09,3107,3104,3110,1.19,51.81,51.78,1657,1655,1659,0.83
4/9/23,14:40:49,103.53,103.53,3313,3307,3319,2.39,34.25,-36,96.62,97.12,3108,3106,3111,1.02,51.81,51.78,1657,1656,1659,0.62
4/9/23,14:41:19,103.53,103.59,3315,3309,3321,2.47,34.25,-36,96.66,97.12,3108,3107,3111,1.24,51.78,51.78,1657,1656,1659,0.57
4/9/23,14:41:49,103.69,103.69,3318,3311,3324,2.43,34.25,-36.25,96.62,97.16,3109,3107,3112,1,51.78,51.78,1657,1655,1658,0.53
4/9/23,14:42:19,103.69,103.72,3319,3313,3325,2.2,34.25,-36,96.62,97.16,3109,3107,3112,1.09,51.75,51.75,1656,1655,1658,0.99
4/9/23,14:42:49,103.69,103.78,3321,3317,3326,1.91,34,-36,96.69,97.16,3109,3106,3112,1.03,51.78,51.75,1656,1655,1658,0.92
4/9/23,14:43:19,103.87,103.81,3322,3318,3328,2.03,34.25,-36,96.69,97.16,3109,3107,3112,1.05,51.78,51.75,1656,1654,1658,0.78
4/9/23,14:43:49,103.75,103.84,3323,3319,3327,2,34.25,-36,96.62,97.16,3109,3106,3112,1.15,51.75,51.75,1656,1654,1658,0.78
4/9/23,14:44:19,103.81,103.84,3323,3318,3330,2.2,34.25,-36,96.59,97.16,3109,3105,3112,1.18,51.75,51.75,1656,1654,1658,0.64
4/9/23,14:44:49,104,103.87,3324,3318,3330,1.98,34,-36,96.59,97.16,3109,3105,3112,1.06,51.75,51.75,1656,1655,1657,0.61
4/9/23,14:45:19,103.84,103.91,3325,3319,3331,2.29,33.75,-36,96.34,97.16,3109,3107,3112,1.12,51.75,51.72,1655,1654,1657,1.1
4/9/23,14:45:49,103.97,103.91,3325,3322,3329,1.63,34.25,-36,96.75,97.16,3109,3107,3112,1.02,51.75,51.72,1655,1654,1657,1.02
4/9/23,14:46:19,104,103.91,3325,3320,3332,1.92,34,-36,96.66,97.16,3109,3107,3112,1.05,51.72,51.72,1655,1655,1658,1.03
4/9/23,14:46:49,104.03,103.91,3325,3319,3331,2.66,34,-36,96.66,97.16,3109,3107,3112,1.02,51.75,51.72,1655,1654,1657,0.9
4/9/23,14:47:19,103.97,103.94,3326,3320,3331,2.4,34,-36,96.66,97.16,3109,3106,3112,1.06,51.72,51.72,1655,1654,1657,0.81
4/9/23,14:47:49,103.87,103.91,3325,3321,3331,2.05,34.25,-36,96.66,97.16,3109,3106,3112,0.95,51.75,51.72,1655,1654,1657,0.79
4/9/23,14:48:19,103.87,103.91,3325,3321,3332,2.63,34,-36,96.66,97.16,3109,3106,3112,1.02,51.75,51.72,1655,1654,1657,0.76
4/9/23,14:48:49,103.91,103.91,3325,3320,3330,2,34,-36,96.59,97.16,3109,3107,3112,0.95,51.72,51.72,1655,1654,1657,0.69
4/9/23,14:49:19,103.94,103.91,3325,3320,3330,2.05,34,-36,96.62,97.16,3109,3107,3112,0.99,51.69,51.72,1655,1654,1656,0.64
4/9/23,14:49:49,104.03,103.94,3326,3321,3332,2.22,34,-36,96.66,97.16,3109,3106,3112,1.06,51.72,51.72,1655,1653,1656,0.66
4/9/23,14:50:19,103.94,103.91,3325,3321,3330,1.96,34.25,-36,96.62,97.16,3109,3106,3112,1.07,51.69,51.72,1655,1654,1657,0.59
4/9/23,14:50:49,103.72,103.94,3326,3320,3332,2.36,34,-36,96.16,97.16,3109,3106,3112,1.18,51.72,51.72,1655,1654,1657,0.66
4/9/23,14:51:19,103.94,103.94,3326,3321,3332,2.05,34.25,-36,96.69,97.16,3109,3106,3112,1.08,51.72,51.69,1654,1652,1657,1.18
4/9/23,14:51:49,103.84,103.94,3326,3322,3332,1.78,34,-36,96.66,97.16,3109,3106,3113,1.08,51.75,51.72,1655,1654,1656,0.58
