Date,Time,J1 (mV),J1 oversampled mean (mV),J1 oversampled mean,J1 oversampled min,J1 oversampled max,J1 oversampled sd,J2+ (mV),J3 (mV),J4+ (mV),J4+ oversampled mean (mV),J4+ oversampled mean,J4+ oversampled min,J4+ oversampled max,J4+ oversampled sd,J4- (mV),J4- oversampled mean (mV),J4- oversampled mean,J4- oversampled min,J4- oversampled max,J4- oversampled sd
4/12/23,17:18:00,55.19,55.31,1770,1759,1780,5.44,34,-36,31.66,31.69,1014,1012,1017,1.05,51.56,51.53,1649,1649,1651,0.92
4/12/23,17:18:15,55.28,55.28,1769,1759,1782,5.62,34,-36,31.66,31.69,1014,1013,1017,1.02,51.31,51.56,1650,1648,1652,0.68
4/12/23,17:18:30,55.31,55.25,1768,1755,1780,5.83,34,-36,31.69,31.69,1014,1011,1017,1.02,51.56,51.53,1649,1648,1651,0.92
4/12/23,17:18:45,55.06,55.25,1768,1756,1781,5.82,34,-36,31.66,31.69,1014,1011,1017,1.05,51.53,51.56,1650,1648,1652,0.85
4/12/23,17:19:00,55.09,55.16,1765,1753,1776,5.67,34,-36,31.66,31.69,1014,1012,1018,0.97,51.56,51.53,1649,1649,1651,0.93
4/12/23,17:19:15,55.53,55.13,1764,1754,1776,5.56,33.5,-36,31.66,31.69,1014,1012,1017,1.02,51.56,51.56,1650,1648,1652,0.73
4/12/23,17:19:30,55.06,55.06,1762,1752,1775,5.8,34,-36,31.69,31.69,1014,1012,1018,0.93,51.56,51.53,1649,1648,1651,0.89
4/12/23,17:19:45,55.03,55.06,1762,1751,1774,5.7,34,-36,31.69,31.69,1014,1012,1017,0.92,51.56,51.56,1650,1647,1652,0.79
4/12/23,17:20:00,54.69,55.03,1761,1748,1775,5.85,34,-36,31.66,31.69,1014,1012,1017,0.9,51.53,51.53,1649,1648,1651,0.9
4/12/23,17:20:15,54.94,54.97,1759,1747,1774,6.1,34,-36,31.66,31.69,1014,1011,1016,0.94,51.5,51.56,1650,1647,1652,0.92
4/12/23,17:20:30,55.25,55,1760,1748,1772,5.85,34,-36,31.66,31.66,1013,1012,1016,1.35,51.56,51.53,1649,1648,1651,0.88
4/12/23,17:20:45,55.44,55,1760,1749,1771,5.78,34,-36,31.62,31.69,1014,1012,1016,0.87,51.59,51.53,1649,1648,1651,1.13
4/12/23,17:21:00,55.16,55,1760,1748,1772,5.67,34,-36,31.66,31.66,1013,1012,1016,1.27,51.56,51.53,1649,1648,1651,0.88
4/12/23,17:21:15,55.13,54.97,1759,1747,1771,5.8,34.25,-36,31.66,31.69,1014,1012,1016,0.86,51.56,51.53,1649,1648,1651,1.07
4/12/23,17:21:30,54.78,54.97,1759,1747,1770,5.81,34,-36,31.62,31.66,1013,1012,1017,1.3,51.56,51.53,1649,1648,1651,0.88
4/12/23,17:21:45,55.13,54.97,1759,1749,1772,5.89,34,-36,31.72,31.66,1013,1011,1016,1.22,51.56,51.53,1649,1649,1651,0.94
4/12/23,17:22:00,54.97,54.97,1759,1748,1770,5.62,34,-36,31.69,31.66,1013,1011,1017,1.22,51.31,51.53,1649,1649,1651,0.9
4/12/23,17:22:15,54.75,54.97,1759,1746,1772,5.75,34,-36,31.62,31.66,1013,1012,1016,1.26,51.59,51.56,1650,1649,1652,0.69
4/12/23,17:22:30,54.97,54.94,1758,1747,1770,5.8,34,-36,31.62,31.66,1013,1011,1016,1.13,51.56,51.53,1649,1649,1651,0.96
