Date,Time,J1 (mV),J1 oversampled mean (mV),J1 oversampled mean,J1 oversampled min,J1 oversampled max,J1 oversampled sd,J2+ (mV),J3 (mV),J4+ (mV),J4+ oversampled mean (mV),J4+ oversampled mean,J4+ oversampled min,J4+ oversampled max,J4+ oversampled sd,J4- (mV),J4- oversampled mean (mV),J4- oversampled mean,J4- oversampled min,J4- oversampled max,J4- oversampled sd
4/12/23,11:20:00,100.06,100.03,3201,3196,3206,2.13,34,-36,48.34,48.47,1551,1549,1554,1.04,51.47,51.47,1647,1647,1649,0.97
4/12/23,11:20:15,100.19,100.19,3206,3201,3213,2.26,33.75,-36,48.63,48.75,1560,1559,1563,1.31,51.5,51.47,1647,1647,1649,0.83
4/12/23,11:20:30,100.34,100.37,3212,3206,3220,2.53,34,-36,48.97,49.09,1571,1569,1576,1.16,51.47,51.47,1647,1646,1649,0.81
4/12/23,11:20:45,100.59,100.56,3218,3210,3226,2.73,34,-36,49.34,49.44,1582,1580,1586,1.4,51.25,51.47,1647,1646,1649,0.72
4/12/23,11:21:00,100.75,100.75,3224,3218,3230,2.52,34,-36,49.69,49.84,1595,1592,1597,1.08,51.47,51.47,1647,1647,1649,0.67
4/12/23,11:21:15,100.94,100.91,3229,3224,3237,2.36,34,-36,50.06,50.22,1607,1605,1610,1.03,51.5,51.47,1647,1646,1649,0.53
4/12/23,11:21:30,101.22,101.09,3235,3227,3242,1.83,34,-36,50.47,50.59,1619,1616,1621,1.1,51.44,51.47,1647,1646,1648,0.55
4/12/23,11:21:45,101.19,101.22,3239,3233,3246,2.04,33.25,-36,50.78,50.97,1631,1628,1634,1.19,51.47,51.47,1647,1646,1648,0.42
4/12/23,11:22:00,101.37,101.31,3242,3236,3249,2.67,34,-36,51.22,51.34,1643,1640,1646,1.24,51.47,51.44,1646,1646,1648,1.09
4/12/23,11:22:15,101.5,101.44,3246,3243,3252,2.23,34,-36,51.63,51.72,1655,1653,1658,1.03,51.44,51.44,1646,1646,1649,0.87
4/12/23,11:22:30,101.66,101.59,3251,3245,3258,2.79,34,-36,51.94,52.06,1666,1664,1670,1.39,51.47,51.44,1646,1646,1648,0.86
4/12/23,11:22:45,101.75,101.69,3254,3250,3260,2.23,34,-36,52.28,52.44,1678,1676,1682,1.27,51.47,51.44,1646,1645,1648,0.91
4/12/23,11:23:00,101.94,101.81,3258,3252,3266,2.45,34,-36,52.66,52.81,1690,1688,1692,1,51.44,51.44,1646,1645,1647,0.75
4/12/23,11:23:15,101.91,101.91,3261,3254,3267,2.52,34,-36,53.03,53.16,1701,1699,1705,1.1,51.47,51.44,1646,1645,1647,0.54
4/12/23,11:23:30,102,102.06,3266,3260,3272,2.19,34,-36,52.94,53.5,1712,1710,1717,1.38,51.44,51.44,1646,1645,1647,0.6
