Date,Time,J1 (mV),J1 oversampled mean 256 (mV),J1 oversampled mean 256,J1 oversampled sd 256,J1 oversampled mean 64 (mV), J1 oversampled mean 64,J1 oversampled sd 64, J4+ (mV),J4+ oversampled mean 256 (mV),J4+ oversampled mean 256,J4+ oversampled sd 256,J4+ oversampled mean 64 (mV), J4+ oversampled mean 64,J4+ oversampled sd 64
4/9/2023,17:39:47,119.37,119.28,3817,4.26,119.28,3817,4.36,64.56,64.75,2072,1.32,64.75,2072,1.22
4/9/2023,17:39:57,119.37,119.25,3816,3,119.25,3816,3.69,64.53,64.78,2073,1.06,64.75,2072,1.49
4/9/2023,17:40:07,119.25,119.22,3815,5.57,119.22,3815,5.02,64.5,64.69,2070,1.24,64.66,2069,1.56
4/9/2023,17:40:17,119,119.19,3814,5.54,119.19,3814,6.16,64.41,64.56,2066,1.55,64.56,2066,1.49
4/9/2023,17:40:27,119.12,119.16,3813,4.2,119.16,3813,4.64,64.22,64.47,2063,1.32,64.47,2063,1.22
4/9/2023,17:40:37,119.31,119.16,3813,3.66,119.16,3813,3.5,64.19,64.37,2060,1.31,64.37,2060,1.1
4/9/2023,17:40:47,119.19,119.12,3812,3.63,119.09,3811,3.52,63.91,64.28,2057,1.12,64.25,2056,1.3
4/9/2023,17:40:57,118.84,119.06,3810,3.93,119.06,3810,3.53,63.97,64.19,2054,1.16,64.16,2053,1.29
4/9/2023,17:41:07,118.94,119.03,3809,3.61,119.03,3809,4.11,63.88,64.06,2050,1.43,64.06,2050,1.25
4/9/2023,17:41:17,119,119,3808,4.03,118.97,3807,4.14,63.84,63.97,2047,1.4,63.97,2047,1.28
4/9/2023,17:41:27,118.87,118.97,3807,4,118.97,3807,4.46,63.69,63.88,2044,1.32,63.88,2044,1.31
4/9/2023,17:41:37,119.03,118.97,3807,4.47,118.94,3806,4.65,63.56,63.78,2041,1.29,63.75,2040,1.51
4/9/2023,17:41:47,118.94,118.91,3805,4.01,118.91,3805,3.13,63.56,63.69,2038,1.11,63.66,2037,1.51
4/9/2023,17:41:57,118.72,118.87,3804,4,118.84,3803,3.48,63.38,63.59,2035,1.22,63.56,2034,1.7
4/9/2023,17:42:07,118.87,118.84,3803,6.94,118.81,3802,6.6,63.28,63.5,2032,1.34,63.47,2031,1.63
4/9/2023,17:42:17,118.75,118.78,3801,6.91,118.78,3801,6.65,63.28,63.41,2029,1.34,63.38,2028,1.82
4/9/2023,17:42:27,118.59,118.78,3801,6.91,118.78,3801,6.69,63.03,63.31,2026,1.3,63.28,2025,1.37
4/9/2023,17:42:37,119,118.75,3800,6.61,118.72,3799,6.66,63.09,63.22,2023,1.46,63.22,2023,1.4
4/9/2023,17:42:47,118.56,118.72,3799,5.66,118.72,3799,4.31,62.91,63.13,2020,1.03,63.09,2019,1.36
4/9/2023,17:42:57,118.69,118.72,3799,2.59,118.69,3798,4.22,62.84,63.03,2017,1.15,63,2016,1.54
4/9/2023,17:43:07,118.69,118.66,3797,3.2,118.66,3797,4.04,62.53,62.94,2014,1.02,62.91,2013,1.4
4/9/2023,17:43:17,118.78,118.62,3796,2.86,118.62,3796,3.49,62.59,62.84,2011,1.31,62.81,2010,1.82
4/9/2023,17:43:27,118.31,118.47,3791,3.48,118.47,3791,2.98,62.5,62.66,2005,1.05,62.63,2004,1.26
4/9/2023,17:43:37,117.94,118.47,3791,14.45,118.47,3791,14.67,62.41,62.56,2002,2.02,62.56,2002,2.35
4/9/2023,17:43:47,118.91,118.44,3790,15.09,118.47,3791,14.94,62.34,62.53,2001,1.98,62.53,2001,2.12
4/9/2023,17:43:57,118.34,118.44,3790,6.53,118.44,3790,6.12,62.31,62.5,2000,1.33,62.5,2000,1.49
4/9/2023,17:44:07,118.62,118.47,3791,8.21,118.41,3789,3.68,62.22,62.44,1998,1.42,62.44,1998,1.24
4/9/2023,17:44:17,118.5,118.37,3788,3.73,118.37,3788,3.34,62.16,62.28,1993,1.26,62.25,1992,1.42
4/9/2023,17:44:27,118.31,118.34,3787,3.81,118.34,3787,4.84,62.06,62.19,1990,1.02,62.19,1990,1.09
4/9/2023,17:44:37,118.41,118.34,3787,3.69,118.34,3787,3.84,61.72,62.09,1987,1.45,62.09,1987,1.39
4/9/2023,17:44:47,118.19,118.34,3787,3.62,118.34,3787,3.55,61.94,62.06,1986,1.09,62.06,1986,1.22
4/9/2023,17:44:57,118.44,118.34,3787,3.62,118.34,3787,3.92,61.81,62,1984,1.5,62,1984,1.53
4/9/2023,17:45:07,118.28,118.37,3788,3.71,118.34,3787,4.06,61.84,61.97,1983,1.12,61.97,1983,1.29
4/9/2023,17:45:17,118.34,118.37,3788,3.65,118.34,3787,4.1,61.75,61.91,1981,1.52,61.91,1981,1.61
4/9/2023,17:45:27,118.59,118.34,3787,3.76,118.34,3787,4.2,61.47,61.84,1979,1.33,61.84,1979,1.41
4/9/2023,17:45:37,118.16,118.34,3787,3.32,118.31,3786,4.86,61.66,61.78,1977,1.28,61.78,1977,1.27
4/9/2023,17:45:47,118.31,118.31,3786,3.67,118.28,3785,3.71,61.53,61.69,1974,1.42,61.69,1974,1.44
4/9/2023,17:45:57,118.28,118.25,3784,3.72,118.25,3784,3.81,61.47,61.63,1972,1.17,61.59,1971,1.39
4/9/2023,17:46:07,117.97,118.19,3782,3.83,118.19,3782,3.54,61.34,61.5,1968,1.4,61.5,1968,1.26
4/9/2023,17:46:17,118.19,118.12,3780,3.94,118.12,3780,3.74,61.25,61.41,1965,1.25,61.41,1965,1.43
4/9/2023,17:46:27,117.97,118.06,3778,4.02,118.06,3778,4.89,61.16,61.31,1962,1.1,61.28,1961,1.21
4/9/2023,17:46:37,117.97,118.03,3777,3.75,118.03,3777,3.45,61.09,61.19,1958,1.29,61.19,1958,1.26
4/9/2023,17:46:47,118.06,118,3776,3.83,118.03,3777,3.99,60.97,61.09,1955,1.06,61.06,1954,1.54
4/9/2023,17:46:57,117.91,117.94,3774,3.7,117.94,3774,3.54,60.63,61,1952,1.13,60.97,1951,1.21
4/9/2023,17:47:07,118.09,117.91,3773,3.29,117.87,3772,4.14,60.75,60.88,1948,1.28,60.88,1948,1.13
4/9/2023,17:47:17,117.66,117.84,3771,3.99,117.84,3771,3.45,60.66,60.78,1945,1.22,60.75,1944,1.63
4/9/2023,17:47:27,117.78,117.81,3770,4.19,117.81,3770,4.17,60.53,60.69,1942,1.07,60.66,1941,1.44
4/9/2023,17:47:37,117.91,117.78,3769,4.28,117.78,3769,3.8,60.41,60.56,1938,1.56,60.56,1938,1.19
4/9/2023,17:47:47,117.62,117.72,3767,3.82,117.72,3767,3.92,60.22,60.47,1935,1.37,60.47,1935,1.16
4/9/2023,17:47:57,117.78,117.72,3767,3.87,117.69,3766,4.44,60.19,60.38,1932,1.31,60.38,1932,1.23
4/9/2023,17:48:07,117.66,117.66,3765,4.03,117.66,3765,3.5,60.16,60.28,1929,1.14,60.28,1929,1.19
4/9/2023,17:48:17,117.37,117.59,3763,4.14,117.59,3763,3.92,60.03,60.19,1926,1.17,60.16,1925,1.62
4/9/2023,17:48:27,117.78,117.59,3763,4.08,117.59,3763,3.56,59.94,60.09,1923,1.05,60.06,1922,1.54
4/9/2023,17:48:37,117.56,117.56,3762,4.03,117.56,3762,3.68,59.88,60,1920,1.14,59.97,1919,1.61
4/9/2023,17:48:47,117.47,117.53,3761,5.63,117.53,3761,10.37,59.78,59.91,1917,0.94,59.88,1916,1.4
4/9/2023,17:48:57,117.37,117.5,3760,1.99,117.5,3760,1.86,59.69,59.81,1914,0.98,59.78,1913,1.47
4/9/2023,17:49:07,117.37,117.47,3759,2.35,117.47,3759,1.46,59.53,59.72,1911,0.92,59.69,1910,1.27
4/9/2023,17:49:17,117.44,117.41,3757,2.54,117.41,3757,2.12,59.19,59.63,1908,0.9,59.59,1907,1.26
4/9/2023,17:49:27,117.22,117.37,3756,2.5,117.41,3757,2.05,59.34,59.53,1905,0.99,59.5,1904,1.27
4/9/2023,17:49:37,117.5,117.34,3755,2.49,117.34,3755,2.5,59.25,59.44,1902,1.02,59.41,1901,1.54
4/9/2023,17:49:47,117.37,117.31,3754,2.94,117.31,3754,1.92,59.16,59.34,1899,1.01,59.31,1898,1.19
4/9/2023,17:49:57,117.28,117.25,3752,2.17,117.25,3752,2.08,59.16,59.25,1896,1.05,59.22,1895,1.25
4/9/2023,17:50:07,117.16,117.22,3751,2.39,117.22,3751,1.83,58.81,59.16,1893,0.96,59.13,1892,1.36
4/9/2023,17:50:17,117.12,117.22,3751,3.17,117.22,3751,1.9,58.91,59.06,1890,1.15,59.03,1889,1.43
4/9/2023,17:50:27,117.22,117.19,3750,3,117.19,3750,2.94,58.78,58.97,1887,1.06,58.97,1887,1.04
