Date,Time,J1 (mV),J1 oversampled mean (mV),J1 oversampled mean,J1 oversampled min,J1 oversampled max,J1 oversampled sd,J2+ (mV),J3 (mV),J4+ (mV),J4+ oversampled mean (mV),J4+ oversampled mean,J4+ oversampled min,J4+ oversampled max,J4+ oversampled sd,J4- (mV),J4- oversampled mean (mV),J4- oversampled mean,J4- oversampled min,J4- oversampled max,J4- oversampled sd
4/7/23,11:00:00,103.81,103.81,3322,3313,3330,3.1,34.25,-36.25,41.72,41.56,1330,1324,1338,3.67,51.66,51.66,1653,1652,1654,0.48
4/7/23,11:00:30,104.44,104.19,3334,3317,3352,8.3,34.25,-36.25,39.09,39.03,1249,1243,1254,2.35,51.66,51.66,1653,1652,1654,0.49
4/7/23,11:01:00,104.53,104.69,3350,3333,3367,8.62,34,-36.25,38.41,38.44,1230,1228,1234,1.2,51.63,51.66,1653,1652,1654,0.51
4/7/23,11:01:30,104.81,104.91,3357,3340,3374,8.34,34.25,-36.25,38.13,38.16,1221,1219,1225,1.37,51.66,51.66,1653,1652,1655,0.62
4/7/23,11:02:00,104.62,104.94,3358,3343,3375,8.26,34,-36.25,37.84,37.81,1210,1208,1214,1.5,51.69,51.66,1653,1652,1655,0.7
4/7/23,11:02:30,105,104.97,3359,3342,3377,8.36,34.25,-36.25,37.5,37.53,1201,1198,1205,1.5,51.69,51.66,1653,1652,1655,0.59
4/7/23,11:03:00,104.91,104.87,3356,3343,3367,5.42,34,-36.25,37.09,37.09,1187,1185,1190,1.25,51.66,51.66,1653,1652,1654,0.5
4/7/23,11:03:30,105.09,104.84,3355,3343,3367,5.19,34,-36.25,36.63,36.59,1171,1168,1176,1.25,51.66,51.66,1653,1652,1654,0.5
4/7/23,11:04:00,104.81,105.09,3363,3349,3376,5.77,34,-36.25,36.63,36.63,1172,1170,1175,1.09,51.5,51.66,1653,1652,1655,0.6
4/7/23,11:04:30,105.41,105.22,3367,3356,3380,5.64,34.25,-36.25,36.63,36.63,1172,1171,1175,1.28,51.66,51.66,1653,1652,1654,0.54
4/7/23,11:05:00,104.91,105.03,3361,3350,3374,6.15,34,-36.25,36.28,36.34,1163,1161,1166,1.21,51.66,51.66,1653,1652,1655,0.7
4/7/23,11:05:30,105.53,105.34,3371,3358,3383,6.2,34.5,-36.25,36.41,36.38,1164,1162,1168,1.37,51.66,51.66,1653,1652,1655,0.67
4/7/23,11:06:00,105.16,105.31,3370,3358,3384,6.26,33.75,-36.25,36.25,36.25,1160,1157,1164,1.22,51.66,51.66,1653,1652,1655,0.73
4/7/23,11:06:30,105.37,105.25,3368,3357,3380,6.07,34.25,-36.25,36.06,36.09,1155,1153,1158,1.18,51.69,51.66,1653,1652,1655,0.72
4/7/23,11:07:00,105.44,105.28,3369,3357,3382,6.23,34,-36.25,35.97,35.97,1151,1149,1154,1,51.69,51.66,1653,1653,1655,0.83
4/7/23,11:07:30,105.19,105.25,3368,3358,3381,6.17,34.25,-36.25,35.78,35.81,1146,1144,1150,1.4,51.66,51.66,1653,1652,1655,0.8
4/7/23,11:08:00,105,105.22,3367,3355,3380,6.23,34.25,-36.25,35.69,35.72,1143,1140,1146,0.92,51.69,51.66,1653,1652,1655,0.88
4/7/23,11:08:30,105.25,105.22,3367,3354,3380,6.37,34.25,-36.25,35.59,35.59,1139,1137,1142,1.03,51.69,51.66,1653,1653,1655,0.85
4/7/23,11:09:00,105.41,105.19,3366,3354,3378,6.29,34,-36.25,35.47,35.5,1136,1134,1138,0.98,51.66,51.66,1653,1653,1655,0.86
4/7/23,11:09:30,105.12,105.19,3366,3354,3380,6.27,34.25,-36.25,35.41,35.41,1133,1131,1135,0.86,51.47,51.66,1653,1652,1655,0.89
4/7/23,11:10:00,104.91,105.19,3366,3354,3379,6.15,34.25,-36.25,35.28,35.31,1130,1127,1133,1.07,51.69,51.66,1653,1653,1655,0.93
4/7/23,11:10:30,105.12,105.19,3366,3353,3379,6.25,34,-36.25,35.22,35.22,1127,1125,1131,1.15,51.69,51.66,1653,1652,1655,0.96
4/7/23,11:11:00,105.19,105.16,3365,3352,3380,6.31,34,-36.25,35.06,35.13,1124,1122,1127,1.29,51.72,51.66,1653,1652,1655,0.98
4/7/23,11:11:30,104.94,105.16,3365,3354,3378,6.23,33.75,-36.25,35.09,35.06,1122,1120,1125,1.09,51.66,51.66,1653,1653,1655,0.98
4/7/23,11:12:00,105.25,105.19,3366,3354,3378,6.16,34.25,-36.25,34.97,35,1120,1117,1123,0.96,51.72,51.66,1653,1653,1655,1.02
4/7/23,11:12:30,105.28,105.12,3364,3351,3376,6.15,34.25,-36.25,34.88,34.94,1118,1116,1121,1,51.69,51.66,1653,1652,1655,1.03
4/7/23,11:13:00,105.19,105.12,3364,3352,3377,6.35,34.25,-36.25,34.84,34.88,1116,1113,1119,1.01,51.69,51.66,1653,1653,1655,1.11
4/7/23,11:13:30,105.19,105.12,3364,3352,3376,6.28,34.25,-36.25,34.78,34.81,1114,1112,1117,1.07,51.69,51.66,1653,1653,1655,1.05
4/7/23,11:14:00,104.81,105.09,3363,3352,3376,6.07,34.25,-36.25,34.81,34.75,1112,1109,1115,1.11,51.69,51.66,1653,1653,1655,1.12
4/7/23,11:14:30,105.16,105.09,3363,3352,3376,6.2,34.25,-36.25,34.69,34.69,1110,1108,1113,1.22,51.69,51.69,1654,1653,1655,0.45
4/7/23,11:15:00,105.19,105.06,3362,3351,3376,6.29,34.25,-36.25,34.63,34.63,1108,1106,1111,1.33,51.69,51.69,1654,1653,1655,0.52
4/7/23,11:15:30,104.97,105.06,3362,3349,3376,6.39,34.25,-36.25,34.56,34.59,1107,1105,1110,0.98,51.69,51.69,1654,1653,1655,0.53
4/7/23,11:16:00,105,105.09,3363,3350,3377,6.32,34.25,-36.25,34.56,34.53,1105,1103,1109,1.12,51.69,51.69,1654,1653,1655,0.48
4/7/23,11:16:30,104.78,105.09,3363,3351,3375,6.3,34.5,-36.25,34.5,34.47,1103,1101,1107,1.39,51.72,51.69,1654,1653,1655,0.49
4/7/23,11:17:00,105.12,105.03,3361,3349,3375,6.52,34,-36.25,34.22,34.44,1102,1100,1104,1.01,51.69,51.69,1654,1653,1655,0.46
4/7/23,11:17:30,105.19,105.06,3362,3348,3376,6.36,34.25,-36.25,34.34,34.38,1100,1098,1104,1.37,51.69,51.69,1654,1653,1655,0.48
4/7/23,11:18:00,104.84,105.09,3363,3351,3376,6.38,34.25,-36.25,34.25,34.34,1099,1098,1103,1.14,51.72,51.69,1654,1653,1655,0.47
4/7/23,11:18:30,105,105.06,3362,3348,3375,6.36,34.25,-36.25,34.22,34.31,1098,1096,1100,0.93,51.66,51.69,1654,1653,1655,0.53
4/7/23,11:19:00,104.75,105.09,3363,3351,3375,6.24,33.75,-36.25,34.28,34.25,1096,1094,1099,1.2,51.69,51.69,1654,1653,1655,0.54
4/7/23,11:19:30,105.25,105.06,3362,3348,3375,6.42,34.25,-36.25,34.19,34.22,1095,1093,1098,1.04,51.66,51.69,1654,1653,1655,0.51
4/7/23,11:20:00,104.94,105.06,3362,3349,3378,6.5,34,-36.25,34.16,34.19,1094,1091,1096,0.91,51.72,51.69,1654,1653,1655,0.5
4/7/23,11:20:30,104.91,105.03,3361,3347,3379,6.75,34.25,-36.25,34.09,34.13,1092,1090,1095,1.27,51.69,51.69,1654,1653,1655,0.54
4/7/23,11:21:00,104.94,105.06,3362,3349,3375,6.46,34,-36.25,34.09,34.09,1091,1089,1094,1.09,51.69,51.69,1654,1653,1656,0.58
4/7/23,11:21:30,105.28,105.06,3362,3350,3374,6.23,34.25,-36.25,34.06,34.06,1090,1087,1093,1.04,51.69,51.69,1654,1653,1655,0.59
4/7/23,11:22:00,104.87,105.06,3362,3350,3375,6.21,34.25,-36.25,34,34.03,1089,1086,1093,1.08,51.72,51.69,1654,1653,1655,0.65
4/7/23,11:22:30,105.16,105.03,3361,3349,3375,6.2,34.25,-36.25,33.97,34,1088,1085,1091,0.96,51.5,51.69,1654,1653,1656,0.62
4/7/23,11:23:00,104.87,105.03,3361,3348,3374,6.31,34.25,-36.25,34,33.94,1086,1085,1089,1.35,51.69,51.69,1654,1653,1656,0.63
4/7/23,11:23:30,104.91,105.06,3362,3347,3375,6.11,34.25,-36.25,33.88,33.91,1085,1084,1090,1.43,51.69,51.69,1654,1653,1656,0.62
4/7/23,11:24:00,105.25,105.06,3362,3351,3376,5.76,34.25,-36.25,33.88,33.88,1084,1082,1087,1.21,51.72,51.69,1654,1653,1656,0.68
4/7/23,11:24:30,105.16,105.06,3362,3350,3376,6.4,33.75,-36.25,33.84,33.84,1083,1081,1086,1.2,51.69,51.69,1654,1653,1656,0.66
4/7/23,11:25:00,104.91,105.06,3362,3350,3375,6.36,34.25,-36.25,33.78,33.81,1082,1080,1085,1.12,51.69,51.69,1654,1653,1655,0.67
4/7/23,11:25:30,104.72,105.03,3361,3348,3374,6.25,34.25,-36.25,33.72,33.78,1081,1079,1084,1.02,51.69,51.69,1654,1653,1656,0.73
4/7/23,11:26:00,105.25,105.06,3362,3348,3377,6.58,34.25,-36.25,33.72,33.75,1080,1078,1082,0.99,51.69,51.69,1654,1653,1656,0.74
4/7/23,11:26:30,104.78,105.06,3362,3349,3378,6.44,34.25,-36.25,33.75,33.72,1079,1077,1081,0.99,51.69,51.69,1654,1653,1656,0.7
4/7/23,11:27:00,105.06,105,3360,3344,3375,6.5,34.25,-36.25,33.66,33.69,1078,1076,1081,0.99,51.72,51.69,1654,1653,1656,0.74
4/7/23,11:27:30,104.97,105,3360,3346,3372,6.41,34.25,-36.25,33.56,33.66,1077,1074,1080,1.06,51.69,51.69,1654,1653,1656,0.72
4/7/23,11:28:00,104.87,105.03,3361,3348,3372,6.41,34.25,-36.25,33.59,33.63,1076,1073,1079,1.03,51.5,51.69,1654,1653,1656,0.74
4/7/23,11:28:30,105.09,105.03,3361,3348,3374,6.43,34.25,-36.25,33.56,33.59,1075,1072,1078,1.11,51.69,51.69,1654,1654,1656,0.78
4/7/23,11:29:00,104.94,105,3360,3347,3374,6.29,34.25,-36.25,33.53,33.56,1074,1072,1077,0.98,51.69,51.69,1654,1653,1656,0.75
4/7/23,11:29:30,104.69,105,3360,3347,3375,6.25,34.25,-36.25,33.5,33.53,1073,1071,1076,0.98,51.72,51.69,1654,1653,1656,0.7
4/7/23,11:30:00,105.22,104.97,3359,3347,3372,6.16,33.75,-36.25,33.47,33.5,1072,1070,1075,1.03,51.72,51.69,1654,1653,1656,0.81
4/7/23,11:30:30,105.16,105,3360,3348,3373,6.28,34.25,-36.25,33.44,33.47,1071,1069,1074,0.99,51.72,51.69,1654,1654,1656,0.76
4/7/23,11:31:00,105.06,105,3360,3348,3372,6.23,34.25,-36.25,33.44,33.44,1070,1068,1073,1.18,51.69,51.69,1654,1653,1656,0.81
4/7/23,11:31:30,104.78,105.03,3361,3350,3375,6.23,34.25,-36.25,33.44,33.41,1069,1067,1072,1.19,51.72,51.69,1654,1653,1656,0.82
4/7/23,11:32:00,104.84,105.03,3361,3348,3374,6.27,34,-36.25,33.41,33.41,1069,1067,1071,0.98,51.72,51.69,1654,1654,1656,0.85
4/7/23,11:32:30,105.12,105,3360,3349,3373,6.16,34.25,-36.25,33.38,33.38,1068,1066,1071,0.96,51.69,51.69,1654,1653,1656,0.83
