Device Name:,,VoltX4,VoltX4,VoltX4,VoltX4
Device Description:,,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger
Serial Number:,,R64785,R64785,R64785,R64785
Device ID:,,MultiChannel,MultiChannel,MultiChannel,MultiChannel
,,,,,
,,Channel 1,Channel 2,Channel 3,Channel 4
Date,Time,Voltage 1 (mV),Voltage 2 (mV),Voltage 3 (mV),Voltage 4 (mV)
4/7/23,12:50:00 PM,105.27394,35.80138,-35.84508,-20.77642
4/7/23,12:50:30 PM,105.33136,35.80512,-35.8414,-20.779
4/7/23,12:51:00 PM,105.35174,35.80652,-35.83892,-20.7829
4/7/23,12:51:30 PM,105.39028,35.80796,-35.83622,-20.78618
4/7/23,12:52:00 PM,105.42318,35.81002,-35.83556,-20.78808
4/7/23,12:52:30 PM,105.47914,35.81186,-35.8338,-20.79098
4/7/23,12:53:00 PM,105.47536,35.8145,-35.83218,-20.79392
4/7/23,12:53:30 PM,105.49694,35.81488,-35.83038,-20.79378
4/7/23,12:54:00 PM,105.54418,35.81666,-35.82862,-20.7926
4/7/23,12:54:30 PM,105.5693,35.81838,-35.82882,-20.79324
4/7/23,12:55:00 PM,105.5749,35.81872,-35.8274,-20.79068
4/7/23,12:55:30 PM,105.58296,35.81988,-35.82668,-20.786
4/7/23,12:56:00 PM,105.60094,35.8207,-35.82486,-20.77628
4/7/23,12:56:30 PM,105.63292,35.82198,-35.82436,-20.76946
4/7/23,12:57:00 PM,105.612,35.82316,-35.82478,-20.76086
4/7/23,12:57:30 PM,105.62462,35.82346,-35.82292,-20.7521
4/7/23,12:58:00 PM,105.64734,35.82534,-35.82304,-20.74288
4/7/23,12:58:30 PM,105.66084,35.82556,-35.82166,-20.73626
4/7/23,12:59:00 PM,105.71054,35.82578,-35.82018,-20.73046
4/7/23,12:59:30 PM,105.66012,35.82746,-35.821,-20.72904
4/7/23,1:00:00 PM,105.70542,35.82844,-35.81988,-20.72664
4/7/23,1:00:30 PM,105.71306,35.82906,-35.81984,-20.72178
4/7/23,1:01:00 PM,105.71632,35.82908,-35.81922,-20.7179
4/7/23,1:01:30 PM,105.71558,35.82952,-35.81868,-20.71494
4/7/23,1:02:00 PM,105.74956,35.82962,-35.8179,-20.7118
4/7/23,1:02:30 PM,105.68702,35.82984,-35.81758,-20.70794
4/7/23,1:03:00 PM,105.7185,35.83126,-35.81826,-20.70334
4/7/23,1:03:30 PM,105.71794,35.83138,-35.8171,-20.69846
4/7/23,1:04:00 PM,105.7109,35.8321,-35.81664,-20.69756
4/7/23,1:04:30 PM,105.70712,35.83252,-35.81616,-20.69952
4/7/23,1:05:00 PM,105.70618,35.83278,-35.8166,-20.70152
4/7/23,1:05:30 PM,105.70112,35.83258,-35.81628,-20.70286
4/7/23,1:06:00 PM,105.73792,35.8326,-35.81568,-20.70144
4/7/23,1:06:30 PM,105.70162,35.8334,-35.815,-20.7001
4/7/23,1:07:00 PM,105.69758,35.83338,-35.81536,-20.6963
4/7/23,1:07:30 PM,105.72816,35.83438,-35.81432,-20.69456
4/7/23,1:08:00 PM,105.6989,35.83446,-35.81442,-20.69296
4/7/23,1:08:30 PM,105.70682,35.83548,-35.81546,-20.69396
4/7/23,1:09:00 PM,105.7325,35.83592,-35.81338,-20.69306
4/7/23,1:09:30 PM,105.71838,35.8355,-35.81346,-20.69428
