Device Name:,,VoltX4,VoltX4,VoltX4,VoltX4
Device Description:,,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger,4-Channel Voltage Data Logger
Serial Number:,,R64785,R64785,R64785,R64785
Device ID:,,MultiChannel,MultiChannel,MultiChannel,MultiChannel
,,,,,
,,Channel 1,Channel 2,Channel 3,Channel 4
Date,Time,Voltage 1 (mV),Voltage 2 (mV),Voltage 3 (mV),Voltage 4 (mV)
4/9/23,1:25:12 PM,100.1445,35.98884,-35.54234,38.61132
4/9/23,1:25:42 PM,100.28212,35.98554,-35.53822,38.70614
4/9/23,1:26:12 PM,100.47868,35.98338,-35.5337,38.79856
4/9/23,1:26:42 PM,100.5633,35.9799,-35.52856,38.8883
4/9/23,1:27:12 PM,100.69412,35.9767,-35.52436,38.97646
4/9/23,1:27:42 PM,100.81354,35.97298,-35.52012,39.06202
4/9/23,1:28:12 PM,100.89986,35.97148,-35.51672,39.14482
4/9/23,1:28:42 PM,101.00818,35.96896,-35.5121,39.22532
4/9/23,1:29:12 PM,101.07788,35.96638,-35.50856,39.30064
4/9/23,1:29:42 PM,101.09352,35.96314,-35.50556,39.32614
4/9/23,1:30:12 PM,101.1635,35.9594,-35.4996,39.38092
4/9/23,1:30:42 PM,101.25998,35.95778,-35.49722,39.42408
4/9/23,1:31:12 PM,101.35062,35.9552,-35.49412,39.48006
4/9/23,1:31:42 PM,101.41482,35.95268,-35.4905,39.53236
4/9/23,1:32:12 PM,101.6116,35.95132,-35.48696,39.66152
4/9/23,1:32:42 PM,101.7114,35.94964,-35.4825,40.06348
4/9/23,1:33:12 PM,101.75652,35.94844,-35.479,40.08736
4/9/23,1:33:42 PM,101.82896,35.9463,-35.47748,40.12066
4/9/23,1:34:12 PM,101.86974,35.94274,-35.47378,40.17346
4/9/23,1:34:42 PM,101.94812,35.94218,-35.47094,40.23806
4/9/23,1:35:12 PM,102.01194,35.94128,-35.46896,40.30986
4/9/23,1:35:42 PM,102.08176,35.93826,-35.46656,40.38226
4/9/23,1:36:12 PM,102.12252,35.93728,-35.46354,40.45468
4/9/23,1:36:42 PM,102.19066,35.93592,-35.46086,40.52526
4/9/23,1:37:12 PM,102.20608,35.934,-35.45836,40.59532
4/9/23,1:37:42 PM,102.2632,35.93296,-35.45546,40.66238
4/9/23,1:38:12 PM,102.30952,35.93194,-35.4528,40.72486
4/9/23,1:38:42 PM,102.34714,35.93062,-35.4508,40.78648
4/9/23,1:39:12 PM,102.38628,35.92922,-35.44912,40.8438
4/9/23,1:39:42 PM,102.40874,35.92774,-35.44748,40.90228
4/9/23,1:40:12 PM,102.46806,35.92692,-35.44462,40.95598
4/9/23,1:40:42 PM,102.49738,35.92518,-35.44204,41.00836
4/9/23,1:41:12 PM,102.53846,35.9241,-35.44158,41.0604
4/9/23,1:41:42 PM,102.57566,35.9233,-35.439,41.11018
4/9/23,1:42:12 PM,102.60678,35.9226,-35.4373,41.15888
4/9/23,1:42:42 PM,102.6459,35.92106,-35.43514,41.20656
4/9/23,1:43:12 PM,102.67618,35.92012,-35.433,41.2529
4/9/23,1:43:42 PM,102.6753,35.91864,-35.43166,41.29838
4/9/23,1:44:12 PM,102.69972,35.91798,-35.42906,41.34024
4/9/23,1:44:42 PM,102.7274,35.91626,-35.42814,41.38422
4/9/23,1:45:12 PM,102.73112,35.91602,-35.42636,41.42394
